"(N0 V N1 Prép N2)";"(Prép2 =: <E>)";"non (N1 =: V0-inf W) et non (Prép2 # <E>+comme) et non (N2 =: V0-inf W)";;"Si "" N0 V N1 comme N2"" est acceptable, c'est la construction de base, sinon c'est "" N0 V N1 N2""";"39";"On a élu Guy président"
"Structure N0 V Prép N1 Prép N2";;;;;;
"(N0 V à N1 Prép N2)";" ";"non (Prép1 # à) et non (Prép2 # avec+pour) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (N2 =: V1-inf W)";"((N1 =: Qu Pind) ou (N1 =: Qu Psubj))";" ";"14";"Cette règle équivaut pour Paul à ce que Léa soit élue"
"(N0 V de N1 Prép N2)";" ";"non (Prép1 # de) et non (Prép2 =: <E>) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (N2 =: V1-inf W)";"((N1 =: Qu Pind) ou (N1 =: Qu Psubj))";" ";"15";"Paul répond devant le juge de ce que Léa a fauté"
"(N0 V Prép N1 Prép N2)";;"non (Prép2 =: <E>) ";"((N1 =: Qu Pind) ou (N1 =: Qu Psubj) ou (non (N1 =: V0-inf W) et ((Prép1 # <E>) ou (non (Prép2 =: à) et non (Prép2 =: de))) et ((Prép1 # avec+pour) ou non (Prép2 =: à)))) et ((N2 =: Qu Pind) ou (N2 =: Qu Psubj) ou (N2 =: V1-inf W))";"N0 V Qu P Prép ce Qu P possible (si Prép1 =: E). La condition ""((N1 =: Qu Pind) ou (N1 =: Qu Psubj) ou non (N1 =: V0-inf W))"" exclut la table 2 avec renumérotation des compléments. La condition ""((N1 =: Qu Pind) ou (N1 =: Qu Psubj) ou (Prép1 # <E>) ou (non (Prép2 =: à) et non (Prép2 =: de)))"" exclut les tables 11 et 13. La condition ""((N1 =: Qu Pind) ou (N1 =: Qu Psubj) ou (Prép1 # avec+pour) ou non (Prép2 =: à))"" exclut la table 14.";"16";"Flo déduit que Guy est arrivé de ce qu'il y a du désordre ; Flo engage Guy pour danser ; Flo apprend à Guy à danser"
"(N0 V Loc N1 source Loc N2 destination)";"(N1 lieu source de N0) et (N2 lieu de destination de N0)";"non (Prép1 =: <E>) et non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: V0-inf W) et non (N1 =: V2-inf W) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (N2 =: si P ou si P) et non (N0 V N1 et N2)";;"Prép2 jamais vide en présence de Loc N1";"35L";"Luc passe du salon à la cuisine"
"(N0 V Prép N1 Prép N2)";;"non (Prép1 =: <E>) et non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: V2-inf W) et non (Prép2 =: <E>) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (N2 =: V1-inf W)";"(non (N1 lieu source de N0) ou non (N2 lieu de destination de N0))";"attention il y a des ""le fait que P"" en N1 et N2";"35RR";"Léa change de voiture avec Luc"
"Structure N0 V N1";;;;;;
"(N0 V N1)";"(N0 =: Qu P) et (N1 =: Nhum)";"non (N1 =: Nconc) et non (N1 =: Npc) et non (N1 =: V0-inf W) et non (Qu Psubj =: Qu Ni Vsubj W = (Ni) (de V-inf W)) et non [extrap]";"((N0 =: V1-inf W) ou (non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: si P ou si P) et non (N1 =: combien P)))";"(N0 =: Nnr) et (N1 =: Nhum)";"4";"Que Paul vienne amuse Luc
Que les enfants soient ensemble neutralise qu'ils soient agités"
"(N0 V N1)";" ";"non (N0 =: V1-inf W) et non (Qu Psubj =: Qu Ni Vsubj W = (Ni) (de V-inf W))";"((N1 =: Qu Pind) ou (N1 =: Qu Psubj) ou (N1 =: si P ou si P) ou (N1 =: combien P))";;"6";"Paul estime que Luc a raison ; Luc contemple combien le ciel est beau"
