"<ID>";"N0 =: Nhum";"N0 =: le fait Qu P";"N0 =: V1-inf W";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 être V-ant W";"N0 être V-able W";"N0 être V-eux W";"N0 être V-(eur+ateur) W";"N1 =: Nabs";"N1 =: le fait Qu P";"N1 se V de ce Qu P";"N1 se V auprès de N3hum de ce Qu P";"N1 être Vpp de ce Qu P";"[passif par]";"[passif de]";"N0 V N1 contre N2hum";"<OPT>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"46";"+";"+";"+";"<E>";"-";"apeurer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"Que Max soit parti apeure Luc"
"47";"~";"~";"~";"<E>";"-";"apitoyer";"-";"+";"-";"~";"~";"~";"~";"~";"-";"~";"~";"~";"~";"~";"~";"~";"Que Max soit parti a apitoyé Luc|sur le sort d'Ida|"
"48";"+";"+";"+";"<E>";"-";"aplatir";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"Qu'Ida l'ait quitté a aplati Max"
"49";"+";"+";"+";"<E>";"-";"appâter";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"Qu'elle ait vu ces bijoux a appâté Léa"
"50";"+";"+";"+";"<E>";"-";"appauvrir";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"Qu'elle ne lise plus appauvrit Ida"
"51";"-";"+";"+";"<E>";"-";"arranger";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"Que Max soit parti arrange Luc"
"52";"+";"+";"+";"<E>";"-";"arriérer";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"Le manque d'éducation a arriéré Max"
"53";"+";"+";"-";"<E>";"-";"asphyxier";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"Ce type d'éducation asphyxie les enfants"
"54";"+";"+";"+";"<E>";"-";"assagir";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"Qu'il ait été puni a assagi Luc"
"55";"-";"+";"+";"<E>";"-";"asseoir";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"Que Max soit parti a assis Luc"
