"<ID>";"N0 =: Nhum";"N0 =: Nnc";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 est Vpp W";"N0 V";"Prép1";"Tp = Tc";"Tc =: passé";"Tc =: présent";"Tc =: futur";"Vc =: devoir";"Vc =: pouvoir";"Vc =: savoir";"Prép V0-inf W = Ppv";"N0 V Prép N1hum";"N0 V Prép N1-hum";"Prép N1 = Ppv";"N0 V dans N1";"N0 V N1hum";"N0 V N1-hum";"<OPT>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"101";"+";"-";"<E>";"-";"-";"-";"rester là";"-";"-";"+";"-";"-";"à";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Paul reste là à me regarder"
"102";"+";"-";"se";"+";"-";"-";"retrouver";"-";"-";"+";"-";"-";"à";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"Paul se retrouve à faire la vaisselle"
"103";"+";"-";"en";"-";"+";"-";"revenir";"-";"-";"+";"-";"-";"à";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"Paul en revient à écrire à la main"
"104";"+";"+";"<E>";"-";"-";"-";"risquer";"-";"+";"-";"-";"-";"de";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"La pluie risque de tomber"
"105";"-";"-";"<E>";"-";"-";"-";"savoir";"-";"-";"-";"-";"-";"<E>";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max sait nager"
"106";"~";"~";"ne";"-";"-";"+";"savoir";"-";"+";"-";"~";"~";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"ça ne saurait m'étonner"
"107";"~";"~";"<E>";"-";"-";"-";"sortir";"-";"-";"+";"~";"~";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max sort manger"
"108";"+";"+";"<E>";"-";"-";"-";"stopper";"-";"+";"-";"-";"+";"de";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"Max a stoppé de faire des bêtises"
"109";"+";"+";"<E>";"-";"-";"-";"tarder";"-";"+";"-";"-";"+";"à";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"Max tarde à arriver"
"110";"+";"-";"se";"+";"-";"-";"tâter";"-";"-";"+";"-";"+";"pour";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max se tâte pour venir"
"111";"~";"~";"<E>";"-";"-";"-";"tendre";"-";"+";"-";"~";"~";"à";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"La situation tend à s'améliorer"
"112";"+";"-";"<E>";"-";"-";"-";"tenter";"-";"+";"-";"-";"-";"de";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"Max tente de travailler"
"113";"+";"-";"<E>";"-";"-";"-";"terminer";"-";"+";"-";"-";"-";"de";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"Max termine de travailler"
"114";"+";"-";"<E>";"-";"-";"-";"trouver";"-";"+";"-";"-";"-";"à";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max a trouvé à faire quelque chose"
"115";"+";"+";"<E>";"-";"-";"-";"venir";"-";"-";"-";"-";"-";"de";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Max vient de partir"
"116";"+";"+";"<E>";"-";"-";"-";"venir";"-";"-";"+";"-";"-";"à";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"S'il venait à pleuvoir, Max ne sortirait pas"
"117";"~";"~";"<E>";"-";"-";"-";"venir";"-";"-";"+";"~";"~";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"La lumière est venue réveiller Max"

