"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 =: V-inf W";"N0 être V-n";"N0 =: Npl obl";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"<ENT>V";"N0 V";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 être Vpp";"N0pc lui V W";"N0 V de N0pc";"N0 V Loc N1 source";"N0 V Loc N2 destination";"trajet";"de combien ?";"Loc N1 =: de N1 source";"Loc N1 =: Loc N1 source, Loc # de";"Loc N1 = Ppv =: en";"N0 V N1 source";"N0 V N2 destination";"Loc N2 =: dans N2 destination";"Loc N2 =: sur N2 destination";"Loc N2 =: contre N2 destination";"Loc N2 =: à N2 destination";"Loc N2 =: vers N2 destination";"autre Loc2";"Loc N2 = Ppv =: y";"N0 lui V Loc (N1pc+N2pc)";"N0 V Prép N0pc";"(N1+N2) =: le fait Qu P";"(N1+N2) être V-n";"N0 être V-ant Prép (N1+N2)";"[extrap]";"N0 =: idée, (N1+N2) =: esprit";"N0 =: Nhum, (N1+N2) =: Nabs";"il V Qu P W";"N0 être V-n (forme V-n)";"(N1+N2) être V-n (forme V-n)";"<OPT>"
"49";"+";"+";"-";"-";"-";"-";"<E>";"-";"-";"louvoyer";"+";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Le bateau louvoie vers le môle"
"50";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"marcher";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"César marche sur Gap"
"51";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"monter";"~";"-";"+";"~";"~";"~";"~";"+";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La fumée monte de la cheminée"
"52";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"monter";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"~";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max monte à la capitale"
"53";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"monter";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max monte dans le bateau"
"54";"+";"+";"-";"-";"-";"-";"<E>";"-";"-";"naviguer";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"(Max+le bateau) navigue vers la côte"
"55";"+";"+";"-";"-";"-";"-";"<E>";"-";"-";"osciller";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"<E>";"<E>";"Le balancier oscille vers la droite"
"56";"+";"+";"-";"-";"+";"-";"<E>";"-";"-";"papillonner";"+";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"~";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"papillon";"<E>";"Max papillonne (de Léa à Ida+de là à là)"
"57";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"parvenir";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"~";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Cette lettre est parvenue (ici hier+à Paul)"
"58";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"passer";"~";"-";"+";"~";"~";"~";"~";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max passe dans la chambre"
"59";"+";"-";"-";"-";"+";"-";"<E>";"-";"-";"patrouiller";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"patrouille";"<E>";"Les soldats patrouillent dans la ville"
"60";"-";"+";"-";"-";"-";"+";"<E>";"-";"-";"pleuvoir";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Les obus pleuvent sur la ville"
"61";"~";"~";"~";"~";"~";"~";"se";"+";"-";"pousser";"~";"-";"+";"~";"~";"~";"~";"+";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se pousse de sa place"
