"<ID>";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"Ppv =: le";"N0 V N1";"N0 V N2";"N0 V N1 comme N2";"N2 =: Nhum";"N0 V N1 de V-n";"N2 =: Npr";"N2 =: Adj";"N0 V N1 de N-hum";"N0 V N1 Loc N-hum";"N1 être Vpp (statique)";"N2 =: Dnum Nmes";"N0 V N1 de V-n (forme V-n)";"<OPT>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"51";"-";"<E>";"laisser";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"<E>";"On a laissé Max président"
"52";"~";"<E>";"louer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a loué Luc comme chauffeur"
"53";"-";"<E>";"maintenir";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"<E>";"On a maintenu Max(E+comme)président"
"54";"-";"<E>";"mandater";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"<E>";"Max a mandaté Luc(E+comme)représentant pour la France"
"55";"-";"<E>";"mettre";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"<E>";"On a mis Paul président"
"56";"-";"<E>";"millésimer";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"+";"millésime";"On a millésimé cette bouteille(d'une bonne année+1976)"
"57";"-";"<E>";"naturaliser";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"<E>";"On a naturalisé Max suisse"
"58";"-";"<E>";"nommer";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"-";"nom";"Max a nommé Luc son héritier"
"59";"-";"<E>";"nommer";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"nom";"Max a nommé son fils Sven"
"60";"-";"<E>";"noter";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"note";"Max a noté cette copie 18"
"61";"~";"<E>";"noter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max note cette catégorie d'éléments X"
"62";"-";"<E>";"ordonner";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"<E>";"On a ordonné Max prêtre"
"63";"-";"<E>";"parachuter";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"<E>";"On a parachuté Max commissaire à Gap"
"64";"~";"<E>";"passer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a passé sa vie(E+comme)balayeur"
