"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 être Vpp W";"N0 être V-ant";"N0 V";"N0 V contre Nhum";"N0 V de N1";"N1 =: Qu Pind";"N1 =: Qu Psubj";"Prép N1 =: Prép ce Qu P = Qu P";"N1 =: si P ou si P";"N1 =: V0-inf W";"N1 =: V2-inf W";"Tc =: passé";"Tc =: futur";"Vc =: devoir";"Vc =: pouvoir";"Vc =: savoir";"N1 =: ce(ci+la)";"Prép N1 =: Prép Qu P = Ppv";"de N1 =: de ce Qu P = de là";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"Prép N1-hum = Ppv";"il être Vpp Prép N1 (E+par N0)";"N1 être Vpp par N0";"N0 V N1 Prép N2";"N1 être Vpp de N0";"N0 V Prép N2";"Prép2";"Prép2 =: auprès de = à";"N2 =: Nhum";"Prép N2hum = Ppv";"N2 =: N-hum";"Prép N2-hum = Ppv";"il être Vpp Prép N2 (E+par N0)";"N1 être Vpp de N0 Prép N2";"N1 être Vpp par N0 Prép N2";"<OPT>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"44";"+";"-";"-";"-";"-";"se";"+";"-";"lamenter";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"auprès de";"-";"+";"-";"-";"-";"-";"-";"-";"Max se lamente auprès de Léa de ce qu'Ida est revenue"
"45";"+";"-";"-";"-";"-";"<E>";"-";"-";"médire";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"auprès de";"+";"+";"+";"-";"-";"-";"-";"-";"Ida a médit auprès de Léa(E+de ce)que Luc était mufle"
"46";"+";"-";"-";"-";"-";"<E>";"-";"-";"négocier";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"avec";"-";"+";"-";"-";"-";"-";"-";"-";"Max a négocié avec Luc(E+de ce)que les salaires seraient augmentés"
"47";"+";"-";"-";"-";"-";"s'";"+";"-";"ouvrir";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"auprès de";"+";"+";"-";"-";"-";"-";"-";"-";"Max s'ouvre à Luc de ce qu'il a un problème"
"48";"+";"-";"-";"-";"-";"<E>";"-";"-";"palabrer";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"avec";"-";"+";"-";"-";"-";"-";"-";"-";"Max palabre avec ses amis de ce que le vin augmente"
"49";"+";"-";"-";"-";"-";"<E>";"-";"-";"papoter";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"avec";"-";"+";"-";"-";"-";"-";"-";"-";"Max papote avec Léa de ce que le temps est changeant"
"50";"+";"-";"-";"-";"-";"<E>";"-";"-";"parlementer";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"avec";"-";"+";"-";"-";"-";"+";"-";"-";"Max a parlementé avec le patron de ce qu'il recevrait une augmentation"
"51";"+";"-";"-";"-";"-";"<E>";"-";"-";"parler";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"à";"-";"+";"+";"-";"-";"+";"-";"-";"Max parle à Léa de ce qu'ils doivent se rencontrer"
"52";"~";"~";"~";"~";"~";"<E>";"-";"-";"parler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"avec";"~";"~";"~";"~";"~";"~";"~";"~";"Max parle avec Luc de ce que Léa viendra"
"53";"+";"-";"-";"-";"-";"<E>";"-";"-";"pérorer";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"avec";"-";"+";"-";"-";"-";"-";"-";"-";"Max pérore avec Ida de ce que Luc est parti"
