"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: le fait de V1-inf W";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V contre Nhum";"N0 V après Nhum";"N1 =: Qu Pind";"Qu P = V0-inf W";"N1 =: Qu P = Aux V0-inf W";"Qu P = de V0-inf W";"N1 = (N) (V-ant W)";"N1 = (N) (V-inf W)";"N1 = (N) (être Adj)";"N0 V (être Adj) (Qu P)";"Qu N0 V (être Adj)";"N1 = (N) (Adj)";"N0 V (Adj) (Qu P)";"Qu N0 V (Adj)";"(Nég, interro) => subj";"impératif => subj";"N1 =: Qu Psubj";"Qu Psubj = V0-inf W";"Qu Psubj = de V0-inf W";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N0 V N1 de N2hum";"N0 V N1 à ce Qu P";"[passif par]";"[passif de]";"<OPT>"
"359";"+";"+";"+";"+";"<E>";"-";"-";"privilégier";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Max privilégie de faire ça"
"360";"+";"+";"+";"-";"<E>";"-";"-";"produire";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"Que le crédit ait baissé a produit que les gens se sont endettés"
"361";"+";"-";"-";"-";"<E>";"-";"-";"proférer";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a proféré que Léa était une pute"
"362";"+";"-";"-";"-";"<E>";"-";"-";"programmer";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"Max a programmé qu'il partirait en vacances"
"363";"+";"-";"-";"-";"<E>";"-";"-";"projeter";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Paul projette qu'il va réformer tout ça"
"364";"+";"-";"-";"-";"<E>";"-";"-";"promulguer";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Le chef a promulgué que le cumul était interdit"
"365";"+";"-";"-";"-";"<E>";"-";"-";"prononcer";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Le jury a prononcé que Paul était innocent"
"366";"+";"-";"-";"-";"<E>";"-";"-";"pronostiquer";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"Guy a pronostiqué qu'Ida allait revenir"
"367";"+";"-";"-";"-";"<E>";"-";"-";"propager";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Les journaux ont propagé qu'Ida était morte"
"368";"~";"~";"~";"~";"se";"+";"-";"proposer";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max se propose que tout soit prêt ce soir"
"369";"+";"+";"+";"-";"<E>";"-";"-";"proroger Advfut";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"L'assemblée a prorogé à la séance suivante qu'on aborde ce problème"
"370";"~";"~";"~";"~";"<E>";"-";"-";"proscrire";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"La loi proscrit que l'on spolie les héritiers"
"371";"+";"-";"-";"-";"<E>";"-";"-";"prospecter";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Max prospecte si le produit est vendable"
"372";"+";"+";"+";"-";"<E>";"-";"-";"provoquer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"Que Max soit parti a provoqué que Léa a été déprimée"
"373";"+";"-";"-";"-";"<E>";"-";"-";"publier";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a publié que le gouvernement était corrompu"
"374";"+";"-";"-";"-";"<E>";"-";"-";"pyrograver";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Luc a pyrogravé qu'il aimait Léa"
"375";"+";"-";"-";"-";"<E>";"-";"-";"rater";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"Max a raté (E+l'occasion)de voir Max"
"376";"+";"+";"+";"-";"<E>";"-";"-";"ratifier";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"+";"Le parlement a ratifié que l'on prenne ces mesures"
"377";"+";"+";"+";"-";"<E>";"-";"-";"rationaliser";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"Max a rationalisé qu'il avait eu ce comportement"
"378";"+";"-";"-";"-";"<E>";"-";"-";"réaliser";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"Max a réalisé que les deux pays soient en paix"
"379";"~";"~";"~";"~";"<E>";"-";"-";"réaliser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a soudain réalisé que Léa était partie"
"380";"~";"~";"~";"~";"<E>";"-";"-";"recevoir Advm";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"La direction a mal reçu que l'on fasse grève"
"381";"+";"-";"-";"-";"<E>";"-";"-";"rechercher";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"Max recherche quelle est la solution"
"382";"+";"-";"-";"-";"<E>";"-";"-";"récolter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"Max a récolté qu'il devra aller en prison"
"383";"+";"-";"-";"-";"<E>";"-";"-";"reconnaître";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"Max reconnaît qu'il s'est trompé"
"384";"+";"-";"-";"-";"<E>";"-";"-";"reconsidérer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"Max a reconsidéré la question que Luc avait besoin d'argent"
"385";"+";"-";"-";"-";"<E>";"-";"-";"reconstituer";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"La police a reconstitué que l'assassin habitait au 21"
"386";"~";"~";"~";"~";"<E>";"-";"-";"reconstruire";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"La police a reconstruit que l'assassin habitait au 21"
"387";"+";"-";"-";"-";"se";"+";"-";"récrier";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Max s'est récrié que Léa aurait pu venir"
"388";"+";"-";"-";"-";"<E>";"-";"-";"récriminer";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max récrimine que Léa est en retard"
"389";"+";"+";"+";"-";"<E>";"-";"-";"rectifier";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"Max a rectifié qu'il n'était pas en faute"
"390";"+";"+";"+";"-";"<E>";"-";"-";"reculer Advfut";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"Max a reculé au lendemain de prendre cette décision"
"391";"+";"-";"-";"-";"<E>";"-";"-";"récupérer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"Max a récupéré (qu'il fera+de devoir faire)ce travail"
"392";"+";"+";"+";"+";"<E>";"-";"-";"récuser";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"Max récuse qu'il ait eu fraude"
"393";"+";"-";"-";"-";"<E>";"-";"-";"rédiger";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a rédigé en code que l'heure était venue"
"394";"+";"-";"-";"-";"<E>";"-";"-";"redouter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"Max redoute que Léa vienne"
"395";"~";"~";"~";"~";"<E>";"-";"-";"réfléchir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Finalement,j'ai réfléchi que je pourrai venir quand même"
"396";"-";"+";"+";"+";"<E>";"-";"-";"refléter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Son visage reflète son trouble"
"397";"+";"-";"-";"-";"<E>";"-";"-";"refuser";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"Max refuse qu'on le traite ainsi"
"398";"~";"~";"~";"~";"<E>";"-";"-";"réfuter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a réfuté que Ida ait raison"
"399";"+";"-";"-";"-";"<E>";"-";"-";"regarder";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"Max regarde s'il pleut"
"400";"~";"~";"~";"~";"<E>";"-";"-";"regarder";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max regarde par la fenêtre Léa (qui s'habille + s'habiller) "
"401";"+";"+";"+";"+";"<E>";"-";"-";"réglementer";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"L'état a réglementé que l'on fasse la grève"
"402";"+";"-";"-";"-";"<E>";"-";"-";"régler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Max a réglé que les opérateurs parleraient après le repas"
"403";"+";"-";"-";"-";"<E>";"-";"-";"regretter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"Max regrette que ma venue ait causé son départ"
"404";"+";"-";"-";"-";"<E>";"-";"-";"regretter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"Max regrette que la gare soit aussi loin"
"405";"+";"+";"+";"-";"<E>";"-";"-";"rejeter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"L'assemblée a rejeté que la loi serait amendée"
"406";"~";"~";"~";"~";"<E>";"-";"-";"relever";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a relevé que Léa l'avait mis en cause"
"407";"+";"-";"-";"-";"<E>";"-";"-";"reluquer";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"Max reluque si Ida arrive"
"408";"+";"-";"-";"-";"<E>";"-";"-";"remâcher";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max remâche qu'Ida l'a laissé tomber"
"409";"+";"-";"-";"-";"<E>";"-";"-";"remarquer";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"Max remarque à voix basse que Luc était absent"
"410";"~";"~";"~";"~";"<E>";"-";"-";"remarquer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a remarqué que Léa était absente"
"411";"+";"+";"+";"-";"<E>";"-";"-";"remettre Advfut";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Max a remarqué que Léa était absente"
"412";"+";"-";"-";"-";"<E>";"-";"-";"renier";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"Max a renié qu'il ait pensé cela"
"413";"+";"-";"-";"-";"<E>";"-";"-";"renifler";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"Max a reniflé qu'il se passait quelque chose"
"414";"+";"+";"+";"-";"<E>";"-";"-";"renvoyer Advfut";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"Max a renvoyé à la semaine suivante de cesser de fumer"
"415";"+";"-";"-";"-";"<E>";"-";"-";"répandre";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"L'usage a répandu que l'on porte un chapeau"
"416";"+";"-";"-";"-";"<E>";"-";"-";"repérer";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"Max a repéré que Luc n'était pas là"
"417";"+";"-";"-";"-";"<E>";"-";"-";"répertorier";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"Max a répertorié que les pommes s'étaient vendues"
"418";"+";"+";"+";"-";"<E>";"-";"-";"reporter Advfut";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"Max a reporté au lendemain que Luc le rencontre"
"419";"+";"+";"+";"-";"<E>";"-";"-";"repousser Advfut";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"Max a repoussé au lendemain que Luc vienne le voir"
"420";"+";"-";"-";"-";"<E>";"-";"-";"reprendre";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max a repris qu'il était d'accord"
"421";"~";"~";"~";"~";"se";"+";"-";"représenter Advm";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max se représente mal que Léa puisse réussir"
"422";"+";"-";"-";"-";"<E>";"-";"-";"reprographier";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a reprographié que la situation était critique"
"423";"~";"~";"~";"~";"<E>";"-";"-";"requérir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Le fait que Max soit parti requiert que Marie agisse seule"
"424";"+";"+";"+";"-";"<E>";"-";"-";"réserver Advfut";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"Max a réservé pour le lendemain de nettoyer la pièce"
"425";"+";"-";"-";"-";"<E>";"-";"-";"résoudre";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"Max a résolu qu'il agirait ainsi"
"426";"+";"-";"-";"-";"<E>";"-";"-";"ressentir";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"Max a ressenti que Léa lui battait froid"
"427";"~";"~";"~";"~";"ne se";"+";"+";"ressentir";"+";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max ne se ressent pas de faire ça"
"428";"+";"-";"-";"-";"<E>";"-";"-";"ressentir Advm";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"+";"Max a ressenti douloureusement que Léa s'en aille"
"429";"+";"+";"+";"-";"<E>";"-";"-";"retarder Advfut";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Max a retardé au lendemain qu'il rencontre Léa"
"430";"+";"-";"-";"-";"<E>";"-";"-";"retracer";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"La police a retracé (tout ce qu'il avait fait avant+toutes ses activités antérieures)"
"431";"+";"-";"-";"-";"<E>";"-";"-";"retrouver";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"Max n'a pas retrouvé si Luc avait payé ou non"
"432";"+";"-";"-";"-";"<E>";"-";"-";"revendiquer";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"Max revendique qu'on le paye plus"
"433";"+";"-";"-";"-";"<E>";"-";"-";"rêver";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"Max a rêvé qu'il s'était cassé la jambe"
"434";"~";"~";"~";"~";"<E>";"-";"-";"revivre";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a revécu en pensée qu'il avait été heureux"
"435";"~";"~";"~";"~";"<E>";"-";"-";"revoir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max revoit (E + en pensée) qu'il a été heureux"
"436";"-";"+";"+";"-";"<E>";"-";"-";"risquer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"Max a risqué que Léa s'en aille"
"437";"~";"~";"~";"~";"<E>";"-";"-";"risquer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max risque qu'on le renvoie s'il fait ça"
"438";"+";"-";"-";"-";"<E>";"-";"-";"ronéoter";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max ronéote que la guerre est déclarée"
"439";"+";"-";"-";"-";"<E>";"-";"-";"ronéotyper";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a ronéotypé que la guerre est déclarée"
"440";"+";"-";"-";"-";"<E>";"-";"-";"ruminer";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Max rumine qu'il va faire un mauvais coup"
"441";"+";"-";"-";"-";"ne";"-";"+";"sacquer";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"Max ne sacque pas qu'on le plaque"
"442";"+";"-";"-";"-";"<E>";"-";"-";"saisir";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"Max a saisi que Luc voulait partir"
"443";"~";"~";"~";"~";"<E>";"-";"-";"sanctionner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Cet arrêté sanctionne que l'on stationne sur le trottoir"
"444";"+";"-";"-";"-";"ne";"-";"+";"saquer";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"Max ne saque pas qu'on le plaque"
"445";"+";"-";"-";"-";"<E>";"-";"-";"savoir";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"+";"Max sait que Luc meurt"
"446";"~";"~";"~";"~";"<E>";"-";"-";"savoir Advm";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max sait parfaitement que Luc s'est trompé"
