"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: le fait de V1-inf W";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V contre Nhum";"N0 V après Nhum";"N1 =: Qu Pind";"Qu P = V0-inf W";"N1 =: Qu P = Aux V0-inf W";"Qu P = de V0-inf W";"N1 = (N) (V-ant W)";"N1 = (N) (V-inf W)";"N1 = (N) (être Adj)";"N0 V (être Adj) (Qu P)";"Qu N0 V (être Adj)";"N1 = (N) (Adj)";"N0 V (Adj) (Qu P)";"Qu N0 V (Adj)";"(Nég, interro) => subj";"impératif => subj";"N1 =: Qu Psubj";"Qu Psubj = V0-inf W";"Qu Psubj = de V0-inf W";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N0 V N1 de N2hum";"N0 V N1 à ce Qu P";"[passif par]";"[passif de]";"<OPT>"
"162";"+";"+";"+";"-";"<E>";"-";"-";"engendrer";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"Ce drame a engendré que Paul est parti"
"163";"+";"-";"-";"-";"<E>";"-";"-";"enquêter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max enquêtera si la livraison a été faite ou non"
"164";"+";"-";"-";"-";"<E>";"-";"-";"enregistrer";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Luc a enregistré que Luc était passé"
"165";"+";"-";"-";"-";"<E>";"-";"-";"entendre";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"Max entend que le vent souffle"
"166";"+";"-";"-";"-";"<E>";"-";"-";"entendre";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"Max entend qu'on arrive à l'heure"
"167";"+";"+";"+";"-";"<E>";"-";"-";"entériner";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"Le conseil a entériné (que Max serait nommé+le traité)"
"168";"+";"-";"-";"-";"<E>";"-";"-";"entrapercevoir";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"Max a entraperçu que la terre tournait"
"169";"+";"-";"-";"-";"<E>";"-";"-";"entraver";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"Max entrave que Paul le double"
"170";"~";"~";"~";"~";"<E>";"-";"-";"entreprendre";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a entrepris de repeindre la maison"
"171";"+";"-";"-";"-";"<E>";"-";"-";"entrevoir";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"Max avait entrevu que Léa partirait"
"172";"+";"-";"-";"-";"<E>";"-";"-";"envisager";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Max envisage que Luc puisse être élu"
"173";"~";"~";"~";"~";"<E>";"-";"-";"envisager";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Ida envisage de partir en vacances"
"174";"+";"-";"-";"-";"s'";"+";"-";"envoyer";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"Max s'est envoyé de sortir les poubelles"
"175";"+";"-";"-";"-";"<E>";"-";"-";"épier";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"Max épie si la police arrive"
"176";"+";"-";"-";"-";"<E>";"-";"-";"épiloguer";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max épiloguait que Léa était(belle+brune+grande+etc...)"
"177";"+";"-";"-";"-";"<E>";"-";"-";"éplucher";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"Max a épluché l'article de Bob"
"178";"+";"-";"-";"-";"<E>";"-";"-";"éprouver";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"Max éprouve si sa voiture est solide ou non"
"179";"+";"-";"-";"-";"<E>";"-";"-";"éprouver Advm";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"Max a éprouvé douloureusement qu'on lui a dit la vérité"
"180";"+";"+";"+";"+";"<E>";"-";"-";"escamoter";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Max a escamoté (qu'Ida était intervenue+la difficulté)"
"181";"+";"-";"-";"-";"s'";"+";"-";"esclaffer";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Léa s'est esclaffée que Max était un minable"
