"<ID>";"N1 V avec N2";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 dé-V N1 Prép N2 source";"N1 =: Nhum";"N1 =: Npc";"N0 lui V N1pc W";"N0 V N1 Loc N1pc W";"N0 V N0pc W";"N1 =: N-hum";"N1 =: le fait Qu P";"N1 être V-n";"Ppv =: le";"N0 V N1";"Prép2 =: à";"Prép2 =: de";"N2 =: Nhum";"N2 =: N-hum";"N2 =: le fait Qu P";"N2 =: Npc";"N2 être V-n";"Ppv =: lui";"Ppv =: y";"Ppv =: en";"N1 V N2";"N1 être Vpp W";"N1 et N2 faire V-n";"il y avoir V-n entre N1 et N2";"Prép2 =: avec";"Prép2 =: d'avec";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"il y avoir V-n entre N1 et N2 (forme V-n)";"N1 et N2 faire V-n (forme V-n)";"<OPT>"
"24";"-";"-";"<E>";"assembler";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"<E>";"<E>";"<E>";"assemblage";"Max a assemblé cette pièce(à+et+avec)celle-là"
"25";"~";"~";"<E>";"associer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"~";"~";"~";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max associe Luc(à+avec+et)Ida"
"26";"-";"-";"<E>";"assortir";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a assorti les rideaux(à+avec+et)la nappe"
"27";"-";"+";"<E>";"balancer";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"<E>";"<E>";"balance";"<E>";"Max balance les entrées(avec+et)les sorties"
"28";"-";"-";"<E>";"brouiller";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"<E>";"<E>";"brouille";"<E>";"Cette affaire a brouillé Max et Luc"
"29";"-";"-";"<E>";"coaliser";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"<E>";"<E>";"<E>";"coalition";"Cet échec a coalisé les paysans(et+avec)les commerçants contre le pouvoir"
"30";"-";"-";"<E>";"collationner";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max collationne le texte(avec+et)ses notes"
"31";"-";"-";"<E>";"combiner";"+";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"<E>";"<E>";"combinaison";"combinaison";"Max a combiné du gin(à+avec+et)du citron"
"32";"+";"-";"<E>";"commuter";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max commute ce fil (avec+et)celui-là"
"33";"-";"-";"<E>";"comparer";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max compare le lit(et+avec+à)le divan"
