"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"N0 =: V2c-inf W";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V N1";"N1 =: Qu Pind";"N1 =: Qu P = Aux V0-inf W";"N1 =: Qu Psubj";"N1 =: de V0-inf W";"N1 =: de V2-inf W";"N1 =: de V2c-inf W";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N1-hum = Ppv";"N1 être Vpp par N0";"N1 être Vpp de N0";"N0 être V-ant pour N1";"N0 V Prép N2";"Prép2";"N2 =: Nhum";"N2 =: N-hum";"Prép N2 =: à Nq";"Prép N2 =: dans Nq";"Prép N2 =: de Nq";"N1 être Vpp par N0 Prép N2";"N1 être Vpp de N0 Prép N2";"<OPT>"
"168";"~";"~";"~";"~";"~";"~";"<E>";"proscrire";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Loc";"~";"~";"~";"~";"~";"~";"~";"Max a proscrit de sa conversation de parler philosophie"
"169";"+";"-";"-";"-";"-";"-";"<E>";"puiser";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"+";"+";"+";"+";"-";"Max a puisé dans la bible qu'il devrait persévérer"
"170";"~";"~";"~";"~";"~";"~";"<E>";"pyrograver";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"dans";"~";"~";"~";"~";"~";"~";"~";"Max a pyrogravé dans le chêne qu'il aimait Ida"
"171";"+";"+";"+";"-";"-";"-";"<E>";"raccourcir";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"à";"-";"+";"-";"-";"+";"+";"-";"Max a raccourci à 3 lignes de texte que tout allait bien sur le terrain"
"172";"+";"+";"+";"-";"-";"-";"<E>";"racheter";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"par";"-";"+";"-";"-";"-";"+";"-";"Max a racheté sa laideur par son intelligence"
"173";"+";"-";"-";"-";"-";"-";"<E>";"rayer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Loc";"-";"+";"-";"+";"+";"+";"-";"Max a rayé de son texte qu'Ida était absente"
"174";"-";"+";"+";"-";"+";"-";"<E>";"réclamer";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"pour";"+";"+";"-";"-";"-";"+";"-";"La situation réclame pour Max qu'il fasse ce travail"
"175";"+";"-";"-";"-";"-";"-";"<E>";"recopier";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"Loc";"-";"+";"-";"+";"+";"+";"+";"Max a recopié (de+dans)ce livre que la terre était ronde"
"176";"+";"-";"-";"-";"-";"-";"<E>";"recueillir";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"auprès de";"+";"-";"-";"-";"-";"+";"-";"Max a recueilli dans ce livre que la terre tournait"
"177";"+";"+";"+";"+";"-";"+";"<E>";"refouler";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"+";"+";"+";"-";"Max a refoulé dans son subconscient qu'il avait fait cette bêtise"
