"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"[extrap]";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 V";"N0 être Vpp W";"N1 =: Qu Pind";"N1 =: Qu Psubj";"Prép N1 =: Prép ce Qu P = Qu P";"N1 =: si P ou si P";"N1 =: V0-inf W";"Tc =: futur";"Tc =: passé";"Vc =: devoir";"Vc =: pouvoir";"Vc =: savoir";"N1 =: ce(ci+la)";"Prép N1 =: Prép Qu P = Ppv";"de N1 =: de ce Qu P = de là";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"Prép N1hum = Ppv";"il être Vpp Prép N1 (E+par N0)";"de N1 V N0";"N0 V contre Nhum";"<OPT>"
"170";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"sourciller";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"Max a sourcillé de ce qu'on ait invité Zoé"
"171";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"sourire";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"Max sourit de ce que Paul soit maladroit"
"172";"-";"+";"+";"-";"+";"<E>";"-";"-";"-";"subsister";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Il subsiste de l'action de Max que la situation s'améliore"
"173";"-";"+";"+";"-";"+";"<E>";"-";"-";"-";"suivre";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Cette situation suit de ce Léa est partie"
"174";"-";"+";"+";"-";"+";"<E>";"-";"-";"-";"surgir";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Une difficulté surgit de ce que Léa boit"
"175";"+";"-";"-";"-";"-";"se";"+";"-";"-";"taire";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max se tait de ce que Léa l'a insulté"
"176";"+";"-";"-";"-";"-";"se";"+";"-";"-";"tamponner";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"Max se tamponne de ce qu'Ida boive"
"177";"+";"-";"-";"-";"-";"se";"+";"-";"-";"taper";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"Max se tape qu'Ida soit parti"
"178";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"tiquer";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"Max tique de ce que la pièce est en désordre"
"179";"~";"~";"~";"~";"~";"se";"+";"-";"-";"tirebouchonner";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max se tirebouchonne de ce que Luc soit tombé"
"180";"+";"-";"-";"-";"-";"se";"+";"-";"-";"toquer";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"Max se toque de faire du ski"
"181";"~";"~";"~";"~";"~";"se";"+";"-";"-";"tordre";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max se tord de rire de voir Ida faire ça"
"182";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"traiter";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"Max a traité dans son livre de ce que la terre tournait"
"183";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"trembler";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max tremble (E+de ce)que Léa vienne"
"184";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"trembloter";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Max tremblote de ce qu'Ida le regarde"
"185";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"trépasser";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"Flo a trépassé de ce qu'elle avait trop bu"
"186";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"triompher";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"Max triomphe de ce que Léa ait échoué"
"187";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"trouiller";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"Max trouille (E+de ce)qu'on le découvre"
"188";"+";"-";"-";"-";"-";"se";"+";"-";"-";"trouver Advm";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"Max se trouve bien de ce que Léa soit partie"
"189";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"user";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"Max use de ce qu'il est manchot pour apitoyer Ida"
"190";"-";"+";"+";"-";"+";"<E>";"-";"-";"-";"venir";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Que Max ait réussi vient de ce qu'il a travaillé"
"191";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"verdir";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max verdit de ce que Lèa l'a insulté"
"192";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"vieillir";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max vieillit prématurément de ce qu'il boit trop"
"193";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"vivre";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"Max vit de ce que Léa travaille"

