"<ID>";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"dé-V";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Npc obl";"N0 V N1";"Prép2 =: avec";"Prép2 =: dans";"Prép2 =: en";"N2 =: Nhum";"N2 =: N-hum";"N2 =: trou";"N2 =: couche";"N2 =: coup";"N2 apparition";"N2 =: Npl obl";"N2 être V-n, Sfx = E";"N2 être V-n, Sfx # E";"Sfx =: age";"Sfx =: ment";"Sfx =: tion";"Sfx =: ure";"V-n instrument";"N1 =: texte, N2 =: mot";"N1 =: esprit, N2 =: idée";"N0 V N1hum de N2abs";"N0 V N2 (E+Loc N1 destination)";"N0 mettre V-n Loc N1";"N0 faire V-n Prép N1";"N0 donner V-n à N1";"N0 donner à N1 (une apparence Vpp+l'apparence de V-n)";"N0 lancer V-n Loc N1";"V-n instrument (forme V-n)";"<OPT>"
"49";"-";"+";"<E>";"festonner";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max a festonné le faire-part de délicats festons"
"50";"-";"+";"<E>";"flécher";"+";"-";"-";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max a fléché l'itinéraire de signes clairs"
"51";"-";"+";"<E>";"fleurdeliser";"+";"-";"-";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a fleurdelisé son mur"
"52";"~";"~";"<E>";"folioter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"<E>";"On a folioté ces pages de numéros"
"53";"-";"-";"<E>";"graduer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a gradué la règle(E+de graduations)en centimètres"
"54";"~";"~";"<E>";"graffiter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"+";"+";"-";"-";"-";"<E>";"On a graffité ces murs de graffitis"
"55";"-";"-";"<E>";"grecquer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Luc a grecqué son tableau de motifs hellènes"
"56";"-";"+";"<E>";"gribouiller";"+";"-";"-";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max gribouille le mur de graffitis"
"57";"-";"-";"<E>";"griffer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a griffé cette chemise de son sigle"
"58";"-";"+";"<E>";"griffonner";"+";"-";"-";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max a griffonné sa feuille de pattes de mouches"
"59";"-";"+";"<E>";"hachurer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max a hachuré sa feuille en rouge"
"60";"-";"+";"<E>";"historier";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max a historié les photos de légendes"
"61";"-";"+";"<E>";"illustrer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Paul a illustré son livre de gravures"
"62";"+";"-";"<E>";"impressionner";"+";"-";"-";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"La lumière a impressionné la pellicule d'un voile"
"63";"-";"+";"<E>";"imprimer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Luc a imprimé le tissu de motifs champêtres"
"64";"-";"+";"<E>";"indicer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"<E>";"Max indice les symboles de lettres grecques"
"65";"-";"+";"<E>";"indiquer";"+";"-";"-";"~";"+";"-";"-";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"Sa pâleur indique un trouble"
"66";"~";"~";"<E>";"initialer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"<E>";"Max a initialé sa chemise au fil rouge"
"67";"-";"+";"<E>";"jalonner";"+";"-";"-";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a jalonné la route de piquets"
"68";"-";"+";"<E>";"légaliser";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Le commissaire a légalisé l'acte d'un sceau rouge"
"69";"-";"+";"<E>";"légender";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Le maquettiste a légendé la photo d'un texte court"
"70";"~";"~";"<E>";"lettrer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"<E>";"Max a lettré son linge de ses initiales"
"71";"~";"~";"<E>";"ligner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"<E>";"On a ligné ce papier de lignes horizontales"
"72";"~";"~";"<E>";"marger";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"+";"+";"-";"-";"-";"<E>";"On a margé ces feuilles d'une marge de 5cm"
"73";"-";"+";"<E>";"marquer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"<E>";"Max a marqué la page d'un trombone"
"74";"~";"~";"<E>";"matriculer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"-";"+";"-";"~";"~";"~";"~";"~";"+";"+";"+";"-";"-";"<E>";"On a matriculé les(détenus+voitures)"
"75";"-";"+";"<E>";"moucheter";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Le soleil a moucheté sa peau de taches de rousseur"
