"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 V";"N0 pousser V-n, Sfx = ment";"N0 pousser V-n, Sfx = E";"N0 V contre Nhum";"N0 V après Nhum";"N0 V N1";"N1 =: Qu Pind";"Qu P = V0-inf W";"N1 =: Qu P = Aux V0-inf W";"Qu P = de V0-inf W";"N1 = (N) (être Adj)";"N0 V (être Adj) (Qu P)";"Qu N0 V (être Adj)";"N1 = (N) (Adj)";"N0 V (Adj) (Qu P)";"Qu N0 V (Adj)";"(Nég, interro) => subj";"impératif => subj";"N1 =: Qu Psubj";"Qu Psubj = de V0-inf W";"Qu Psubj = de V2-inf W";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N0 V à N2";"Prép N2hum = Ppv";"N2 =: N-hum";"Prép N2-hum = Ppv";"à N2 = là";"il être Vpp Prép N2 (E+par N0)";"N0 V N1 à N2 de Nhum";"à quoi N0 V N1";"N0 V à N2 : 'P'";"'P',V N0 à N2";"[passif par]";"[passif de]";"<OPT>"
"208";"+";"-";"-";"-";"-";"<E>";"-";"hoqueter";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Paul hoquette à Léa qu'il a froid"
"209";"+";"-";"-";"-";"-";"<E>";"-";"hululer";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max hulule à Léa que la nuit est tombée"
"210";"+";"-";"-";"-";"-";"<E>";"-";"hurler";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max hurle à Léa qu'elle est bête"
"211";"+";"+";"+";"-";"+";"<E>";"-";"impartir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"On a imparti à Max de vérifier la sécurité"
"212";"+";"+";"+";"+";"+";"<E>";"-";"imposer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"Max impose à Léa que tout soit en ordre"
"213";"+";"+";"+";"-";"+";"<E>";"-";"impulser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max impulse à Luc de se mettre au travail"
"214";"+";"+";"+";"-";"+";"<E>";"-";"imputer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a imputé à Léa que tout allait de travers"
"215";"+";"+";"+";"-";"+";"<E>";"-";"inculquer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"Max a inculqué à Léa que la terre était ronde"
"216";"+";"+";"+";"-";"+";"<E>";"-";"indiquer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max indique à Ida que Luc viendra"
"217";"+";"+";"+";"-";"+";"<E>";"-";"infliger";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a infligé à Léa de faire la vaisselle"
"218";"~";"~";"~";"~";"~";"<E>";"-";"infuser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Que Léa parte infuse de l'espoir à Max"
"219";"+";"+";"+";"-";"+";"<E>";"-";"inoculer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a inoculé à Léa(E+l'envie)que tout soit en ordre"
"220";"+";"+";"+";"-";"-";"<E>";"-";"insinuer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max insinue à Léa que Luc est peut-être parti"
"221";"+";"+";"+";"-";"+";"<E>";"-";"inspirer";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Luc a inspiré à Max(de partir+ce mauvais coup)"
"222";"~";"~";"~";"~";"~";"<E>";"-";"interdire";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Cette grille interdit le passage"
"223";"+";"+";"+";"-";"+";"<E>";"-";"interdire";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"Max interdit à Léa qu'elle fume du tabac"
"224";"+";"+";"+";"-";"+";"<E>";"-";"intimer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max a intimé à Léa(E+l'ordre)qu'elle vienne demain"
"225";"~";"~";"~";"~";"~";"<E>";"-";"iodler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Hans iodle à Gertrud qu'il l'aime"
"226";"+";"-";"-";"-";"-";"<E>";"-";"jaboter";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Coco jabote à Max qu'il a faim"
"227";"+";"-";"-";"-";"-";"<E>";"-";"jacasser";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Léa jacasse à Ida que la voisine fréquente"
"228";"~";"~";"~";"~";"~";"<E>";"-";"jacter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max ne jacte plus à sa soeur"
"229";"+";"-";"-";"-";"-";"<E>";"-";"jalouser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"Max jalouse à Luc qu'il puisse être invité"
"230";"+";"-";"-";"-";"-";"<E>";"-";"japper";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Médor jappe à Léa qu'il a faim"
"231";"+";"-";"-";"-";"-";"<E>";"-";"jargonner";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Bob jargonne à Zoé qu'il ne viendra pas"
"232";"+";"-";"-";"-";"-";"<E>";"-";"jeter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a jeté à Léa qu'elle était bête"
"233";"+";"-";"-";"-";"-";"<E>";"-";"jurer";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"Max jure (de dire la vérité+à Ida qu'il est venu)"
"234";"+";"-";"-";"-";"-";"<E>";"-";"klaxonner";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a klaxonné à Luc qu'il arrivait"
"235";"+";"-";"-";"-";"-";"<E>";"-";"lâcher";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a lâché à Ida que Luc était parti"
"236";"~";"~";"~";"~";"~";"<E>";"-";"laisser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Luc a laissé à Max qu'il remette tout en place"
"237";"+";"-";"-";"-";"-";"<E>";"-";"lancer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max lance à Ida qu'il va partir"
"238";"+";"-";"-";"-";"-";"<E>";"-";"larmoyer";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max larmoie à Luc qu'Ida est revenue"
"239";"+";"-";"-";"-";"-";"<E>";"-";"léguer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a légué à Ida de savoir peindre"
"240";"~";"~";"~";"~";"~";"<E>";"-";"libeller";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a libellé à Léa qu'elle devait venir"
"241";"+";"-";"-";"-";"-";"<E>";"-";"lire";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a lu à Bob que la guerre était déclarée"
"242";"+";"+";"+";"+";"+";"<E>";"-";"livrer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"Max a livré à Luc qu'Ida était en faute"
"243";"~";"~";"~";"~";"~";"<E>";"-";"louer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max loue à Luc les qualités de cette voiture"
"244";"+";"-";"-";"-";"-";"ne";"+";"mâcher";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max ne lui a pas mâché qu'il n'était pas content"
"245";"+";"-";"-";"-";"-";"<E>";"-";"mâchonner";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max mâchonne à Ida que le riz est trop cuit"
"246";"~";"~";"~";"~";"~";"<E>";"-";"mailer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Bob a mailé à Paul qu'il arrivait"
"247";"+";"-";"-";"-";"-";"<E>";"-";"maintenir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max maintient à Flo que la porte était fermée"
"248";"+";"-";"-";"-";"-";"<E>";"-";"mander";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max a mandé à Ida que l'on s'occupât de son affaire"
"249";"+";"-";"-";"-";"-";"<E>";"-";"manifester";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"Flo a manifesté à Max qu'elle était agacée"
"250";"+";"-";"-";"-";"-";"<E>";"-";"marchandailler";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Flo a marchandaillé à Luc qu'elle pourrait venir"
"251";"+";"-";"-";"-";"-";"<E>";"-";"marchander";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max a marchandé (à+auprès de)Luc que Flo puisse venir"
"252";"+";"-";"-";"-";"-";"<E>";"-";"marmonner";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max marmonne à Flo qu'il n'est pas content"
"253";"+";"-";"-";"-";"-";"<E>";"-";"marmotter";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max marmotte à Flo qu'il n'est pas content"
"254";"~";"~";"~";"~";"~";"<E>";"-";"marquer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max marque à Luc qu'il est mécontent"
"255";"~";"~";"~";"~";"~";"<E>";"-";"masquer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a masqué à Ida qu'il était furieux"
"256";"+";"-";"-";"-";"-";"<E>";"-";"maugréer";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max maugrée à Ida qu'il n'est pas satisfait"
"257";"+";"-";"-";"-";"-";"<E>";"-";"mendier";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max mendie à Ida qu'elle vienne demain"
"258";"+";"-";"-";"-";"-";"<E>";"-";"mentionner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a mentionné à Léa que tout devrait être en ordre"
"259";"-";"+";"+";"-";"-";"<E>";"-";"mériter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Ces services méritent de recevoir la légion d'honneur"
"260";"+";"-";"-";"-";"-";"<E>";"-";"meugler";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Io meuglait à Zeus qu'elle était mécontente"
"261";"+";"-";"-";"-";"-";"<E>";"-";"miauler";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Cat miaule à Max qu'il a faim"
"262";"+";"-";"-";"-";"-";"<E>";"-";"mimer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a mimé à Léa qu'il était muet"
"263";"+";"-";"-";"-";"-";"<E>";"-";"minauder";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Ida minaude à Max qu'elle est trop fatiguée"
"264";"+";"+";"+";"+";"+";"<E>";"-";"minimiser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"Max a minimisé à Léa qu'il avait fait une faute"
"265";"+";"-";"-";"-";"-";"<E>";"-";"moduler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max a attentivement modulé à Léa qu'il l'aimait"
"266";"+";"+";"+";"+";"+";"<E>";"-";"montrer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Guy montre à Ida qu'il est en forme"
"267";"+";"-";"-";"-";"-";"<E>";"-";"motiver";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a motivé à Luc qu'il avait décidé cela"
"268";"+";"-";"-";"-";"-";"<E>";"-";"moucharder";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"Toto a mouchardé à Max que Léa était partie"
"269";"+";"-";"-";"-";"-";"<E>";"-";"mugir";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max mugit à Luc qu'il n'est pas content"
"270";"+";"-";"-";"-";"-";"<E>";"-";"murmurer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max murmure à Léa qu'il l'aime"
"271";"~";"~";"~";"~";"~";"<E>";"-";"narrer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max narre à Luc comment Léa est partie"
"272";"+";"-";"-";"-";"-";"<E>";"-";"nasiller";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max nasille à Léa qu'il est enrhumé"
"273";"+";"-";"-";"-";"-";"<E>";"-";"notifier";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"On a notifié à Max qu'il était renvoyé"
"274";"+";"+";"+";"-";"+";"<E>";"-";"octroyer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"On a octroyé à Max de collecter les impôts"
"275";"+";"-";"-";"-";"-";"<E>";"-";"offrir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max a offert à Ida qu'elle soit sa femme"
"276";"+";"-";"-";"-";"-";"<E>";"-";"opiner";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"Max opine à Luc qu'il fera ce travail"
"277";"+";"+";"+";"-";"+";"<E>";"-";"ordonner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max a ordonné à Léa qu'elle vienne tôt"
"278";"~";"~";"~";"~";"~";"<E>";"-";"ouvrir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Ceci ouvre à Léa de pouvoir passer le concours"
"279";"+";"-";"-";"-";"-";"<E>";"-";"pardonner";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"Max pardonne à Léa qu'elle soit revenue"
