"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><avoir>";"Vsup = il y avoir";"Vop = mettre";"Vop = N-hum donner";"<ENT>Det1";"C1 =: Npc";"Det1 pluriel";"<ENT>C1";"<ENT>Prép2";"<ENT>Det2";"C2 =: Npc";"<ENT>C2";"Exemple"
"389";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"<E>";"-";"-";"  peur";"de";"les";"-";"  mots";"§a§peur des mots "
"390";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"<E>";"-";"-";"  peur";"de";"Poss0";"-";"  ombre";"§a§peur de son ombre "
"391";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"la";"-";"-";"  peur";"à";"le";"+";"  ventre";"§a§la peur au ventre "
"392";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"du";"-";"-";"  pèze";"de";"<E>";"-";"  côté";"§a§du pèze de côté "
"393";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"du";"-";"-";"  pèze";"devant";"<E>";"-";"  Lui-0";"§a§du pèze devant lui "
"394";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"du";"-";"-";"  pèze";"sur";"<E>";"-";"  Lui-0";"§a§du pèze sur lui "
"395";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"le";"+";"-";"  pied";"à";"le";"-";"  étrier";"§a§le pied à l'étrier "
"396";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"un";"+";"-";"  pied";"dans";"la";"-";"  fosse";"§a§un pied dans la fosse "
"397";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"bon";"+";"-";"  pied";"<E>";"bon";"+";"  oeil";"§a§bon pied bon oeil "
"398";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"un";"+";"-";"  pied";"dans";"la";"-";"  place";"§a§un pied dans la place "
"399";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"un";"+";"-";"  pied";"dans";"la";"-";"  tombe";"§a§un pied dans la tombe "
"400";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"les deux";"+";"-";"  pieds";"dans";"le même";"-";"  sabot";"§a§les deux pieds dans le même sabot "
"401";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"les deux";"+";"-";"  pieds";"dans";"le même";"-";"  soulier";"§a§les deux pieds dans le même soulier "
"402";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"les";"+";"-";"  pieds";"sur";"<E>";"-";"  terre";"§a§les pieds sur terre "
"403";"+";"+";"-";"-";"<E>";"avoir";"+";"-";"-";"une";"-";"-";"  pierre";"dans";"Poss0";"-";"  jardin";"§a§une pierre dans son jardin "
"404";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"une";"-";"-";"  pierre";"à";"la";"-";"  place du coeur";"§a§une pierre à la place du coeur "
"405";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  pignon";"sur";"<E>";"-";"  rue";"§a§pignon sur rue "
"406";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"un";"-";"-";"  pincement";"à";"le";"+";"  coeur";"§a§un pincement au coeur "
"407";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"la";"-";"-";"  pipe";"à";"la";"+";"  bouche";"§a§la pipe à la bouche "
"408";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"le";"-";"-";"  pistolet";"à";"le";"+";"  poing";"§a§le pistolet au poing "
"409";"+";"-";"-";"+";"n'";"avoir pas";"+";"-";"-";"de";"-";"-";"  pitié";"pour";"les";"-";"  canards boiteux";"§n'a pas§de pitié pour les canards boiteux "
"410";"+";"+";"-";"-";"<E>";"avoir";"+";"+";"+";"une";"-";"-";"  place";"dans";"le";"+";"  coeur de Nhum";"§a§une place dans le coeur de Nhum "
"411";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"une";"-";"-";"  place";"à";"le";"-";"  soleil";"§a§une place au soleil "
"412";"+";"+";"-";"-";"<E>";"avoir";"+";"-";"+";"une";"-";"-";"  place";"dans";"la";"-";"  vie de Nhum";"§a§une place dans la vie de Nhum "
"413";"+";"+";"-";"-";"<E>";"avoir";"+";"-";"+";"une grande";"-";"-";"  place";"dans";"la";"-";"  vie de Nhum";"§a§une grande place dans la vie de Nhum "
"414";"+";"+";"-";"-";"<E>";"avoir";"+";"-";"+";"une petite";"-";"-";"  place";"dans";"la";"-";"  vie de Nhum";"§a§une petite place dans la vie de Nhum "
"415";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"du";"-";"-";"  plomb";"dans";"la";"+";"  aile";"§a§du plomb dans l'aile "
"416";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"du";"-";"-";"  plomb";"dans";"la";"+";"  cervelle";"§a§du plomb dans la cervelle "
"417";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"du";"-";"-";"  plomb";"dans";"la";"+";"  tête";"§a§du plomb dans la tête "
"418";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"des";"-";"-";"  poches";"sous";"les";"+";"  yeux";"§a§des poches sous les yeux "
"419";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"+";"un";"-";"-";"  poids";"sur";"le";"+";"  estomac";"§a§un poids sur l'estomac "
"420";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"un";"-";"-";"  poids de moins";"sur";"le";"+";"  coeur";"§a§un poids de moins sur le coeur "
"421";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"un";"-";"-";"  poids de moins";"sur";"la";"-";"  conscience";"§a§un poids de moins sur la conscience "
"422";"+";"-";"-";"+";"n'";"avoir";"+";"-";"-";"un";"+";"-";"  poil";"sur";"le";"+";"  caillou";"§n'a§un poil sur le caillou "
"423";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"un";"-";"-";"  poil";"dans";"la";"+";"  main";"§a§un poil dans la main "
"424";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"du";"+";"-";"  poil";"à";"le";"+";"  menton";"§a§du poil au menton "
"425";"+";"-";"-";"+";"n'";"avoir";"-";"-";"-";"un";"+";"-";"  poil";"de";"<E>";"-";"  sec";"§n'a§un poil de sec "
"426";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"+";"un";"-";"-";"  point";"dans";"le";"+";"  dos";"§a§un point dans le dos "
"427";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"une";"-";"+";"  poire";"pour";"la";"-";"  soif";"§a§une poire pour la soif "
"428";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"un";"-";"-";"  polichinelle";"dans";"le";"-";"  tiroir";"§a§un polichinelle dans le tiroir "
"429";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"une";"-";"-";"  poussière";"dans";"le";"+";"  oeil";"§a§une poussière dans l'oeil "
"430";"-";"+";"-";"-";"<E>";"avoir";"-";"-";"+";"du";"-";"-";"  prix";"à";"les";"+";"  yeux de Nhum";"§a§du prix aux yeux de Nhum "
"431";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"+";"la";"-";"-";"  puce";"à";"la";"+";"  oreille";"§a§la puce à l'oreille "
"432";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"<E>";"-";"-";"  quelque chose";"à";"<E>";"-";"  ajouter";"§a§quelque chose à ajouter "
"433";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"<E>";"-";"-";"  quelque chose";"dans";"le";"+";"  buffet";"§a§quelque chose dans le buffet "
"434";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"<E>";"-";"-";"  quelque chose";"dans";"le";"-";"  caleçon";"§a§quelque chose dans le caleçon "
"435";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"<E>";"-";"-";"  quelque chose";"dans";"le";"+";"  cerveau";"§a§quelque chose dans le cerveau "
"436";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"<E>";"-";"-";"  quelque chose";"dans";"la";"+";"  cervelle";"§a§quelque chose dans la cervelle "
"437";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"<E>";"-";"-";"  quelque chose";"dans";"le";"+";"  ciboulot";"§a§quelque chose dans le ciboulot "
"438";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"<E>";"-";"-";"  quelque chose";"dans";"le";"+";"  citron";"§a§quelque chose dans le citron "
"439";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"<E>";"-";"-";"  quelque chose";"sur";"le";"+";"  coeur";"§a§quelque chose sur le coeur "
"440";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"<E>";"-";"-";"  quelque chose";"dans";"le";"+";"  coffre";"§a§quelque chose dans le coffre "
"441";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"<E>";"-";"-";"  quelque chose";"dans";"le";"+";"  crâne";"§a§quelque chose dans le crâne "
"442";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"<E>";"-";"-";"  quelque chose";"dans";"la";"-";"  culotte";"§a§quelque chose dans la culotte "
"443";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"<E>";"-";"-";"  quelque chose";"à";"<E>";"-";"  déclarer";"§a§quelque chose à déclarer "
"444";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"<E>";"-";"-";"  quelque chose";"à";"<E>";"-";"  déclarer ?";"§a§quelque chose à déclarer ? "
"445";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"<E>";"-";"-";"  quelque chose";"à";"<E>";"-";"  dire";"§a§quelque chose à dire "
"446";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"<E>";"-";"-";"  quelque chose";"dans";"le";"+";"  estomac";"§a§quelque chose dans l'estomac "
"447";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"<E>";"-";"-";"  quelque chose";"dans";"le";"+";"  estomac";"§a§quelque chose dans l'estomac "
"448";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"<E>";"-";"-";"  quelque chose";"à";"<E>";"-";"  faire";"§a§quelque chose à fait "
"449";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"<E>";"-";"-";"  quelque chose";"à";"<E>";"-";"  gagner Loc N";"§a§quelque chose à gagner Loc N "
"450";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"<E>";"-";"-";"  quelque chose";"à";"<E>";"-";"  mettre";"§a§quelque chose à mettre "
"451";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"<E>";"-";"-";"  quelque chose";"à";"se";"-";"  mettre";"§a§quelque chose à se mettre "
"452";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"<E>";"-";"-";"  quelque chose";"à";"se";"-";"  mettre sous la dent";"§a§quelque chose à se mettre sous la dent "
"453";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"<E>";"-";"-";"  quelque chose";"contre";"le";"+";"  Nmaladie";"§a§quelque chose contre le Nmaladie "
"454";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"<E>";"-";"-";"  quelque chose";"pour";"le";"+";"  Nmaladie";"§a§quelque chose pour le Nmaladie "
"455";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"<E>";"-";"-";"  quelque chose";"à";"se";"-";"  reprocher";"§a§quelque chose à se reprocher "
"456";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"<E>";"-";"-";"  quelque chose";"dans";"la";"+";"  tête";"§a§quelque chose dans la tête "
"457";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"<E>";"-";"-";"  quelque chose";"contre";"la";"+";"  toux";"§a§quelque chose contre la toux "
"458";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"<E>";"-";"-";"  quelque chose";"pour";"la";"+";"  toux";"§a§quelque chose pour la toux "
"459";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"<E>";"-";"-";"  quelque chose";"dans";"le";"+";"  ventre";"§a§quelque chose dans le ventre "
"460";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"les";"-";"-";"  questions";"mais pas";"les";"-";"  réponses";"§a§les questions mais pas les réponses "
"461";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"la";"+";"-";"  queue";"entre";"les";"+";"  jambes";"§a§la queue entre les jambes "
"462";"-";"+";"-";"+";"n'";"avoir ni";"+";"-";"-";"<E>";"+";"-";"  queue";"ni";"<E>";"+";"  tête";"§n'a ni§queue ni tête "
"463";"+";"-";"-";"+";"n'";"avoir pas";"-";"+";"-";"un";"-";"-";"  radis";"de";"<E>";"-";"  côté";"§n'a pas§un radis de côté "
"464";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"pas un";"-";"-";"  radis";"à";"<E>";"-";"  Lui-0";"§a§pas un radis à lui "
"465";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"pas un";"-";"-";"  radis";"devant";"<E>";"-";"  Lui-0";"§a§pas un radis devant lui "
"466";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"pas un";"-";"-";"  radis";"sur";"<E>";"-";"  Lui-0";"§a§pas un radis sur lui "
"467";"+";"-";"-";"+";"n'";"avoir pas";"-";"+";"-";"un";"-";"-";"  radis";"en";"<E>";"-";"  poche";"§n'a pas§un radis en poche "
"468";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"la";"-";"-";"  rage";"à";"le";"+";"  coeur";"§a§la rage au coeur "
"469";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"de la";"-";"-";"  rage";"dans";"le";"-";"  regard";"§a§de la rage dans le regard "
"470";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"la";"-";"-";"  rage";"à";"le";"+";"  ventre";"§a§la rage au ventre "
"471";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"de la";"-";"-";"  rage";"dans";"les";"+";"  yeux";"§a§de la rage dans les yeux "
"472";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  raison";"<E>";"cent";"-";"  fois";"§a§raison cent fois "
"473";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  raison";"<E>";"mille";"-";"  fois";"§a§raison mille fois "
"474";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"un certain";"-";"-";"  rapport";"à";"le";"-";"  argent";"§a§un certain rapport à l'argent "
"475";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"un";"-";"-";"  regard";"en";"<E>";"-";"  coin";"§a§un regard en coin "
"476";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"un";"-";"+";"  regard";"en";"<E>";"-";"  coulisse";"§a§un regard en coulisse "
"477";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"le";"-";"+";"  règlement";"pour";"<E>";"-";"  Lui-0";"§a§le règlement pour lui "
"478";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"<E>";"-";"-";"  réponse";"à";"<E>";"-";"  tout";"§a§réponse à tout "
"479";"-";"+";"-";"-";"<E>";"avoir";"+";"+";"+";"du";"-";"-";"  retard";"à";"le";"-";"  allumage";"§a§du retard à l'allumage "
"480";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"le";"-";"-";"  revolver";"à";"le";"+";"  poing";"§a§le revolver au poing "
"481";"+";"-";"-";"+";"n'";"avoir plus";"+";"-";"-";"<E>";"-";"-";"  rien";"à";"<E>";"-";"  attendre de N";"§n'a plus§rien à attendre de N "
"482";"+";"-";"-";"+";"n'";"avoir";"+";"-";"-";"<E>";"-";"-";"  rien";"à";"<E>";"-";"  cacher";"§n'a§rien à cacher "
"483";"+";"-";"-";"+";"n'";"avoir";"+";"-";"-";"<E>";"-";"-";"  rien";"dans";"le";"+";"  cerveau";"§n'a§rien dans le cerveau "
"484";"+";"-";"-";"+";"n'";"avoir";"+";"-";"-";"<E>";"-";"-";"  rien";"dans";"la";"+";"  cervelle";"§n'a§rien dans la cervelle "
"485";"+";"-";"-";"+";"n'";"avoir";"+";"-";"-";"<E>";"-";"-";"  rien";"dans";"le";"+";"  ciboulot";"§n'a§rien dans le ciboulot "
"486";"+";"-";"-";"+";"n'";"avoir";"+";"-";"-";"<E>";"-";"-";"  rien";"dans";"le";"+";"  citron";"§n'a§rien dans le citron "
"487";"+";"-";"-";"+";"n'";"avoir";"+";"-";"-";"<E>";"-";"-";"  rien";"dans";"le";"+";"  coco";"§n'a§rien dans le coco "
"488";"+";"-";"-";"+";"n'";"avoir";"+";"-";"-";"<E>";"-";"-";"  rien";"à";"<E>";"-";"  craindre de Nhum";"§n'a§rien à craindre de Nhum "
"489";"+";"-";"-";"+";"n'";"avoir";"+";"-";"-";"<E>";"-";"-";"  rien";"dans";"le";"+";"  crâne";"§n'a§rien dans le crâne "
"490";"+";"-";"-";"+";"n'";"avoir plus";"+";"-";"-";"<E>";"-";"-";"  rien";"à";"<E>";"-";"  désirer";"§n'a plus§rien à désirer "
"491";"-";"+";"-";"+";"n'";"avoir";"+";"-";"-";"<E>";"-";"-";"  rien";"de";"<E>";"-";"  extraordinaire";"§n'a§rien d'extraordinaire "
"492";"+";"-";"-";"+";"n'";"avoir";"+";"-";"+";"<E>";"-";"-";"  rien";"à";"<E>";"-";"  faire";"§n'a§rien à fait "
"493";"-";"+";"-";"+";"n'";"avoir";"+";"-";"-";"<E>";"-";"-";"  rien";"de";"bien";"-";"  malin";"§n'a§rien de bien malin "
"494";"+";"-";"-";"+";"n'";"avoir";"+";"-";"-";"<E>";"-";"-";"  rien";"à";"<E>";"-";"  mettre";"§n'a§rien à mettre "
"495";"+";"-";"-";"+";"n'";"avoir";"+";"-";"-";"<E>";"-";"-";"  rien";"à";"se";"-";"  mettre";"§n'a§rien à se mettre "
"496";"-";"+";"-";"+";"n'";"avoir";"+";"-";"-";"<E>";"-";"-";"  rien";"de";"<E>";"-";"  mystérieux";"§n'a§rien de mystérieux "
"497";"+";"-";"-";"+";"n'";"avoir plus";"+";"-";"-";"<E>";"-";"-";"  rien";"à";"<E>";"-";"  perdre";"§n'a plus§rien à perdre "
"498";"+";"-";"-";"+";"n'";"avoir";"-";"-";"+";"<E>";"-";"-";"  rien";"pour";"<E>";"-";"  rien";"§n'a§rien pour rien "
"499";"-";"+";"-";"+";"n'";"avoir";"+";"-";"-";"<E>";"-";"-";"  rien";"de";"<E>";"-";"  sorcier";"§n'a§rien de sorcier "
"500";"+";"-";"-";"+";"n'";"avoir";"+";"-";"-";"<E>";"-";"-";"  rien";"dans";"la";"+";"  tête";"§n'a§rien dans la tête "
"501";"+";"-";"-";"+";"n'";"avoir";"+";"-";"-";"<E>";"-";"-";"  rien";"dans";"le";"+";"  ventre";"§n'a§rien dans le ventre "
"502";"+";"-";"-";"+";"n'";"avoir jamais";"-";"-";"-";"<E>";"-";"-";"  rien";"<E>";"<E>";"-";"  vu";"§n'a jamais§rien vu "
"503";"-";"+";"-";"+";"n'";"avoir ni";"+";"-";"-";"<E>";"-";"-";"  rime";"ni";"<E>";"-";"  raison";"§n'a ni§rime ni raison "
"504";"+";"+";"-";"-";"<E>";"avoir";"+";"-";"+";"un";"-";"-";"  rôle";"dans";"la";"-";"  vie de Nhum";"§a§un rôle dans la vie de Nhum "
"505";"+";"+";"-";"-";"<E>";"avoir";"+";"-";"+";"un grand";"-";"-";"  rôle";"dans";"la";"-";"  vie de Nhum";"§a§un grand rôle dans la vie de Nhum "
"506";"+";"+";"-";"-";"<E>";"avoir";"+";"-";"+";"un";"-";"-";"  rôle à jouer";"dans";"la";"-";"  vie de Nhum";"§a§un rôle à jouer dans la vie de Nhum "
"507";"+";"-";"-";"+";"n'";"avoir pas";"-";"+";"-";"un";"-";"-";"  rond";"de";"<E>";"-";"  côté";"§n'a pas§un rond de côté "
