"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: en figé";"<ENT>Ppv";"<ENT><avoir>";"<ENT>Det1";"C1 =: Npc0";"Det1 pluriel";"<ENT>C1";"<ENT>Adj1";"Det1 =: Dind";"Vop = N-hum donner";"il y avoir Det1 C1 Adj1 Prép2 (N2 de N0)";"Exemple"
"99";"+";"-";"-";"<E>";" avoir";"le";"+";"-";"  pied";"sûr";"-";"+";"-";"§a§le pied sûr "
"100";"+";"-";"-";"<E>";" avoir";"les";"+";"-";"  pieds";"nickelés";"+";"+";"-";"§a§les pieds nickelés "
"101";"+";"-";"-";"<E>";" avoir";"<E>";"+";"-";"  pieds et poings";"liés";"-";"-";"-";"§a§pieds et poings liés "
"102";"+";"-";"-";"<E>";" avoir";"la";"-";"-";"  plume";"facile";"-";"+";"-";"§a§la plume facile "
"103";"+";"-";"-";"<E>";" avoir";"les";"-";"-";"  poches";"pleines";"-";"-";"-";"§a§les poches pleines "
"104";"+";"-";"-";"<E>";" avoir";"une";"-";"-";"  politesse";"glacée";"-";"-";"+";"§a§une politesse glacée "
"105";"+";"-";"-";"<E>";" avoir";"la";"+";"-";"  queue";"basse";"-";"-";"-";"§a§la queue basse "
"106";"+";"-";"-";"<E>";" avoir";"la";"-";"-";"  répartie";"facile";"-";"-";"-";"§a§la répartie facile "
"107";"+";"-";"-";"<E>";" avoir";"la";"-";"-";"  réplique";"facile";"-";"-";"-";"§a§la réplique facile "
"108";"+";"-";"-";"<E>";" avoir";"le";"-";"-";"  rire";"facile";"+";"-";"-";"§a§le rire facile "
"109";"+";"-";"-";"<E>";" avoir";"le";"+";"-";"  sang";"chaud";"-";"-";"-";"§a§le sang chaud "
"110";"+";"-";"-";"<E>";" avoir";"le";"-";"-";"  sens";"pratique";"+";"+";"+";"§a§le sens pratique "
"111";"+";"+";"-";"<E>";" avoir";"un";"-";"-";"  succès";"boeuf";"-";"-";"+";"§a§un succès boeuf "
"112";"+";"-";"-";"<E>";" avoir";"la";"-";"-";"  tâche";"facile";"+";"-";"-";"§a§la tâche facile "
"113";"+";"-";"-";"<E>";" avoir";"la";"+";"-";"  tête";"ailleurs";"-";"-";"-";"§a§la tête ailleurs "
"114";"+";"-";"-";"<E>";" avoir";"la";"+";"-";"  tête";"basse";"-";"-";"-";"§a§la tête basse "
"115";"+";"-";"-";"<E>";" avoir";"la";"+";"-";"  tête";"chaude";"-";"-";"-";"§a§la tête chaude "
"116";"+";"-";"-";"<E>";" avoir";"la";"+";"-";"  tête";"enflée de N-hum";"-";"-";"-";"§a§la tête enflée de N-hum "
"117";"+";"-";"-";"<E>";" avoir";"la";"+";"-";"  tête";"froide";"-";"-";"-";"§a§la tête froide "
"118";"+";"-";"-";"<E>";" avoir";"la";"+";"-";"  tête";"où ?";"-";"-";"-";"§a§la tête où ? "
"119";"+";"-";"-";"<E>";" avoir";"<E>";"-";"-";"  tout";"faux";"-";"-";"-";"§a§tout faux "
"120";"+";"-";"-";"<E>";" avoir";"la";"+";"-";"  tripe";"républicaine";"-";"+";"-";"§a§la tripe républicaine "
"121";"+";"-";"-";"<E>";" avoir";"le";"+";"-";"  ventre";"creux";"-";"-";"-";"§a§le ventre creux "
"122";"+";"-";"-";"<E>";" avoir";"le";"+";"-";"  ventre";"vide";"-";"-";"-";"§a§le ventre vide "
"123";"+";"-";"-";"<E>";" avoir";"le";"-";"-";"  verbe";"haut";"-";"-";"-";"§a§le verbe haut "
"124";"+";"+";"-";"<E>";" avoir";"la";"-";"-";"  vie";"dure";"-";"-";"-";"§a§la vie dure "
"125";"+";"-";"-";"<E>";" avoir";"la";"-";"-";"  vie";"facile";"-";"-";"+";"§a§la vie facile "
"126";"+";"-";"-";"<E>";" avoir";"la";"-";"-";"  vie";"sauve";"-";"-";"-";"§a§la vie sauve "
"127";"+";"-";"-";"<E>";" avoir";"le";"-";"-";"  vin";"gai";"-";"-";"-";"§a§le vin gai "
"128";"+";"-";"-";"<E>";" avoir";"le";"-";"-";"  vin";"mauvais";"-";"-";"-";"§a§le vin mauvais "
"129";"+";"-";"-";"<E>";" avoir";"le";"-";"-";"  vin";"triste";"-";"-";"-";"§a§le vin triste "
"130";"+";"-";"-";"<E>";" avoir";"<E>";"-";"-";"  voix";"consultative";"-";"+";"-";"§a§voix consultative "
"131";"+";"-";"-";"<E>";" avoir";"la";"-";"-";"  vue";"basse";"-";"-";"-";"§a§la vue basse "
"132";"+";"-";"-";"<E>";" avoir";"la";"-";"-";"  vue";"courte";"+";"-";"-";"§a§la vue courte "
"133";"+";"-";"-";"<E>";" avoir";"les";"+";"-";"  yeux";"battus";"+";"-";"-";"§a§les yeux battus "

