"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"C1 =: Npc0";"<ENT>C1";"N0 V Prép1 Det1 C1";"C1 =: C1 de Nhum";"C1 =: C1 de N-hum";"C1 de Nhum = Ppv-C1 =: lui-C1";"Det1 C1 de Nc = Poss C1";"Exemple"
"278";"+";"+";"-";"-";"-";"<E>";" régner";"sur";"le";"+";" coeur";"-";"+";"-";"-";"+";"§régner§sur le coeur "
"279";"-";"+";"-";"-";"-";"<E>";" rejaillir";"à";"la";"+";" figure";"-";"+";"-";"+";"-";"§rejaillir§à la figure "
"280";"-";"+";"-";"-";"-";"<E>";" rejaillir";"à";"le";"+";" visage";"-";"+";"-";"+";"-";"§rejaillir§au visage "
"281";"+";"-";"+";"+";"-";"s'en";" remettre";"à";"la";"-";" décision";"-";"+";"-";"-";"+";"§s'en remettre§à la décision "
"282";"+";"-";"+";"-";"-";"se";" remettre";"entre";"les";"+";" mains";"-";"+";"-";"-";"+";"§se remettre§entre les mains "
"283";"-";"+";"-";"-";"-";"<E>";" remonter";"dans";"la";"-";" estime";"-";"+";"-";"-";"+";"§remonter§dans l'estime "
"284";"+";"-";"-";"-";"-";"<E>";" remonter";"à";"la";"-";" origine";"+";"-";"+";"-";"+";"§remonter§à l'origine "
"285";"+";"+";"-";"-";"-";"<E>";" remonter";"dans";"le";"-";" passé";"+";"+";"-";"-";"+";"§remonter§dans le passé "
"286";"+";"-";"-";"-";"-";"<E>";" remonter";"à";"la";"-";" source";"+";"-";"+";"-";"+";"§remonter§à la source "
"287";"+";"-";"+";"-";"-";"se";" rendre";"à";"le";"-";" appel";"-";"+";"-";"-";"+";"§se rendre§à l'appel "
"288";"+";"-";"+";"-";"-";"se";" rendre";"à";"les";"-";" arguments";"-";"+";"-";"-";"+";"§se rendre§aux arguments "
"289";"+";"-";"+";"-";"-";"se";" rendre";"à";"le";"-";" avis";"-";"+";"-";"-";"+";"§se rendre§à l'avis "
"290";"+";"-";"+";"-";"-";"se";" rendre";"à";"les";"-";" demandes";"-";"+";"-";"-";"+";"§se rendre§aux demandes "
"291";"+";"-";"+";"-";"-";"se";" rendre";"à";"le";"-";" jugement";"-";"+";"-";"-";"+";"§se rendre§au jugement "
"292";"+";"-";"+";"-";"-";"se";" rendre";"à";"les";"-";" ordres";"-";"+";"-";"-";"+";"§se rendre§aux ordres "
"293";"+";"-";"+";"-";"-";"se";" rendre";"à";"les";"-";" prières";"-";"+";"-";"-";"+";"§se rendre§aux prières "
"294";"+";"-";"+";"-";"-";"se";" rendre";"à";"les";"-";" raisons";"-";"+";"-";"-";"+";"§se rendre§aux raisons "
"295";"+";"-";"+";"-";"-";"se";" rendre";"à";"les";"-";" supplications";"-";"+";"-";"-";"+";"§se rendre§aux supplications "
"296";"+";"-";"-";"-";"-";"<E>";" rentrer";"dans";"le";"+";" chou";"-";"+";"-";"+";"-";"§rentrer§dans le chou "
"297";"+";"-";"-";"-";"-";"<E>";" rentrer";"dans";"le";"+";" lard";"-";"+";"-";"+";"-";"§rentrer§dans le lard "
"298";"+";"-";"-";"-";"-";"<E>";" rentrer";"dans";"les";"+";" plumes";"-";"+";"-";"+";"-";"§rentrer§dans les plumes "
"299";"+";"+";"-";"-";"-";"<E>";" répondre";"à";"le";"-";" appel";"+";"+";"-";"-";"+";"§répondre§à l'appel "
"300";"+";"+";"-";"-";"-";"<E>";" répondre";"à";"les";"-";" avances";"-";"+";"-";"+";"+";"§répondre§aux avances "
"301";"+";"-";"-";"-";"-";"<E>";" répondre";"de";"les";"-";" dettes";"-";"+";"-";"-";"+";"§répondre§des dettes "
"302";"+";"-";"-";"-";"-";"<E>";" répondre";"à";"le";"-";" nom";"-";"+";"-";"-";"-";"§répondre§au nom "
"303";"+";"-";"-";"-";"-";"<E>";" répondre";"de";"la";"-";" personne";"-";"+";"-";"-";"+";"§répondre§de la personne "
"304";"-";"+";"-";"-";"-";"<E>";" répondre";"à";"les";"-";" souhaits";"-";"+";"-";"-";"+";"§répondre§aux souhaits "
"305";"-";"+";"-";"-";"-";"<E>";" répondre";"à";"les";"-";" voeux";"-";"+";"-";"-";"+";"§répondre§aux voeux "
"306";"-";"+";"-";"-";"-";"<E>";" reposer";"sur";"les";"+";" épaules";"-";"+";"-";"+";"+";"§reposer§sur les épaules "
"307";"+";"+";"-";"-";"-";"<E>";" rester";"en";"<E>";"-";" deça";"-";"-";"-";"-";"-";"§rester§en deça "
"308";"+";"+";"-";"-";"-";"<E>";" rester";"en";"<E>";"-";" delà";"-";"-";"-";"-";"-";"§rester§en delà "
"309";"-";"+";"-";"-";"-";"<E>";" rester";"dans";"les";"+";" doigts";"-";"+";"-";"+";"+";"§rester§dans les doigts "
"310";"-";"+";"-";"-";"-";"<E>";" rester";"dans";"les";"+";" mains";"-";"+";"-";"+";"+";"§rester§dans les mains "
