"<ID>";"<ENT>ce";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>est";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"ce être = il y avoir";"ce être = <E>";"C1 =: C1 Qu Pind";"C1 =: C1 Qu Psubj";"C1 =: C1 de V2-inf W";"C1 =: C1 de Nhum";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"Ce être Prép1 Det1 C1 Prép2 Det2 C2 Prép3 N3";"<ENT>Prép3";"N3 =: Nhum";"N3 =: N-hum";"N3 =: ce Qu Pind";"N3 =: ce Qu Psubj";"N3 =: (E+de) V-inf W";"Exemple"
"210";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"gai";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§gai "
"211";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"garanti";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§garanti "
"212";"c'";"-";"-";"<E>";" être";" est";"<E>";"du";"gâteau";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§du gâteau "
"213";"c'";"-";"-";"<E>";" être";" est";"<E>";"un";"genre";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§un genre "
"214";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"le";"genre";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§le genre "
"215";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"gentil";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"+";"à";"-";"-";"+";"-";"-";"c'§est§gentil à "
"216";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"la";"gloire";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§la gloire "
"217";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"grain de sable";"-";"-";"-";"-";"-";"-";"dans";"le";"engrenage";"-";"-";"-";"-";"-";"-";"-";"c'§est§le grain de sable dans l'engrenage "
"218";"c'";"-";"-";"<E>";" être";" est";"à";"la";"guerre";"-";"+";"-";"-";"-";"-";"comme à";"la";"guerre";"-";"-";"-";"-";"-";"-";"-";"c'§est§à la guerre comme à la guerre "
"219";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"guerre !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§la guerre! "
"220";"ce";"-";"+";"n'";" être pas";" est pas";"par";"un";"hasard";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§par un hasard "
"221";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"hasard";"-";"-";"-";"-";"-";"-";"<E>";"qui";"envoyer";"-";"-";"-";"-";"-";"-";"-";"c'§est§l'hasard qui envoyer "
