"<ID>";"<ENT>ce";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>est";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"ce être = il y avoir";"ce être = <E>";"C1 =: C1 Qu Pind";"C1 =: C1 Qu Psubj";"C1 =: C1 de V2-inf W";"C1 =: C1 de Nhum";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"Ce être Prép1 Det1 C1 Prép2 Det2 C2 Prép3 N3";"<ENT>Prép3";"N3 =: Nhum";"N3 =: N-hum";"N3 =: ce Qu Pind";"N3 =: ce Qu Psubj";"N3 =: (E+de) V-inf W";"Exemple"
"1";"c'";"-";"-";"<E>";" être";" est";"<E>";"tout";"<E>";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"-";"-";"-";"-";"c'§est§tout pour "
"2";"c'";"-";"-";"<E>";" être";" est";"<E>";"macache";"<E>";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"-";"-";"-";"-";"c'§est§macache pour "
"3";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"tout";"<E>";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§tout "
"4";"ce";"-";"+";"n'";" être pas";" est pas";"le";"tout";"<E>";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§le tout "
"5";"c'";"-";"-";"<E>";" être";" est";"de";"<E>";"accord";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"+";"-";"+";"+";"c'§est§d'accord pour "
"6";"c'";"-";"-";"<E>";" être";" est";"de";"<E>";"accord";"-";"+";"-";"-";"-";"-";"avec";"<E>";"Nhum";"+";"pour";"+";"+";"-";"+";"+";"c'§est§d'accord avec Nhum pour "
"7";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"le plus";"Adj";"-";"-";"-";"-";"-";"-";"<E>";"qui est le plus";"Adj";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§le plus Adj qui est le plus Adj "
"8";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"le moins";"Adj";"-";"-";"-";"-";"-";"-";"<E>";"qui est le moins";"Adj";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§le moins Adj qui est le moins Adj "
"9";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"le moins";"Adj";"-";"-";"-";"-";"-";"-";"<E>";"qui est le plus";"Adj";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§le moins Adj qui est le plus Adj "
"10";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"le plus";"Adj";"-";"-";"-";"-";"-";"-";"<E>";"qui est le moins";"Adj";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§le plus Adj qui est le moins Adj "
"11";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"affaire";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§l'affaire "
"12";"c'";"-";"-";"<E>";" être";" est";"<E>";"une";"affaire";"-";"-";"-";"-";"-";"-";"<E>";"qui";"marche";"-";"-";"-";"-";"-";"-";"-";"c'§est§une affaire qui marche "
"13";"c'";"-";"-";"<E>";" être";" est";"<E>";"une";"affaire";"-";"-";"-";"-";"-";"-";"<E>";"qui";"tourne";"-";"-";"-";"-";"-";"-";"-";"c'§est§une affaire qui tourne "
"14";"c'";"-";"-";"<E>";" être";" est";"de";"la";"algèbre";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"-";"-";"-";"-";"c'§est§de l'algèbre pour "
"15";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"Amérique !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§la Amérique! "
"16";"c'";"-";"-";"<E>";" être";" est";"<E>";"de le";"argent jeté";"-";"-";"-";"-";"-";"-";"par";"les";"fenêtres";"-";"-";"-";"-";"-";"-";"-";"c'§est§de l'argent jeté par les fenêtres "
"17";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"Arlésienne !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§la Arlésienne! "
"18";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"arroseur";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"arrosé";"-";"-";"-";"-";"-";"-";"-";"c'§est§l'arroseur arrosé "
"19";"c'";"-";"-";"<E>";" être";" est";"<E>";"tout un";"art";"-";"-";"-";"-";"-";"-";"<E>";"qui";"disparaître";"-";"-";"-";"-";"-";"-";"-";"c'§est§tout un art qui disparaître "
"20";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"assez";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"de";"+";"+";"-";"-";"-";"c'§est§assez de "
"21";"c'";"+";"-";"en";" être";" est";"<E>";"<E>";"assez";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"de";"-";"-";"-";"+";"+";"c'§en est§assez de "
"22";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"assez";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§assez "
"23";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"assez";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"bavardé";"-";"-";"-";"-";"-";"-";"-";"c'§est§assez bavardé "
"24";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"assez";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"causé";"-";"-";"-";"-";"-";"-";"-";"c'§est§assez causé "
"25";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"assez";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"dire";"-";"-";"-";"-";"-";"-";"-";"c'§est§assez dire "
"26";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"assez";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"discuté";"-";"-";"-";"-";"-";"-";"-";"c'§est§assez discuté "
"27";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"assez";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"parlé";"-";"-";"-";"-";"-";"-";"-";"c'§est§assez parlé "
"28";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"assez";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"plaisanté";"-";"-";"-";"-";"-";"-";"-";"c'§est§assez plaisanté "
"29";"c'";"-";"-";"<E>";" être";" est";"pour";"<E>";"aujourd'hui";"-";"-";"-";"-";"-";"-";"ou pour";"<E>";"demain ?";"-";"-";"-";"-";"-";"-";"-";"c'§est§pour aujourd'hui ou pour demain ? "
"30";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"autant";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"-";"-";"-";"-";"c'§est§autant pour "
"31";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"autant";"-";"-";"-";"-";"-";"-";"de";"<E>";"Vpp W";"-";"-";"-";"-";"-";"-";"-";"c'§est§autant de Vpp W "
"32";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"barbe !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§la barbe! "
"33";"c'";"-";"-";"<E>";" être";" est";"<E>";"une";"barbe !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§une barbe! "
"34";"c'";"-";"-";"<E>";" être";" est";"<E>";"du";"beau";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§du beau "
"35";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"le plus";"beau";"-";"-";"-";"-";"-";"-";"<E>";"qui est le plus";"idiot";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§le plus beau qui est le plus idiot "
"36";"c'";"-";"-";"<E>";" être";" est";"<E>";"déjà";"beaucoup";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"-";"-";"-";"-";"c'§est§déjà beaucoup pour "
"37";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"beaucoup";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"dire";"-";"-";"-";"-";"-";"-";"-";"c'§est§beaucoup dire "
"38";"c'";"-";"-";"<E>";" être";" est";"<E>";"déjà";"beaucoup";"-";"-";"-";"-";"-";"-";"si";"<E>";"P";"-";"-";"-";"-";"-";"-";"-";"c'§est§déjà beaucoup si P "
"39";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"Berezina!";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§la Berezina! "
"40";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"bernique !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§bernique! "
"41";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"bien";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"de";"+";"-";"-";"-";"-";"c'§est§bien de "
"42";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"bien";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§bien "
"43";"c'";"-";"-";"<E>";" être";" est";"<E>";"fort";"bien";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§fort bien "
"44";"c'";"-";"-";"<E>";" être";" est";"<E>";"très";"bien";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§très bien "
"45";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"bien";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"trouvé";"-";"-";"-";"-";"-";"-";"-";"c'§est§bien trouvé "
"46";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"de la petite";"bière";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§de la petite bière "
"47";"c'";"-";"-";"<E>";" être";" est";"à";"qui en";"boira";"-";"-";"-";"-";"-";"-";"<E>";"le";"dernier";"-";"-";"-";"-";"-";"-";"-";"c'§est§à qui en boira le dernier "
"48";"c'";"-";"-";"<E>";" être";" est";"à";"qui en";"boira";"-";"-";"-";"-";"-";"-";"<E>";"le";"plus";"-";"-";"-";"-";"-";"-";"-";"c'§est§à qui en boira le plus "
"49";"c'";"-";"-";"<E>";" être";" est";"à";"qui en";"boira";"-";"-";"-";"-";"-";"-";"<E>";"le";"premier";"-";"-";"-";"-";"-";"-";"-";"c'§est§à qui en boira le premier "
"50";"c'";"-";"-";"<E>";" être";" est";"<E>";"tout";"bon";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§tout bon "
"51";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"bon";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§bon "
"52";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"bordel";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"Loc";"+";"+";"-";"-";"-";"c'§est§le bordel Loc "
"53";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"bordel";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§le bordel "
"54";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"bouquet";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§le bouquet "
"55";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"le";"bout";"-";"-";"-";"-";"-";"-";"de";"le";"monde";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§le bout du monde "
"56";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"bouteille";"-";"-";"-";"-";"-";"-";"à";"la";"encre";"-";"-";"-";"-";"-";"-";"-";"c'§est§la bouteille à l'encre "
"57";"c'";"-";"-";"<E>";" être";" est";"<E>";"beaucoup de";"bruit";"-";"-";"-";"-";"-";"-";"pour";"<E>";"rien";"-";"-";"-";"-";"-";"-";"-";"c'§est§beaucoup de bruit pour rien "
"58";"ce";"-";"+";"n'";" être jamais";" est jamais";"<E>";"<E>";"ça";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est jamais§ça "
"59";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"<E>";"ça";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§ça "
"60";"ce";"-";"+";"n'";" être plus";" est plus";"<E>";"<E>";"ça";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est plus§ça "
"61";"c'";"-";"-";"<E>";" être";" est";"comme";"<E>";"ça";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§comme ça "
"62";"ce";"-";"+";"n'";" être pas";" est pas";"pour";"<E>";"ça";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§pour ça "
"63";"c'";"-";"-";"<E>";" être";" est";"comme";"<E>";"ça";"-";"-";"-";"-";"-";"-";"et";"pas";"autrement";"-";"-";"-";"-";"-";"-";"-";"c'§est§comme ça et pas autrement "
"64";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"ça";"-";"-";"-";"-";"-";"-";"ou";"<E>";"rien";"-";"-";"-";"-";"-";"-";"-";"c'§est§ça ou rien "
"65";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"<E>";"ça";"-";"-";"-";"-";"-";"-";"de";"le";"tout";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§ça du tout "
"66";"c'";"-";"-";"<E>";" être donc";" était donc";"<E>";"<E>";"ça !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§était donc§ça! "
"67";"c'";"-";"-";"<E>";" être bien";" est bien";"<E>";"<E>";"ça !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est bien§ça! "
"68";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"ça !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§ça! "
"69";"c'";"-";"-";"<E>";" être donc";" est donc";"<E>";"<E>";"ça !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est donc§ça! "
"70";"c'";"-";"-";"<E>";" être";" est";"comme";"<E>";"ça !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§comme ça! "
"71";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"un";"cadeau !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§un cadeau! "
"72";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"calme";"-";"-";"-";"-";"-";"-";"avant";"la";"tempête";"-";"-";"-";"-";"-";"-";"-";"c'§est§le calme avant la tempête "
"73";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"calme plat";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§le calme plat "
"74";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"calme qui précède";"-";"-";"-";"-";"-";"-";"<E>";"la";"tempête";"-";"-";"-";"-";"-";"-";"-";"c'§est§le calme qui précède la tempête "
"75";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"cas";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§le cas "
"76";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"cas";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§le cas "
"77";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"cas";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"-";"-";"-";"-";"c'§est§le cas pour "
"78";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"cas";"-";"-";"-";"-";"-";"-";"de";"<E>";"dire";"+";"<E>";"-";"-";"+";"-";"-";"c'§est§le cas de dire "
"79";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"cas";"-";"-";"-";"-";"-";"-";"de";"le";"dire";"-";"-";"-";"-";"-";"-";"-";"c'§est§le cas du dire "
"80";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"cela";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"même";"-";"-";"-";"-";"-";"-";"-";"c'§est§cela même "
"81";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"cela !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§cela! "
"82";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"celui qui le dit";"-";"-";"-";"-";"-";"-";"<E>";"qui le";"est";"-";"-";"-";"-";"-";"-";"-";"c'§est§celui qui le dit qui l'est "
"83";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"chacun";"-";"-";"-";"-";"-";"-";"pour";"<E>";"soi";"-";"-";"-";"-";"-";"-";"-";"c'§est§chacun pour soi "
"84";"c'";"-";"-";"<E>";" être bien";" est bien";"<E>";"la";"chance";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est bien§la chance "
"85";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"chanson";"-";"-";"-";"-";"-";"-";"que";"tout";"cela";"-";"-";"-";"-";"-";"-";"-";"c'§est§chanson que tout cela "
"86";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"cheap";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§cheap "
"87";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"chiasse";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§la chiasse "
"88";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"chic";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§chic "
"89";"c'";"-";"-";"<E>";" être";" est";"de";"le";"chinois";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"-";"-";"-";"-";"c'§est§du chinois pour "
"90";"c'";"-";"-";"<E>";" être";" est";"<E>";"un";"choc";"-";"-";"-";"-";"-";"-";"dans";"la";"vie";"+";"de";"+";"-";"-";"-";"-";"c'§est§un choc dans la vie de "
"91";"c'";"-";"-";"<E>";" être";" est";"<E>";"autre";"chose";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§autre chose "
"92";"c'";"-";"-";"<E>";" être";" est";"<E>";"la même";"chose";"-";"-";"-";"-";"-";"-";"<E>";"ce que N";"faire ou rien";"-";"-";"-";"-";"-";"-";"-";"c'§est§la même chose ce que N fait ou rien "
"93";"c'";"-";"-";"<E>";" être";" est";"<E>";"la même";"chose";"-";"-";"-";"-";"-";"-";"<E>";"N ou";"rien";"-";"-";"-";"-";"-";"-";"-";"c'§est§la même chose N ou rien "
"94";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"des";"choses";"-";"-";"-";"-";"-";"-";"à";"<E>";"dire";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§des choses à dire "
"95";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"des";"choses";"-";"-";"-";"-";"-";"-";"à";"<E>";"faire";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§des choses à fait "
"96";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"ciel";"-";"-";"-";"-";"-";"-";"<E>";"qui";"envoie";"+";"<E>";"+";"+";"-";"-";"-";"c'§est§le ciel qui envoie "
"97";"c'";"-";"-";"<E>";" être";" est";"<E>";"du";"cinquante";"-";"-";"-";"-";"-";"-";"à";"le";"jus";"-";"-";"-";"-";"-";"-";"-";"c'§est§du cinquante au jus "
"98";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"cirque";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"Loc";"+";"+";"-";"-";"-";"c'§est§le cirque Loc "
"99";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"classe";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§la classe "
"100";"ce";"-";"+";"n'";" être pas";" est pas";"pour";"des";"clous";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§pour des clous "
"101";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"une";"coïncidence si P";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§une coïncidence si P "
"102";"c'";"-";"-";"<E>";" être";" est";"<E>";"un";"combat de nègres";"-";"-";"-";"-";"-";"-";"dans";"un";"tunnel";"-";"-";"-";"-";"-";"-";"-";"c'§est§un combat de nègres dans un tunnel "
"103";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"comble";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§le comble "
