"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: le figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"N0 V";"V0-inf W";"Question indirecte";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"N1 =: Nhum";"N1 =: N-hum";"<ENT>V2";"<ENT>PrépDetv";"<ENT>Cv";"Nv =: Nhum";"Nv =: N-hum";"Exemple"
"140";"+";"+";"-";"-";"-";"+";"n'";" être plus";"-";"-";"+";"ce que";"<E>";"Il-0";"-";"-";"était";"<E>";"<E>";"-";"-";"§n'est plus§ce qu'il était "
"141";"+";"+";"-";"+";"-";"-";"en";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"accroire";"à";"<E>";"+";"-";"§en faire§accroire à "
"142";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"aller";"<E>";"<E>";"-";"-";"§faire§aller "
"143";"+";"-";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"appeler";"<E>";"Jules";"-";"-";"§se faire§appeler Jules "
"144";"+";"-";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"appeler";"<E>";"Arthur";"-";"-";"§se faire§appeler Arthur "
"145";"+";"+";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"attendre";"<E>";"<E>";"-";"-";"§se faire§attendre "
"146";"-";"-";"+";"-";"-";"+";"ne se";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"attendre";"<E>";"<E>";"-";"-";"§ne se faire§attendre "
"147";"+";"-";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"avoir";"aux";"pattes";"-";"-";"§se faire§a aux pattes "
"148";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"à";"<E>";"<E>";"+";"-";"battre";"le";"coeur";"-";"-";"§faire§à battre le coeur "
"149";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"boire";"<E>";"<E>";"+";"-";"§faire§boire "
"150";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"bouillir";"la";"marmite";"-";"-";"§faire§bouillir la marmite "
"151";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"braire";"<E>";"<E>";"+";"-";"§faire§braire "
"152";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"chauffer";"la";"colle";"-";"-";"§faire§chauffer la colle "
"153";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"chier";"<E>";"<E>";"+";"-";"§faire§chier "
"154";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"chier";"<E>";"<E>";"+";"-";"§faire§chier "
"155";"+";"-";"+";"-";"-";"+";"ne se";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"chier";"<E>";"<E>";"-";"-";"§ne se faire§chier "
"156";"+";"-";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"connaître";"de";"<E>";"+";"-";"§se faire§connaître de "
"157";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"couler";"de la";"encre";"-";"-";"§faire§couler de l'encre "
"158";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"couler";"de la";"salive";"-";"-";"§faire§couler de la salive "
"159";"+";"-";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"pour";"<E>";"<E>";"+";"+";"couper";"en";"morceaux";"-";"-";"§se faire§pour couper en morceaux "
"160";"-";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"courir";"<E>";"<E>";"+";"-";"§faire§courir "
"161";"+";"-";"-";"-";"-";"-";"se";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"cuire";"un";"oeuf";"-";"-";"§se faire§cuire un oeuf "
"162";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"danser";"la";"anse du panier";"-";"-";"§faire§danser l'anse du panier "
"163";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"descendre";"la";"pilule";"-";"-";"§faire§descendre la pilule "
"164";"+";"+";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"désirer";"<E>";"<E>";"-";"-";"§se faire§désirer "
"165";"+";"+";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"désirer";"de";"<E>";"+";"-";"§se faire§désirer de "
"166";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"donner";"le";"canon";"-";"-";"§faire§donner le canon "
"167";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"donner";"la";"garde";"-";"-";"§faire§donner la garde "
"168";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"donner";"la";"troupe";"-";"-";"§faire§donner la troupe "
"169";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"durer";"le";"plaisir";"-";"-";"§faire§durer le plaisir "
"170";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"enrager";"<E>";"<E>";"+";"-";"§faire§enrager "
"171";"-";"+";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"entendre";"<E>";"<E>";"-";"-";"§se faire§entendre "
"172";"+";"-";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"entendre";"de";"<E>";"+";"-";"§se faire§entendre de "
"173";"+";"-";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"entendre";"de";"<E>";"+";"-";"§se faire§entendre de "
"174";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"entendre";"Poss0";"voix";"-";"-";"§faire§entendre sa voix "
"175";"+";"-";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"pour";"<E>";"<E>";"+";"+";"hacher";"jusqu'au";"dernier";"-";"-";"§se faire§pour hacher jusqu'au dernier "
"176";"+";"-";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"pour";"<E>";"<E>";"+";"+";"hacher";"en";"morceaux";"-";"-";"§se faire§pour hacher en morceaux "
"177";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"jouer";"la";"corde sensible";"-";"-";"§faire§jouer la corde sensible "
