"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"Nc =: Nhum";"Nc =: N-hum";"N0 être Prép1 Det1 C1";"Det1 C1 de Nc = Poss C1";"Prép1 C1 = où ?";"Exemple"
"428";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"fond";"-";"+";"+";"-";"+";"§être§dans le fond "
"429";"+";"+";"-";"-";"-";"<E>";"être";"à";"le fin";"fond";"-";"+";"+";"-";"+";"§être§au fin fond "
"430";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"fondement";"-";"+";"-";"+";"-";"§être§au fondement "
"431";"+";"+";"-";"-";"-";"<E>";"être";"à";"les fins";"fonds";"-";"+";"+";"-";"+";"§être§aux fins fonds "
"432";"+";"+";"-";"-";"-";"<E>";"être";"dans";"les fins";"fonds";"-";"+";"+";"-";"+";"§être§dans les fins fonds "
"433";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"forme";"-";"+";"-";"-";"-";"§être§en forme "
"434";"-";"+";"-";"-";"-";"<E>";"être";"sous";"<E>";"forme";"-";"+";"-";"-";"-";"§être§sous forme "
"435";"+";"+";"+";"-";"-";"<E>";"être";"à";"le";"fort";"-";"+";"-";"+";"-";"§être§au fort "
"436";"+";"+";"+";"-";"-";"<E>";"être";"à";"le plus";"fort";"-";"+";"-";"+";"-";"§être§au plus fort "
"437";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"foulée";"+";"-";"-";"+";"-";"§être§dans la foulée "
"438";"-";"+";"+";"-";"-";"<E>";"être";"dans";"la";"foulée";"-";"+";"+";"+";"-";"§être§dans la foulée "
"439";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"frange";"-";"+";"-";"+";"+";"§être§à la frange "
"440";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"frange";"-";"+";"-";"+";"-";"§être§à la frange "
"441";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"fréquence";"-";"+";"-";"+";"-";"§être§à la fréquence "
"442";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"front";"-";"+";"+";"-";"+";"§être§au front "
"443";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"fronteau";"-";"+";"+";"-";"+";"§être§au fronteau "
"444";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"frontière";"-";"+";"+";"+";"+";"§être§à la frontière "
"445";"+";"-";"-";"-";"-";"<E>";"être";"à";"les";"funérailles";"+";"-";"-";"+";"+";"§être§aux funérailles "
"446";"+";"-";"-";"-";"-";"<E>";"être";"à";"les";"gages";"+";"-";"-";"-";"-";"§être§aux gages "
"447";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"garantie";"-";"+";"+";"-";"-";"§être§en garantie "
"448";"-";"+";"+";"-";"-";"<E>";"être";"sans";"<E>";"garantie";"+";"-";"+";"-";"-";"§être§sans garantie "
"449";"+";"+";"+";"-";"-";"<E>";"être";"en";"avant-";"garde";"-";"+";"-";"+";"-";"§être§en avant-garde "
"450";"+";"-";"-";"-";"-";"<E>";"être";"en";"avant-";"garde";"+";"-";"-";"+";"+";"§être§en avant-garde "
"451";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"garde";"+";"-";"-";"+";"-";"§être§à la garde "
"452";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"garde";"+";"-";"-";"+";"-";"§être§sous la garde "
"453";"+";"-";"-";"-";"-";"<E>";"être";"à";"l'arrière-";"garde";"+";"-";"-";"+";"+";"§être§à l'arrière-garde "
"454";"+";"+";"+";"-";"-";"<E>";"être";"à";"l'avant-";"garde";"-";"+";"-";"+";"-";"§être§à l'avant-garde "
"455";"+";"-";"-";"-";"-";"<E>";"être";"à";"l'avant-";"garde";"+";"-";"-";"+";"+";"§être§à l'avant-garde "
"456";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"gare";"-";"+";"+";"-";"+";"§être§en gare "
"457";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"garniture";"-";"+";"-";"-";"-";"§être§en garniture "
"458";"+";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"gauche";"-";"+";"+";"-";"+";"§être§à gauche "
"459";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"gauche";"+";"-";"+";"-";"-";"§être§à gauche "
"460";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"gauche";"-";"+";"-";"+";"+";"§être§à la gauche "
"461";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"gauche";"+";"-";"-";"+";"-";"§être§à la gauche "
"462";"+";"+";"-";"-";"-";"<E>";"être";"sur";"la";"gauche";"-";"+";"+";"-";"+";"§être§sur la gauche "
"463";"+";"-";"-";"-";"-";"<E>";"être";"sur";"la";"gauche";"+";"-";"+";"-";"-";"§être§sur la gauche "
"464";"+";"+";"-";"-";"-";"<E>";"être";"à";"l'extrême";"gauche";"-";"+";"+";"-";"+";"§être§à l'extrême gauche "
"465";"+";"-";"-";"-";"-";"<E>";"être";"à";"l'extrême";"gauche";"+";"-";"+";"-";"-";"§être§à l'extrême gauche "
"466";"+";"-";"-";"-";"-";"<E>";"être";"de";"la";"génération";"+";"-";"-";"+";"-";"§être§de la génération "
"467";"-";"+";"-";"-";"-";"<E>";"être";"de";"le";"genre";"-";"+";"-";"+";"-";"§être§du genre "
"468";"-";"+";"-";"-";"-";"<E>";"être";"de";"le sous-";"genre";"-";"+";"-";"+";"-";"§être§du sous-genre "
"469";"+";"-";"-";"-";"-";"<E>";"être";"dans";"le";"giron";"+";"-";"-";"+";"-";"§être§dans le giron "
"470";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"gloire";"+";"-";"-";"+";"-";"§être§à la gloire "
"471";"-";"+";"+";"-";"-";"<E>";"être";"pour";"la plus grande";"gloire";"+";"+";"-";"+";"-";"§être§pour la plus grande gloire "
"472";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"goût";"+";"-";"-";"+";"-";"§être§au goût "
"473";"-";"+";"+";"-";"-";"<E>";"être";"de";"le";"goût";"+";"-";"-";"+";"-";"§être§du goût "
"474";"-";"+";"+";"-";"-";"<E>";"être";"pour";"la";"gouverne";"-";"+";"-";"+";"-";"§être§pour la gouverne "
"475";"+";"-";"-";"-";"-";"<E>";"être";"dans";"les bonnes";"grâces";"+";"-";"-";"+";"-";"§être§dans les bonnes grâces "
"476";"+";"+";"-";"-";"-";"<E>";"être";"dans";"les";"gradins";"-";"+";"+";"+";"+";"§être§dans les gradins "
"477";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"gré";"+";"-";"-";"+";"-";"§être§au gré "
"478";"-";"+";"+";"-";"-";"<E>";"être";"contre";"le";"gré";"+";"-";"-";"+";"-";"§être§contre le gré "
"479";"+";"+";"-";"-";"-";"<E>";"être";"dans";"les";"griffes";"+";"-";"-";"+";"-";"§être§dans les griffes "
"480";"+";"-";"-";"-";"-";"<E>";"être";"de";"le";"groupe";"+";"-";"-";"+";"-";"§être§du groupe "
"481";"+";"-";"-";"-";"-";"<E>";"être";"de";"le sous-";"groupe";"+";"-";"-";"+";"-";"§être§du sous-groupe "
"482";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"guise";"-";"+";"-";"-";"-";"§être§en guise "
"483";"-";"+";"+";"-";"-";"<E>";"être";"dans";"les";"habitudes";"+";"-";"-";"+";"-";"§être§dans les habitudes "
"484";"-";"+";"-";"-";"-";"<E>";"être";"autour de";"les";"hanches";"+";"-";"-";"+";"+";"§être§autour des hanches "
"485";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"hausse";"-";"+";"-";"-";"-";"§être§en hausse "
"486";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"haut";"-";"+";"+";"-";"+";"§être§en haut "
"487";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"haut";"-";"+";"+";"-";"+";"§être§à l'haut "
"488";"+";"+";"-";"-";"-";"<E>";"être";"à";"le plus";"haut";"-";"+";"+";"-";"-";"§être§au plus haut "
"489";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"hauteur";"-";"+";"+";"+";"+";"§être§à l'hauteur "
"490";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"hauteur";"-";"+";"+";"+";"-";"§être§à l'hauteur "
"491";"-";"+";"-";"-";"-";"<E>";"être";"à";"la mi-";"hauteur";"+";"+";"+";"+";"+";"§être§à la mi-hauteur "
"492";"+";"+";"-";"-";"-";"<E>";"être";"à";"mi-";"hauteur";"-";"+";"+";"-";"+";"§être§à mi-hauteur "
"493";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"hauteur des ambitions";"+";"-";"-";"-";"-";"§être§à l'hauteur des ambitions "
"494";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"hauteur des espérances";"+";"-";"-";"-";"-";"§être§à l'hauteur des espérances "
"495";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"hauteur des espoirs";"+";"-";"-";"-";"-";"§être§à l'hauteur des espoirs "
"496";"+";"+";"-";"-";"-";"<E>";"être";"à";"Dnum";"heures de bus";"-";"+";"+";"-";"-";"§être§à Dnum heures de bus "
"497";"+";"+";"-";"-";"-";"<E>";"être";"à";"Dnum";"heures de marche";"-";"+";"+";"-";"-";"§être§à Dnum heures de marche "
"498";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"hîpital";"-";"+";"+";"-";"+";"§être§à l'hîpital "
"499";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"hit parade";"-";"+";"+";"-";"-";"§être§à l'hit parade "
"500";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"honneur";"+";"-";"-";"+";"-";"§être§à l'honneur "
"501";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"honneur";"+";"+";"-";"+";"-";"§être§à l'honneur "
"502";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"honte";"+";"-";"-";"+";"-";"§être§à l'honte "
"503";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"honte";"+";"-";"-";"+";"-";"§être§à l'honte "
"504";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"horizontale";"-";"+";"-";"+";"+";"§être§à l'horizontale "
"505";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"idée";"+";"-";"-";"+";"-";"§être§à l'idée "
"506";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"île";"-";"+";"+";"-";"+";"§être§à la île "
"507";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"île";"-";"+";"+";"-";"+";"§être§dans la île "
"508";"+";"+";"-";"-";"-";"<E>";"être";"sur";"la";"île";"-";"+";"+";"-";"+";"§être§sur la île "
"509";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"image";"+";"+";"-";"+";"-";"§être§à l'image "
"510";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"imitation";"-";"+";"-";"-";"-";"§être§en imitation "
"511";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"imitation";"+";"+";"-";"+";"-";"§être§à l'imitation "
"512";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"imminence";"-";"+";"-";"-";"-";"§être§dans l'imminence "
"513";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"index";"-";"+";"+";"-";"-";"§être§à l'index "
"514";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"influence";"+";"+";"-";"+";"-";"§être§sous l'influence "
"515";"+";"+";"+";"-";"-";"<E>";"être";"à";"la";"initiative";"+";"-";"-";"+";"-";"§être§à l'initiative "
"516";"-";"+";"+";"-";"-";"<E>";"être";"de";"la";"initiative";"+";"-";"-";"+";"-";"§être§de l'initiative "
"517";"-";"+";"+";"-";"-";"<E>";"être";"sur";"<E>";"injonction";"+";"-";"-";"+";"-";"§être§sur injonction "
"518";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"injonction";"+";"-";"-";"+";"-";"§être§à l'injonction "
"519";"-";"+";"+";"-";"-";"<E>";"être";"sur";"la";"injonction";"+";"-";"-";"+";"-";"§être§sur l'injonction "
"520";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"instigation";"+";"-";"-";"+";"-";"§être§à l'instigation "
"521";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"intention";"+";"-";"-";"+";"-";"§être§à l'intention "
"522";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"intention";"+";"-";"-";"+";"-";"§être§à l'intention "
"523";"-";"+";"+";"-";"-";"<E>";"être";"dans";"la";"intention";"+";"-";"-";"+";"-";"§être§dans l'intention "
"524";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"intention personnelle";"+";"-";"-";"+";"-";"§être§à l'intention personnelle "
"525";"-";"+";"+";"-";"-";"<E>";"être";"dans";"les";"intentions";"+";"-";"-";"+";"-";"§être§dans les intentions "
"526";"-";"+";"+";"-";"-";"<E>";"être";"dans";"le";"intérêt";"+";"-";"-";"+";"-";"§être§dans l'intérêt "
"527";"-";"+";"+";"-";"-";"<E>";"être";"de";"le";"intérêt";"+";"-";"-";"+";"-";"§être§de l'intérêt "
"528";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"intérieur";"+";"+";"+";"-";"+";"§être§à l'intérieur "
"529";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"introduction";"-";"+";"-";"-";"+";"§être§en introduction "
"530";"-";"+";"+";"-";"-";"<E>";"être";"de";"la";"invention";"+";"-";"-";"+";"-";"§être§de l'invention "
"531";"-";"+";"+";"-";"-";"<E>";"être";"sur";"<E>";"invitation";"+";"-";"-";"+";"-";"§être§sur invitation "
"532";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"invitation";"+";"-";"-";"+";"-";"§être§à l'invitation "
"533";"-";"+";"+";"-";"-";"<E>";"être";"sur";"la";"invitation";"+";"-";"-";"+";"-";"§être§sur l'invitation "
"534";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"issue";"-";"+";"-";"-";"-";"§être§à l'issue "
"535";"+";"+";"-";"-";"-";"<E>";"être";"sur";"le";"itinéraire";"-";"+";"+";"+";"+";"§être§sur l'itinéraire "
"536";"+";"-";"-";"-";"-";"<E>";"être";"dans";"les";"jambes";"+";"-";"-";"+";"-";"§être§dans les jambes "
"537";"+";"+";"-";"-";"-";"<E>";"être";"à";"un";"jet de pierre";"+";"+";"+";"-";"+";"§être§à un jet de pierre "
"538";"+";"+";"-";"-";"-";"<E>";"être";"sous";"le";"joug";"+";"-";"+";"-";"-";"§être§sous le joug "
"539";"+";"-";"-";"-";"-";"<E>";"être";"dans";"les";"jupes";"+";"-";"-";"+";"-";"§être§dans les jupes "
"540";"+";"+";"+";"-";"-";"<E>";"être";"dans";"la";"juridiction";"+";"-";"-";"+";"-";"§être§dans la juridiction "
"541";"+";"+";"-";"-";"-";"<E>";"être";"à";"six";"kilomètres";"+";"+";"+";"-";"+";"§être§à six kilomètres "
"542";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"large";"-";"+";"+";"-";"+";"§être§au large "
"543";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"large des cîtes";"-";"+";"+";"-";"+";"§être§au large des cîtes "
"544";"-";"+";"+";"-";"-";"<E>";"être";"pour";"le";"lendemain";"-";"+";"+";"-";"-";"§être§pour le lendemain "
"545";"+";"-";"-";"-";"-";"<E>";"être";"sur";"le";"lieu";"-";"+";"-";"-";"+";"§être§sur le lieu "
"546";"+";"-";"-";"-";"-";"<E>";"être";"sur";"les";"lieux";"-";"+";"+";"-";"+";"§être§sur les lieux "
"547";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"ligne de mire";"+";"-";"-";"+";"-";"§être§dans la ligne de mire "
"548";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"ligne de tir";"+";"-";"-";"+";"+";"§être§dans la ligne de tir "
"549";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"ligne de visée";"+";"-";"-";"+";"-";"§être§dans la ligne de visée "
"550";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"lignée";"+";"-";"-";"+";"-";"§être§dans la lignée "
"551";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"limite";"-";"+";"-";"+";"+";"§être§à la limite "
"552";"+";"+";"-";"-";"-";"<E>";"être";"à";"l'extrême";"limite";"-";"+";"-";"+";"+";"§être§à l'extrême limite "
"553";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"limite des forces";"+";"-";"-";"-";"-";"§être§à la limite des forces "
"554";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"lisière";"-";"+";"+";"+";"+";"§être§à la lisière "
"555";"+";"+";"-";"-";"-";"<E>";"être";"sur";"la";"liste";"+";"+";"-";"+";"-";"§être§sur la liste "
"556";"+";"+";"-";"-";"-";"<E>";"être";"sur";"la";"liste noire";"+";"+";"-";"+";"-";"§être§sur la liste noire "
"557";"+";"+";"-";"-";"-";"<E>";"être";"sur";"les";"listes";"+";"+";"-";"+";"-";"§être§sur les listes "
"558";"+";"+";"-";"-";"-";"<E>";"être";"dans";"les";"locaux";"+";"+";"-";"+";"+";"§être§dans les locaux "
"559";"+";"+";"-";"-";"-";"<E>";"être";"à";"les premières";"loges";"-";"+";"+";"-";"+";"§être§aux premières loges "
"560";"-";"+";"+";"-";"-";"<E>";"être";"dans";"la";"logique";"-";"+";"-";"+";"-";"§être§dans la logique "
"561";"+";"+";"-";"-";"-";"<E>";"être";"dans";"une";"logique";"-";"+";"-";"+";"-";"§être§dans une logique "
"562";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"louange";"+";"-";"-";"+";"-";"§être§à la louange "
"563";"-";"+";"-";"-";"-";"<E>";"être";"dans";"la";"main";"+";"-";"-";"+";"+";"§être§dans la main "
"564";"-";"+";"-";"-";"-";"<E>";"être";"dans";"la";"main droite";"+";"-";"-";"+";"+";"§être§dans la main droite "
"565";"-";"+";"-";"-";"-";"<E>";"être";"dans";"la";"main gauche";"+";"-";"-";"+";"+";"§être§dans la main gauche "
"566";"+";"-";"-";"-";"-";"<E>";"être";"à";"les";"mains";"+";"-";"-";"-";"-";"§être§aux mains "
"567";"+";"+";"+";"-";"-";"<E>";"être";"dans";"les";"mains";"+";"-";"-";"+";"-";"§être§dans les mains "
"568";"-";"+";"-";"-";"-";"<E>";"être";"dans";"les";"mains";"+";"-";"-";"+";"+";"§être§dans les mains "
"569";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"maison d'arrêt";"-";"+";"+";"-";"+";"§être§à la maison d'arrêt "
"570";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"mal";"-";"+";"-";"-";"-";"§être§en mal "
"571";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"manière";"+";"-";"-";"+";"-";"§être§à la manière "
"572";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"manque";"-";"+";"+";"-";"-";"§être§en manque "
"573";"+";"+";"-";"-";"-";"<E>";"être";"à";"les";"marches";"-";"+";"-";"-";"+";"§être§aux marches "
"574";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"marge";"-";"+";"+";"-";"-";"§être§en marge "
"575";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"marge";"-";"+";"+";"-";"+";"§être§en marge "
"576";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"marge";"-";"+";"+";"+";"-";"§être§dans la marge "
"577";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"mariage";"+";"-";"-";"+";"+";"§être§au mariage "
"578";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"maximum";"-";"+";"+";"+";"-";"§être§au maximum "
"579";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"mémoire";"+";"-";"-";"+";"-";"§être§à la mémoire "
"580";"+";"+";"+";"-";"-";"<E>";"être";"dans";"la";"mémoire";"+";"-";"-";"+";"-";"§être§dans la mémoire "
"581";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"menace";"+";"+";"-";"+";"-";"§être§sous la menace "
"582";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"menu";"-";"+";"+";"+";"-";"§être§au menu "
"583";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"merci";"+";"+";"-";"+";"-";"§être§à la merci "
"584";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"mérite";"+";"+";"-";"+";"-";"§être§au mérite "
"585";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"mesure";"+";"-";"-";"+";"-";"§être§à la mesure "
"586";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"mesure des ambitions";"+";"-";"-";"+";"-";"§être§à la mesure des ambitions "
"587";"-";"+";"-";"-";"-";"<E>";"être";"à";"les";"mesures";"+";"-";"-";"+";"-";"§être§aux mesures "
"588";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"micro";"-";"+";"+";"-";"-";"§être§au micro "
"589";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"milieu";"+";"-";"+";"-";"+";"§être§au milieu "
"590";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"milieu";"-";"+";"+";"-";"+";"§être§au milieu "
"591";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"milieu";"-";"+";"+";"-";"-";"§être§au milieu "
"592";"+";"+";"-";"-";"-";"<E>";"être";"à";"le beau";"milieu";"+";"-";"+";"-";"+";"§être§au beau milieu "
"593";"+";"+";"-";"-";"-";"<E>";"être";"à";"le beau";"milieu";"-";"+";"-";"-";"+";"§être§au beau milieu "
"594";"+";"-";"-";"-";"-";"<E>";"être";"à";"le beau";"milieu";"-";"+";"+";"-";"-";"§être§au beau milieu "
"595";"+";"+";"-";"-";"-";"<E>";"être";"en";"plein";"milieu";"-";"+";"-";"-";"+";"§être§en plein milieu "
"596";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"minimum";"-";"+";"+";"+";"-";"§être§au minimum "
"597";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"mire";"+";"-";"-";"+";"-";"§être§dans la mire "
"598";"+";"+";"-";"-";"-";"<E>";"être";"sur";"le";"modèle";"+";"+";"-";"+";"-";"§être§sur le modèle "
"599";"-";"+";"+";"-";"-";"<E>";"être";"dans";"les";"moeurs";"+";"-";"+";"+";"-";"§être§dans les moeurs "
"600";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"moins";"+";"+";"+";"-";"-";"§être§en moins "
"601";"+";"+";"-";"-";"-";"<E>";"être";"en";"plein";"mois";"-";"+";"-";"-";"-";"§être§en plein mois "
"602";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"moitié";"-";"+";"-";"+";"+";"§être§à la moitié "
"603";"+";"+";"-";"-";"-";"<E>";"être";"à";"un certain";"moment";"-";"+";"+";"-";"-";"§être§à un certain moment "
"604";"+";"+";"-";"-";"-";"<E>";"être";"à";"un";"moment crucial";"-";"+";"+";"-";"-";"§être§à un moment crucial "
"605";"+";"+";"-";"-";"-";"<E>";"être";"à";"un";"moment décisif";"-";"+";"+";"-";"-";"§être§à un moment décisif "
"606";"+";"+";"-";"-";"-";"<E>";"être";"à";"un";"moment difficile";"-";"+";"+";"-";"-";"§être§à un moment difficile "
"607";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"mouvance";"+";"-";"-";"+";"-";"§être§dans la mouvance "
"608";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"moyenne";"-";"+";"+";"+";"-";"§être§dans la moyenne "
"609";"-";"+";"+";"-";"-";"<E>";"être";"dans";"les";"moyens";"+";"-";"+";"+";"-";"§être§dans les moyens "
"610";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"nadir";"-";"+";"+";"+";"+";"§être§au nadir "
"611";"-";"+";"+";"-";"-";"<E>";"être";"dans";"la";"nature";"+";"+";"-";"+";"-";"§être§dans la nature "
"612";"-";"+";"-";"-";"-";"<E>";"être";"sous";"le";"nez";"+";"-";"-";"+";"+";"§être§sous le nez "
"613";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"niveau";"-";"+";"+";"+";"+";"§être§au niveau "
"614";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"niveau";"-";"+";"+";"+";"-";"§être§au niveau "
"615";"+";"+";"-";"-";"-";"<E>";"être";"à";"un certain";"niveau";"-";"+";"+";"-";"-";"§être§à un certain niveau "
"616";"+";"+";"-";"-";"-";"<E>";"être";"à";"Dnum";"N-mesure";"-";"+";"+";"-";"-";"§être§à Dnum N-mesure "
"617";"+";"+";"-";"-";"-";"<E>";"être";"à";"Dnum";"N-mesure-de-longueur";"+";"+";"+";"-";"+";"§être§à Dnum N-mesure-de-longueur "
"618";"+";"+";"-";"-";"-";"<E>";"être";"à";"Dnum";"N-mesure-de-longueur de distance";"+";"+";"+";"-";"+";"§être§à Dnum N-mesure-de-longueur de distance "
"619";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"nom";"+";"-";"-";"+";"-";"§être§au nom "
"620";"-";"+";"-";"-";"-";"<E>";"être";"sous";"le";"nom";"+";"-";"-";"+";"-";"§être§sous le nom "
"621";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"nombre";"+";"+";"-";"-";"-";"§être§au nombre "
"622";"+";"+";"-";"-";"-";"<E>";"être";"de";"le";"nombre";"+";"+";"+";"-";"-";"§être§du nombre "
"623";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"nombre des amis";"+";"-";"-";"-";"-";"§être§au nombre des amis "
"624";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"nord";"-";"+";"+";"-";"+";"§être§au nord "
"625";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"nord";"-";"+";"+";"-";"+";"§être§dans le nord "
"626";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"nord-est";"-";"+";"+";"-";"+";"§être§au nord-est "
"627";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"nord-est";"-";"+";"+";"-";"+";"§être§dans le nord-est "
"628";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"nord-ouest";"-";"+";"+";"-";"+";"§être§au nord-ouest "
"629";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"nord-ouest";"-";"+";"+";"-";"+";"§être§dans le nord-ouest "
"630";"-";"+";"-";"-";"-";"<E>";"être";"à";"les";"normes";"-";"+";"+";"+";"-";"§être§aux normes "
"631";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"noyau";"-";"+";"-";"+";"+";"§être§au noyau "
"632";"+";"+";"-";"-";"-";"<E>";"être";"à";"Dnum";"Ntps";"-";"+";"+";"-";"-";"§être§à Dnum Ntps "
"633";"+";"+";"-";"-";"-";"<E>";"être";"dans";"Poss0 Dnum-ième";"Ntps";"-";"+";"+";"-";"-";"§être§dans son Dnum-ième Ntps "
"634";"+";"+";"-";"-";"-";"<E>";"être";"à";"Dnum";"Ntps de marche";"-";"+";"+";"-";"-";"§être§à Dnum Ntps de marche "
"635";"+";"+";"-";"-";"-";"<E>";"être";"à";"Dnum";"Ntps de N-moyen-de-transport";"-";"+";"+";"-";"-";"§être§à Dnum Ntps de N-moyen-de-transport "
"636";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"numérateur";"-";"+";"-";"+";"+";"§être§au numérateur "
"637";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"obédience";"+";"-";"-";"+";"-";"§être§sous l'obédience "
"638";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"ombre";"-";"+";"+";"-";"+";"§être§à l'ombre "
