"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"Nc =: Nhum";"Nc =: N-hum";"N0 être Prép1 Det1 C1";"Det1 C1 de Nc = Poss C1";"Prép1 C1 = où ?";"Exemple"
"768";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"proximité";"+";"+";"-";"+";"+";"§être§à la proximité "
"769";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"quête";"+";"+";"-";"-";"-";"§être§en quête "
"770";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"queue";"-";"+";"+";"-";"+";"§être§en queue "
"771";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"queue";"-";"+";"+";"-";"+";"§être§à la queue "
"772";"+";"-";"-";"-";"-";"<E>";"être";"de";"la";"race";"+";"-";"-";"+";"-";"§être§de la race "
"773";"+";"+";"+";"-";"-";"<E>";"être";"à";"la";"racine";"-";"+";"-";"+";"-";"§être§à la racine "
"774";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"rade";"-";"+";"-";"-";"+";"§être§en rade "
"775";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"raison inverse";"-";"+";"-";"-";"-";"§être§en raison inverse "
"776";"+";"+";"-";"-";"-";"<E>";"être";"à";"le Dnum-ième";"rang";"-";"+";"+";"-";"+";"§être§au Dnum-ième rang "
"777";"+";"+";"-";"-";"-";"<E>";"être";"à";"le premier";"rang";"+";"+";"+";"-";"-";"§être§au premier rang "
"778";"+";"+";"-";"-";"-";"<E>";"être";"à";"le premier";"rang";"-";"+";"+";"-";"+";"§être§au premier rang "
"779";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"ras";"-";"+";"+";"-";"+";"§être§à ras "
"780";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"ras";"-";"+";"+";"-";"+";"§être§au ras "
"781";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"rayon";"-";"+";"-";"-";"+";"§être§au rayon "
"782";"-";"+";"+";"-";"-";"<E>";"être";"de";"le";"rayon";"+";"-";"-";"+";"-";"§être§du rayon "
"783";"-";"+";"-";"-";"-";"<E>";"être";"sur";"les";"rayons";"-";"+";"-";"+";"+";"§être§sur les rayons "
"784";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"rebord";"-";"+";"+";"+";"+";"§être§au rebord "
"785";"+";"+";"-";"-";"-";"<E>";"être";"sur";"le";"rebord";"-";"+";"+";"+";"+";"§être§sur le rebord "
"786";"-";"+";"+";"-";"-";"<E>";"être";"à";"<E>";"rebours";"-";"+";"-";"-";"-";"§être§à rebours "
"787";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"recherche";"+";"+";"-";"+";"-";"§être§à la recherche "
"788";"+";"-";"-";"-";"-";"<E>";"être";"en";"pleine";"recherche";"-";"+";"-";"-";"-";"§être§en pleine recherche "
"789";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"recommencement";"-";"+";"-";"-";"-";"§être§en recommencement "
"790";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"recommencement";"-";"+";"+";"+";"-";"§être§au recommencement "
"791";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"récompense";"-";"+";"-";"-";"-";"§être§en récompense "
"792";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"recto";"-";"+";"+";"+";"+";"§être§au recto "
"793";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"recul";"-";"+";"-";"-";"-";"§être§en recul "
"794";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"regard";"+";"+";"-";"-";"+";"§être§en regard "
"795";"+";"+";"-";"-";"-";"<E>";"être";"sur";"les";"registres";"+";"+";"-";"+";"-";"§être§sur les registres "
"796";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"règlement";"-";"+";"-";"-";"-";"§être§en règlement "
"797";"-";"+";"+";"-";"-";"<E>";"être";"contre";"la";"religion";"+";"-";"-";"+";"-";"§être§contre la religion "
"798";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"remorque";"-";"+";"+";"-";"-";"§être§en remorque "
"799";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"remorque";"+";"+";"+";"+";"-";"§être§à la remorque "
"800";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"remorque";"+";"+";"-";"+";"-";"§être§à la remorque "
"801";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"rémunération";"-";"+";"-";"-";"-";"§être§en rémunération "
"802";"+";"+";"-";"-";"-";"<E>";"être";"sans";"<E>";"réponse";"+";"-";"+";"-";"-";"§être§sans réponse "
"803";"+";"+";"-";"-";"-";"<E>";"être";"en";"pleine";"représentation";"-";"+";"+";"-";"-";"§être§en pleine représentation "
"804";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"requête";"+";"-";"-";"+";"-";"§être§à la requête "
"805";"-";"+";"+";"-";"-";"<E>";"être";"de";"la";"responsabilité";"+";"-";"-";"+";"-";"§être§de la responsabilité "
"806";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"responsabilité";"+";"-";"-";"+";"-";"§être§sous la responsabilité "
"807";"-";"+";"+";"-";"-";"<E>";"être";"de";"le";"ressort";"+";"-";"-";"+";"-";"§être§du ressort "
"808";"+";"-";"-";"-";"+";"n'";"être";"en";"<E>";"reste";"-";"+";"-";"-";"-";"§n'est§en reste "
"809";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"retour";"-";"+";"+";"-";"-";"§être§de retour "
"810";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"retour";"-";"+";"-";"-";"-";"§être§en retour "
"811";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"retrait";"+";"+";"+";"-";"+";"§être§en retrait "
"812";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"retrait";"-";"+";"-";"-";"-";"§être§en retrait "
"813";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"revers";"-";"+";"+";"+";"+";"§être§au revers "
"814";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"rez-de-chaussée";"-";"+";"+";"-";"+";"§être§au rez-de-chaussée "
"815";"+";"+";"-";"-";"-";"<E>";"être";"sur";"les";"rîles";"+";"+";"-";"+";"-";"§être§sur les rîles "
"816";"+";"+";"-";"-";"-";"<E>";"être";"sur";"le";"rivage";"-";"+";"+";"+";"+";"§être§sur le rivage "
"817";"+";"+";"-";"-";"-";"<E>";"être";"sur";"la";"rive";"-";"+";"+";"+";"+";"§être§sur la rive "
"818";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"robinet";"-";"+";"-";"+";"-";"§être§au robinet "
"819";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"roue";"+";"+";"-";"+";"+";"§être§dans la roue "
"820";"+";"+";"-";"-";"-";"<E>";"être";"sur";"la";"route";"-";"+";"+";"+";"+";"§être§sur la route "
"821";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"rythme";"+";"+";"-";"+";"-";"§être§au rythme "
"822";"+";"+";"-";"-";"-";"<E>";"être";"en";"pleine";"saison";"-";"+";"-";"-";"-";"§être§en pleine saison "
"823";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"santé";"+";"-";"-";"+";"-";"§être§à la santé "
"824";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"sein";"+";"-";"-";"-";"-";"§être§au sein "
"825";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"sens contraire";"-";"+";"+";"-";"-";"§être§en sens contraire "
"826";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"sens inverse";"-";"+";"+";"-";"-";"§être§en sens inverse "
"827";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"séparation";"-";"+";"-";"+";"+";"§être§à la séparation "
"828";"+";"+";"-";"-";"-";"<E>";"être";"dans";"les";"serres";"+";"-";"-";"+";"-";"§être§dans les serres "
"829";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"service";"+";"-";"-";"+";"-";"§être§au service "
"830";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"service";"+";"-";"-";"+";"-";"§être§au service "
"831";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"seuil";"-";"+";"-";"-";"-";"§être§au seuil "
"832";"+";"+";"-";"-";"-";"<E>";"être";"sur";"le";"seuil";"-";"+";"-";"+";"+";"§être§sur le seuil "
