"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: y figé";"Ppv =: le figé";"Ppv =: la figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"N0 V";"N0 V Prép1 Det1 C1";"C1 =: Npc";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"N0 V Prép2 (Det2 C2+N2)";"N2 =: Npc";"N2 =: Nhum";"N2 =: N-hum";"Exemple"
"120";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" loger";"-";"-";"-";"à";"la même";"enseigne";"que";"<E>";"<E>";"-";"-";"+";"-";"§loger§à la même enseigne "
"121";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" lutter";"-";"-";"-";"contre";"le";"mal";"par";"le";"mal";"-";"-";"-";"-";"§lutter§contre le mal "
"122";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" lutter";"-";"-";"-";"de";"<E>";"vitesse";"avec";"<E>";"<E>";"-";"-";"+";"+";"§lutter§de vitesse "
"123";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" manger";"-";"+";"-";"à";"la même";"écuelle";"que";"<E>";"<E>";"-";"-";"+";"-";"§manger§à la même écuelle "
"124";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";" manquer";"-";"+";"-";"de";"<E>";"égards";"à";"<E>";"<E>";"-";"-";"+";"-";"§manquer§d'égards "
"125";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" manquer";"-";"-";"-";"de";"<E>";"respect";"à";"<E>";"<E>";"-";"-";"+";"-";"§manquer§de respect "
"126";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" marcher";"+";"-";"+";"à";"le";"doigt";"et à";"le";"oeil";"-";"+";"-";"-";"§marcher§au doigt "
"127";"+";"-";"+";"-";"-";"-";"-";"-";"se";" marier";"-";"+";"+";"de";"la";"main gauche";"avec";"<E>";"<E>";"-";"-";"+";"-";"§se marier§de la main gauche "
"128";"+";"-";"+";"-";"-";"-";"-";"-";"se";" mettre";"-";"-";"-";"à";"le";"feu";"pour";"<E>";"<E>";"-";"-";"+";"+";"§se mettre§au feu "
"129";"+";"-";"+";"-";"-";"-";"-";"-";"se";" mettre";"-";"+";"-";"en";"<E>";"frais";"pour";"<E>";"<E>";"-";"-";"+";"-";"§se mettre§en frais "
"130";"+";"-";"+";"-";"-";"-";"-";"-";"se";" mettre";"-";"-";"-";"en";"<E>";"peine";"pour";"<E>";"<E>";"-";"-";"+";"+";"§se mettre§en peine "
"131";"+";"-";"+";"-";"-";"-";"-";"-";"se";" mettre";"-";"-";"-";"en";"<E>";"quatre";"pour";"<E>";"<E>";"-";"-";"+";"+";"§se mettre§en quatre "
"132";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" monter";"-";"-";"-";"de";"un";"cran";"dans";"la";"estime de Nhum";"+";"-";"-";"-";"§monter§d'un cran "
"133";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" monter";"-";"-";"-";"dans";"le";"train";"en";"<E>";"marche";"-";"-";"-";"-";"§monter§dans le train "
"134";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" mordre";"-";"-";"-";"dans";"la";"vie";"à";"belles";"dents";"-";"-";"-";"-";"§mordre§dans la vie "
"135";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" mordre";"-";"-";"-";"dans";"la";"vie";"à";"pleines";"dents";"-";"-";"-";"-";"§mordre§dans la vie "
"136";"+";"-";"+";"-";"-";"-";"-";"-";"se";" mourir";"-";"+";"-";"de";"<E>";"amour";"pour";"<E>";"<E>";"+";"-";"+";"-";"§se mourir§d'amour "
"137";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" mourir";"-";"-";"-";"de";"<E>";"faim";"sur";"un";"tas de blé";"-";"-";"-";"-";"§mourir§de faim "
"138";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" naître";"-";"-";"-";"de";"<E>";"père";"et de";"<E>";"mère inconnus";"-";"-";"-";"-";"§naître§de père "
"139";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";" naviguer";"-";"-";"-";"de";"<E>";"conserve";"avec";"<E>";"<E>";"+";"-";"+";"+";"§naviguer§de conserve "
"140";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" obéir";"+";"+";"-";"à";"le";"doigt et à l'oeil";"à";"<E>";"<E>";"+";"-";"+";"-";"§obéir§au doigt et à l'oeil "
"141";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" offrir";"-";"+";"-";"à";"<E>";"boire";"à";"<E>";"<E>";"-";"-";"+";"-";"§offrir§à boire "
"142";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" offrir";"-";"+";"-";"à";"<E>";"déjeuner";"à";"<E>";"<E>";"-";"-";"+";"-";"§offrir§à déjeuner "
"143";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" offrir";"-";"+";"-";"à";"<E>";"dîner";"à";"<E>";"<E>";"-";"-";"+";"-";"§offrir§à dîner "
"144";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" offrir";"-";"+";"-";"à";"<E>";"goûter";"à";"<E>";"<E>";"-";"-";"+";"-";"§offrir§à goûter "
"145";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" offrir";"-";"+";"-";"à";"<E>";"manger";"à";"<E>";"<E>";"-";"-";"+";"-";"§offrir§à manger "
"146";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" offrir";"-";"+";"-";"à";"<E>";"souper";"à";"<E>";"<E>";"-";"-";"+";"-";"§offrir§à souper "
"147";"+";"-";"+";"-";"-";"-";"-";"-";"se";" pâmer";"-";"+";"-";"de";"<E>";"admiration";"pour";"<E>";"<E>";"-";"-";"+";"-";"§se pâmer§d'admiration "
"148";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" parler";"-";"-";"-";"à";"Poss0";"aise";"de";"<E>";"<E>";"-";"-";"+";"+";"§parler§à son aise "
"149";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" parler";"-";"+";"-";"de";"<E>";"amour";"à";"<E>";"<E>";"-";"-";"+";"-";"§parler§d'amour "
"150";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" parler";"-";"+";"-";"dans";"les";"chaumières";"de";"<E>";"<E>";"-";"-";"+";"+";"§parler§dans les chaumières "
