"<ID>";"<ENT>Det0";"Det0 pluriel";"C0 =: Npc";"<ENT>C0";"C0 =: C0 de Nhum";"Ppv =: en figé";"Ppv =: me figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>est";"<ENT>Prép1";"C1 =: Npc";"C1 =: C1 de Nhum";"<ENT>Det1";"<ENT>C1";"Vop = avoir un";"Vop = N-hum donner";"Exemple"
"620";"le";"-";"+";" visage";"+";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"bois";"+";"+";"le visage§est§de bois "
"621";"le";"-";"+";" visage";"+";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"expression";"+";"+";"le visage§est§sans expression "
"622";"le";"-";"+";" visage";"+";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"glace";"+";"+";"le visage§est§de glace "
"623";"le";"-";"+";" visage";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"lame de couteau";"+";"+";"le visage§est§en lame de couteau "
"624";"le";"-";"+";" visage";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"larmes";"+";"+";"le visage§est§en larmes "
"625";"le";"-";"+";" visage";"+";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"marbre";"+";"+";"le visage§est§de marbre "
"626";"Det";"-";"-";" voie";"-";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"issue";"-";"-";"un voie§est§sans issue "
"627";"la";"-";"-";" voix";"+";"-";"-";"+";"n'";" être";" est";"<E>";"-";"-";"un";"souffle";"-";"-";"la voix§n'est plus que§un souffle "
"628";"Det";"+";"-";" vol";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"destination de Nlieu";"-";"-";"un vol§est§à destination de Nlieu "
"629";"Det";"+";"-";" volcan";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"activité";"-";"-";"un volcan§est§en activité "
"630";"Det";"+";"-";" volcan";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"éruption";"-";"-";"un volcan§est§en éruption "
"631";"la";"-";"-";" volonté";"+";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"fer";"+";"+";"la volonté§est§de fer "
"632";"le";"-";"-";" volume";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"décimètre cube";"+";"-";"le volume§est§de Dnum décimètre cube "
"633";"le";"-";"-";" volume";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"litre";"+";"-";"le volume§est§de Dnum litre "
"634";"le";"-";"-";" volume";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"mètre cube";"+";"-";"le volume§est§de Dnum mètre cube "
"635";"Det";"-";"-";" vote";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"proportionnelle";"-";"-";"un vote§est§à la proportionnelle "
"636";"<E>";"-";"-";" vous";"-";"-";"-";"-";"<E>";" être";" êtes";"parmi";"-";"-";"les";"vôtres";"-";"-";"vous§êtes§parmi les vôtres "
"637";"<E>";"-";"-";" vous";"-";"-";"-";"-";"<E>";" être";" êtes";"entre";"-";"-";"<E>";"vous";"-";"-";"vous§êtes§entre vous "
"638";"les";"-";"+";" yeux";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"amande";"+";"+";"les yeux§sont§en amande "
"639";"les";"-";"+";" yeux";"+";"-";"-";"-";"<E>";" être";" sont";"à";"-";"-";"le";"bord des larmes";"-";"-";"les yeux§sont§au bord des larmes "
"640";"les";"-";"+";" yeux";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"boule de loto";"+";"+";"les yeux§sont§en boule de loto "
"641";"les";"-";"+";" yeux";"+";"-";"-";"-";"<E>";" être";" sont";"à";"-";"-";"demi";"éteints";"+";"+";"les yeux§sont§à demi éteints "
"642";"les";"-";"+";" yeux";"+";"-";"-";"-";"<E>";" être";" sont";"sans";"-";"-";"<E>";"expression";"+";"+";"les yeux§sont§sans expression "
"643";"les";"-";"+";" yeux";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"face des trous";"-";"-";"les yeux§sont§en face des trous "
"644";"les";"-";"+";" yeux";"+";"-";"-";"+";"ne";" être plus que";" sont plus que";"<E>";"-";"-";"des";"fentes";"-";"-";"les yeux§ne sont plus que§des fentes "
"645";"les";"-";"+";" yeux";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"feu";"-";"-";"les yeux§sont§en feu "
"646";"les";"-";"+";" yeux";"+";"-";"-";"-";"<E>";" être";" sont";"à";"-";"-";"<E>";"fleur de tête";"+";"-";"les yeux§sont§à fleur de tête "
"647";"les";"-";"+";" yeux";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"larmes";"-";"-";"les yeux§sont§en larmes "
"648";"les";"-";"+";" yeux";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"pleurs";"-";"-";"les yeux§sont§en pleurs "
"649";"les";"-";"+";" yeux";"+";"-";"-";"-";"<E>";" être";" sont";"derrière";"+";"-";"Poss0c";"tête";"+";"+";"les yeux§sont§derrière sa tête "
"650";"les";"-";"+";" yeux";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"trou de pine";"+";"+";"les yeux§sont§en trou de pine "
"651";"les";"-";"+";" yeux";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"vrille";"+";"-";"les yeux§sont§en vrille "

