"<ID>";"<ENT>Det0";"Det0 pluriel";"C0 =: Npc";"<ENT>C0";"C0 =: C0 de Nhum";"Ppv =: en figé";"Ppv =: me figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>est";"<ENT>Prép1";"C1 =: Npc";"C1 =: C1 de Nhum";"<ENT>Det1";"<ENT>C1";"Vop = avoir un";"Vop = N-hum donner";"Exemple"
"271";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"un";"N qui V W";"-";"-";"il§est§un N qui V W "
"272";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"+";"<E>";"Nheure à la montre";"-";"-";"il§est§Nheure à la montre "
"273";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"Dnum";"Nheures Dnum";"-";"-";"il§est§Dnum Nheures Dnum "
"274";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"Dnum";"Nheures dix";"-";"-";"il§est§Dnum Nheures dix "
"275";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"Dnum";"Nheures pétant";"-";"-";"il§est§Dnum Nheures pétant "
"276";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"une";"ville où tout est calme";"-";"-";"il§est§une ville où tout est calme "
"277";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"avis à Nhum que P";"-";"-";"il§est§d'avis à Nhum que P "
"278";"<E>";"-";"-";" il";"-";"-";"+";"-";"m'";" être";" est";"de";"-";"-";"<E>";"avis que Max se trompe";"-";"-";"il§m'est§d'avis que Max se trompe "
"279";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" Lui être";" Lui est";"de";"-";"-";"<E>";"avis que P";"-";"-";"il§Lui est§d'avis que P "
"280";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"la";"demie";"-";"-";"il§est§la demie "
"281";"<E>";"-";"-";" il";"-";"+";"-";"-";"en";" être";" est";"de";"-";"-";"une";"façon autre de N";"-";"-";"il§en est§d'une façon autre de N "
