"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prépc";"<ENT>Detc";"<ENT>Cc";"N0 être Prép1 Det1 C1";"Prép1 C1 = où ?";"Exemple"
"27";"+";"-";"-";"-";"-";"<E>";"être";"de";"la";"année";"de";"le";"cochon";"-";"-";"§être§de l'année du cochon "
"28";"+";"+";"-";"-";"-";"<E>";"être";"en";"Dnum-ième";"année";"de";"<E>";"droit";"-";"-";"§être§en Dnum-ième année de droit "
"29";"+";"+";"-";"-";"-";"<E>";"être";"en";"dernière";"année";"de";"<E>";"droit";"-";"-";"§être§en dernière année de droit "
"30";"+";"+";"-";"-";"-";"<E>";"être";"en";"première";"année";"de";"<E>";"droit";"-";"-";"§être§en première année de droit "
"31";"+";"+";"-";"-";"-";"<E>";"être";"en";"Dnum-ième";"année";"de";"<E>";"médecine";"-";"-";"§être§en Dnum-ième année de médecine "
"32";"+";"+";"-";"-";"-";"<E>";"être";"en";"dernière";"année";"de";"<E>";"médecine";"-";"-";"§être§en dernière année de médecine "
"33";"+";"+";"-";"-";"-";"<E>";"être";"en";"première";"année";"de";"<E>";"médecine";"-";"-";"§être§en première année de médecine "
"34";"+";"+";"-";"-";"-";"<E>";"être";"en";"Dnum-ième";"année";"de";"<E>";"pharmacie";"-";"-";"§être§en Dnum-ième année de pharmacie "
"35";"+";"+";"-";"-";"-";"<E>";"être";"en";"dernière";"année";"de";"<E>";"pharmacie";"-";"-";"§être§en dernière année de pharmacie "
"36";"+";"+";"-";"-";"-";"<E>";"être";"en";"première";"année";"de";"<E>";"pharmacie";"-";"-";"§être§en première année de pharmacie "
"37";"+";"-";"-";"-";"-";"<E>";"être";"de";"la";"année";"de";"le";"rat";"-";"-";"§être§de l'année du rat "
"38";"+";"-";"-";"-";"-";"<E>";"être";"dans";"les dernières";"années";"de";"Poss0";"existence";"-";"-";"§être§dans les dernières années de son existence "
"39";"+";"-";"-";"-";"-";"<E>";"être";"dans";"les premières";"années";"de";"Poss0";"existence";"-";"-";"§être§dans les premières années de son existence "
"40";"+";"-";"-";"-";"-";"<E>";"être";"dans";"les dernières";"années";"de";"Poss0";"vie";"-";"-";"§être§dans les dernières années de sa vie "
"41";"+";"-";"-";"-";"-";"<E>";"être";"dans";"les premières";"années";"de";"Poss0";"vie";"-";"-";"§être§dans les premières années de sa vie "
"42";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"annuaire";"de";"le";"téléphone";"-";"-";"§être§dans l'annuaire du téléphone "
"43";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"arrêt";"de";"<E>";"maladie";"-";"-";"§être§en arrêt de maladie "
"44";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"arrêt";"de";"longue";"maladie";"-";"-";"§être§en arrêt de longue maladie "
