"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prépc";"<ENT>Detc";"<ENT>Cc";"N0 être Prép1 Det1 C1";"Prép1 C1 = où ?";"Exemple"
"487";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"fin";"de";"un";"Ntps";"-";"-";"§être§à la fin d'un Ntps "
"488";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"fin";"de";"<E>";"parcours";"-";"-";"§être§en fin de parcours "
"489";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"fin";"de";"<E>";"règne";"-";"-";"§être§en fin de règne "
"490";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"fin";"de";"<E>";"rencontre";"-";"-";"§être§en fin de rencontre "
"491";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"flanc";"de";"<E>";"colline";"-";"+";"§être§à flanc de colline "
"492";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"flanc";"de";"<E>";"coteau";"-";"+";"§être§à flanc de coteau "
"493";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"flanc";"de";"<E>";"montagne";"-";"+";"§être§à flanc de montagne "
"494";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"fleur";"de";"le";"âge";"-";"-";"§être§dans la fleur de l'âge "
"495";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"fleur";"de";"<E>";"eau";"-";"+";"§être§à fleur d'eau "
"496";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"fleur";"de";"<E>";"terre";"-";"+";"§être§à fleur de terre "
"497";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"fond";"de";"<E>";"cale";"-";"+";"§être§à fond de cale "
"498";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"fond";"de";"le";"couloir";"-";"+";"§être§au fond du couloir "
"499";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"fond";"de";"la";"cour";"-";"+";"§être§au fond de la cour "
"500";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"fond";"de";"un";"tiroir";"-";"+";"§être§au fond d'un tiroir "
"501";"-";"+";"-";"-";"-";"<E>";"être";"dans";"le";"fond";"de";"un";"tiroir";"-";"+";"§être§dans le fond d'un tiroir "
"502";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"force";"de";"le";"âge";"-";"-";"§être§dans la force de l'âge "
"503";"+";"-";"-";"-";"-";"<E>";"être";"en";"pleine";"force";"de";"le";"âge";"-";"-";"§être§en pleine force de l'âge "
"504";"-";"+";"+";"-";"-";"<E>";"être";"dans";"la";"force";"de";"les";"choses";"-";"-";"§être§dans la force des choses "
"505";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"format";"de";"<E>";"poche";"-";"-";"§être§au format de poche "
"506";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"format";"de";"<E>";"poche";"-";"-";"§être§en format de poche "
"507";"-";"+";"-";"-";"-";"<E>";"être";"sous";"<E>";"forme";"de";"<E>";"aérosol";"-";"-";"§être§sous forme d'aérosol "
"508";"-";"+";"-";"-";"-";"<E>";"être";"sous";"<E>";"forme";"de";"<E>";"ampoules";"-";"-";"§être§sous forme d'ampoules "
"509";"-";"+";"-";"-";"-";"<E>";"être";"sous";"<E>";"forme";"de";"<E>";"capsules";"-";"-";"§être§sous forme de capsules "
"510";"-";"+";"-";"-";"-";"<E>";"être";"sous";"<E>";"forme";"de";"<E>";"cataplasme";"-";"-";"§être§sous forme de cataplasme "
"511";"-";"+";"-";"-";"-";"<E>";"être";"sous";"<E>";"forme";"de";"<E>";"comprimés";"-";"-";"§être§sous forme de comprimés "
"512";"-";"+";"-";"-";"-";"<E>";"être";"sous";"<E>";"forme";"de";"<E>";"décoction";"-";"-";"§être§sous forme de décoction "
"513";"-";"+";"-";"-";"-";"<E>";"être";"sous";"<E>";"forme";"de";"<E>";"grains";"-";"-";"§être§sous forme de grains "
"514";"-";"+";"-";"-";"-";"<E>";"être";"sous";"<E>";"forme";"de";"<E>";"granulés";"-";"-";"§être§sous forme de granulés "
"515";"-";"+";"-";"-";"-";"<E>";"être";"sous";"<E>";"forme";"de";"<E>";"infusion";"-";"-";"§être§sous forme d'infusion "
"516";"-";"+";"-";"-";"-";"<E>";"être";"sous";"<E>";"forme";"de";"<E>";"injection";"-";"-";"§être§sous forme d'injection "
"517";"-";"+";"-";"-";"-";"<E>";"être";"sous";"<E>";"forme";"de";"<E>";"piqûres";"-";"-";"§être§sous forme de piqûres "
"518";"-";"+";"-";"-";"-";"<E>";"être";"sous";"<E>";"forme";"de";"<E>";"poudre";"-";"-";"§être§sous forme de poudre "
"519";"-";"+";"-";"-";"-";"<E>";"être";"sous";"<E>";"forme";"de";"<E>";"suppositoire";"-";"-";"§être§sous forme de suppositoire "
"520";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"fort";"de";"la";"mêlée";"-";"-";"§être§au fort de la mêlée "
"521";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"fort";"de";"le";"orage";"-";"-";"§être§au fort de l'orage "
"522";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"fort";"de";"la";"tempête";"-";"-";"§être§au fort de la tempête "
"523";"+";"-";"-";"-";"-";"<E>";"être";"à";"un";"gala";"de";"<E>";"bienfaisance";"-";"+";"§être§à un gala de bienfaisance "
"524";"+";"+";"-";"-";"-";"<E>";"être";"à";"le avant-";"garde";"de";"le";"progrès";"-";"-";"§être§à l'avant-garde du progrès "
"525";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"gaz";"de";"<E>";"élairage";"-";"-";"§être§au gaz d'élairage "
"526";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"gaz";"de";"<E>";"ville";"-";"-";"§être§au gaz de ville "
"527";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"goût";"de";"le";"jour";"-";"-";"§être§au goût du jour "
"528";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"graisse";"de";"<E>";"oie";"-";"-";"§être§à la graisse d'oie "
"529";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"grève";"de";"le";"zèle";"-";"-";"§être§en grève du zèle "
"530";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"groupe";"de";"<E>";"tête";"-";"-";"§être§dans le groupe de tête "
"531";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"habit";"de";"<E>";"gala";"-";"-";"§être§en habit de gala "
"532";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"habit";"de";"<E>";"soirée";"-";"-";"§être§en habit de soirée "
"533";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"habits";"de";"<E>";"fête";"-";"-";"§être§en habits de fête "
"534";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"haut";"de";"la";"côte";"-";"+";"§être§en haut de la côte "
"535";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"haut";"de";"la";"échelle sociale";"-";"-";"§être§à l'haut de l'échelle sociale "
"536";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"haut";"de";"la";"échelle sociale";"-";"-";"§être§en haut de l'échelle sociale "
"537";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"haut";"de";"la";"pyramide";"-";"-";"§être§en haut de la pyramide "
"538";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"hauteur";"de";"les";"circonstances";"-";"-";"§être§à l'hauteur des circonstances "
"539";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"hauteur";"de";"les";"évènements";"-";"-";"§être§à l'hauteur des évènements "
"540";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"hauteur";"de";"<E>";"homme";"-";"+";"§être§à hauteur d'homme "
"541";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"hauteur";"de";"la";"misère";"-";"-";"§être§à l'hauteur de la misère "
"542";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"hauteur";"de";"Dnum";"N-mesure-de-longueur";"-";"+";"§être§à l'hauteur de Dnum N-mesure-de-longueur "
"543";"+";"+";"-";"-";"-";"<E>";"être";"à";"une";"hauteur";"de";"Dnum";"N-mesure-de-longueur";"-";"+";"§être§à une hauteur de Dnum N-mesure-de-longueur "
"544";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"hauteur";"de";"la";"pauvreté";"-";"-";"§être§à l'hauteur de la pauvreté "
"545";"+";"+";"+";"-";"-";"<E>";"être";"à";"la";"hauteur";"de";"la";"situation";"-";"-";"§être§à l'hauteur de la situation "
"546";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"hauteur";"de";"la";"vie";"-";"-";"§être§à l'hauteur de la vie "
"547";"+";"+";"-";"-";"-";"<E>";"être";"dans";"un";"hâvre";"de";"<E>";"paix";"-";"+";"§être§dans un hâvre de paix "
"548";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"heure";"de";"<E>";"été";"-";"-";"§être§à l'heure d'été "
"549";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"heure";"de";"<E>";"hiver";"-";"-";"§être§à l'heure d'hiver "
"550";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"heure";"de";"<E>";"vérité";"-";"-";"§être§à l'heure de vérité "
"551";"+";"+";"-";"-";"-";"<E>";"être";"sur";"les Dnum";"heures";"de";"le";"matin";"+";"-";"§être§sur les Dnum heures du matin "
"552";"+";"+";"-";"-";"-";"<E>";"être";"sur";"les Dnum";"heures";"de";"le";"soir";"+";"-";"§être§sur les Dnum heures du soir "
"553";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"hors";"de";"<E>";"oeuvre";"-";"-";"§être§en hors d'oeuvre "
"554";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"huile";"de";"<E>";"arachide";"-";"-";"§être§à l'huile d'arachide "
"555";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"huile";"de";"<E>";"colza";"-";"-";"§être§à l'huile de colza "
"556";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"huile";"de";"<E>";"lin";"-";"-";"§être§à l'huile de lin "
"557";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"huile";"de";"<E>";"noix";"-";"-";"§être§à l'huile de noix "
"558";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"huile";"de";"<E>";"olive";"-";"-";"§être§à l'huile d'olive "
"559";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"huile";"de";"<E>";"tournesol";"-";"-";"§être§à l'huile de tournesol "
"560";"+";"-";"-";"-";"-";"<E>";"être";"de";"une";"humeur";"de";"<E>";"chien";"-";"-";"§être§d'une humeur de chien "
"561";"+";"-";"-";"-";"-";"<E>";"être";"de";"une";"humeur";"de";"<E>";"dogue";"-";"-";"§être§d'une humeur de dogue "
"562";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"île";"de";"le";"levant";"-";"+";"§être§à la île du levant "
"563";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"île";"de";"<E>";"Maurice";"-";"+";"§être§à la île Maurice "
"564";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"île";"de";"<E>";"N-île";"-";"+";"§être§à la île de N-île "
"565";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"île";"de";"le";"N-île";"-";"+";"§être§à la île du N-île "
"566";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"île";"de";"<E>";"Ré";"-";"+";"§être§à la île de Ré "
"567";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"île";"de";"la";"Réunion";"-";"+";"§être§à la île de la Réunion "
"568";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"île";"de";"<E>";"Yeu";"-";"+";"§être§à la île de Yeu "
"569";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"inclinaison";"de";"Dnum";"degré";"-";"-";"§être§en inclinaison de Dnum degré "
"570";"+";"-";"-";"-";"-";"<E>";"être";"sous";"la";"influence";"de";"le";"alcool";"-";"-";"§être§sous l'influence de l'alcool "
"571";"+";"-";"-";"-";"-";"<E>";"être";"sous";"la";"influence";"de";"la";"drogue";"-";"-";"§être§sous l'influence de la drogue "
"572";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"innocence";"de";"Poss0";"jeunesse";"+";"-";"§être§dans l'innocence de sa jeunesse "
"573";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"instance";"de";"<E>";"départ";"-";"-";"§être§en instance de départ "
"574";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"instance";"de";"<E>";"divorce";"-";"-";"§être§en instance de divorce "
"575";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"instance";"de";"<E>";"naturalisation";"-";"-";"§être§en instance de naturalisation "
"576";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"instance";"de";"<E>";"séparation";"-";"-";"§être§en instance de séparation "
"577";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"intérieur d'un cercle";"de";"Dnum";"N-mesure-de-longueur de rayon";"-";"+";"§être§à l'intérieur d'un cercle de Dnum N-mesure-de-longueur de rayon "
"578";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"intérieur d'un cercle";"de";"un";"rayon de Dnum N-mesure-de-longueur";"-";"+";"§être§à l'intérieur d'un cercle d'un rayon de Dnum N-mesure-de-longueur "
"579";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"intérieur d'un cercle";"de";"<E>";"rayon Dnum N-mesure-de-longueur";"-";"+";"§être§à l'intérieur d'un cercle de rayon Dnum N-mesure-de-longueur "
"580";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"intérieur d'une circonférence";"de";"Dnum";"N-mesure-de-longueur de rayon";"-";"+";"§être§à l'intérieur d'une circonférence de Dnum N-mesure-de-longueur de rayon "
"581";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"intérieur d'une circonférence";"de";"un";"rayon de Dnum N-mesure-de-longueur";"-";"+";"§être§à l'intérieur d'une circonférence d'un rayon de Dnum N-mesure-de-longueur "
"582";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"intérieur d'une circonférence";"de";"<E>";"rayon Dnum N-mesure-de-longueur";"-";"-";"§être§à l'intérieur d'une circonférence de rayon Dnum N-mesure-de-longueur "
"583";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"intérieur d'une sphère";"de";"Dnum";"N-mesure-de-longueur de rayon";"-";"+";"§être§à l'intérieur d'une sphère de Dnum N-mesure-de-longueur de rayon "
"584";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"intérieur d'une sphère";"de";"un";"rayon de Dnum N-mesure-de-longueur";"-";"+";"§être§à l'intérieur d'une sphère d'un rayon de Dnum N-mesure-de-longueur "
"585";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"intérieur d'une sphère";"de";"<E>";"rayon Dnum N-mesure-de-longueur";"-";"+";"§être§à l'intérieur d'une sphère de rayon Dnum N-mesure-de-longueur "
"586";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"intersection";"de";"la";"rue X et de la rue Y";"-";"+";"§être§à l'intersection de la rue X et de la rue Y "
"587";"+";"-";"-";"-";"-";"<E>";"être";"à";"un";"jury";"de";"<E>";"thèse";"-";"+";"§être§à un jury de thèse "
"588";"-";"+";"-";"-";"-";"<E>";"être";"sous";"<E>";"label";"de";"<E>";"qualité";"-";"-";"§être§sous label de qualité "
"589";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"lendemain";"de";"le six";"mai";"-";"-";"§être§au lendemain du six mai "
"590";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"lendemain";"de";"le Dnum";"N-date";"-";"-";"§être§au lendemain du Dnum N-date "
"591";"+";"+";"-";"-";"-";"<E>";"être";"sur";"la";"ligne";"de";"<E>";"départ";"-";"-";"§être§sur la ligne de départ "
"592";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"ligne";"de";"le";"parti";"-";"-";"§être§dans la ligne du parti "
"593";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"limite";"de";"Poss0";"forces";"-";"-";"§être§à la limite de ses forces "
"594";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"limite";"de";"le";"grotesque";"-";"-";"§être§à la limite du grotesque "
"595";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"limite";"de";"le";"possible";"-";"-";"§être§à la limite du possible "
"596";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"limite";"de";"le";"ridicule";"-";"-";"§être§à la limite du ridicule "
"597";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"limite";"de";"le";"tolérable";"-";"-";"§être§à la limite du tolérable "
"598";"-";"+";"-";"-";"-";"<E>";"être";"sur";"une";"liste";"de";"<E>";"attente";"-";"-";"§être§sur une liste d'attente "
"599";"+";"-";"-";"-";"-";"<E>";"être";"sur";"Poss0";"lit";"de";"<E>";"douleur";"-";"-";"§être§sur son lit de douleur "
"600";"+";"-";"-";"-";"-";"<E>";"être";"sur";"Poss0";"lit";"de";"<E>";"misère";"-";"-";"§être§sur son lit de misère "
"601";"+";"-";"-";"-";"-";"<E>";"être";"sur";"Poss0";"lit";"de";"<E>";"mort";"-";"-";"§être§sur son lit de mort "
"602";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"maillot";"de";"<E>";"bain";"-";"-";"§être§en maillot de bain "
"603";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"maillot";"de";"<E>";"corps";"-";"-";"§être§en maillot de corps "
"604";"+";"+";"-";"-";"-";"<E>";"être";"entre";"les";"mains";"de";"<E>";"Dieux";"-";"-";"§être§entre les mains de Dieu"
"605";"+";"+";"-";"-";"-";"<E>";"être";"à";"les";"mains";"de";"le";"ennemi";"-";"-";"§être§aux mains de l'ennemi "
"606";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"maison";"de";"<E>";"arrêt";"-";"+";"§être§en maison d'arrêt "
"607";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"maison";"de";"<E>";"correction";"-";"+";"§être§en maison de correction "
"608";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"maison";"de";"<E>";"passe";"+";"+";"§être§en maison de passe "
"609";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"maison";"de";"<E>";"redressement";"-";"+";"§être§en maison de redressement "
"610";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"maison";"de";"<E>";"retraite";"-";"+";"§être§en maison de retraite "
"611";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"majorité";"de";"les";"présents";"-";"-";"§être§à la majorité des présents "
"612";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"majorité";"de";"les";"suffrages";"-";"-";"§être§à la majorité des suffrages "
"613";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"majorité";"de";"les";"votants";"-";"-";"§être§à la majorité des votants "
"614";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"mal";"de";"<E>";"enfant";"-";"-";"§être§en mal d'enfant "
"615";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"mal";"de";"<E>";"progéniture";"-";"-";"§être§en mal de progéniture "
"616";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"manche";"de";"<E>";"chemise";"-";"-";"§être§en manche de chemise "
"617";"+";"-";"-";"-";"-";"<E>";"être";"sous";"<E>";"mandat";"de";"<E>";"arrêt";"-";"-";"§être§sous mandat d'arrêt "
"618";"+";"-";"-";"-";"-";"<E>";"être";"sous";"<E>";"mandat";"de";"<E>";"dépôt";"-";"-";"§être§sous mandat de dépôt "
"619";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"marché";"de";"<E>";"Nloc";"-";"-";"§être§au marché de Nloc "
"620";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"marché";"de";"<E>";"Sedan";"-";"-";"§être§au marché de Sedan "
"621";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"marge";"de";"la";"sociéte";"-";"-";"§être§en marge de la sociéte "
"622";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"marge";"de";"le";"texte";"-";"-";"§être§en marge du texte "
"623";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"maximum";"de";"Poss0";"capacités";"-";"-";"§être§au maximum de ses capacités "
"624";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"maximum";"de";"Poss0";"forme";"-";"-";"§être§au maximum de sa forme "
"625";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"maximum";"de";"Poss0";"possibilités";"-";"-";"§être§au maximum de ses possibilités "
"626";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"meilleur";"de";"Poss0";"forme";"-";"-";"§être§au meilleur de sa forme "
"627";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"merci";"de";"les";"évènements";"-";"-";"§être§à la merci des évènements "
"628";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"mie";"de";"<E>";"pain";"-";"-";"§être§à la mie de pain "
"629";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"mieux";"de";"Poss0";"capacités";"-";"-";"§être§au mieux de ses capacités "
"630";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"mieux";"de";"Poss0";"forme";"-";"-";"§être§au mieux de sa forme "
"631";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"mieux";"de";"Poss0";"possibilités";"-";"-";"§être§au mieux de ses possibilités "
"632";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"milieu";"de";"<E>";"exercice";"-";"-";"§être§en milieu d'exercice "
"633";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"milieu";"de";"le";"gué";"-";"-";"§être§au milieu du gué "
"634";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"milieu";"de";"<E>";"mandat";"-";"-";"§être§en milieu de mandat "
"635";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"milieu";"de";"<E>";"match";"-";"-";"§être§en milieu de match "
"636";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"milieu";"de";"<E>";"parcours";"-";"-";"§être§en milieu de parcours "
"637";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"mode";"de";"le";"pays";"+";"-";"§être§à la mode du pays "
"638";"+";"+";"-";"-";"-";"<E>";"être";"en";"plein";"mois";"de";"<E>";"été";"-";"-";"§être§en plein mois d'été "
"639";"+";"-";"-";"-";"-";"<E>";"être";"à";"le Dnum-ième";"mois";"de";"Poss0";"grossesse";"-";"-";"§être§au Dnum-ième mois de sa grossesse "
"640";"+";"-";"-";"-";"-";"<E>";"être";"à";"Poss0 Dnum-ième";"mois";"de";"<E>";"grossesse";"-";"-";"§être§à son Dnum-ième mois de grossesse "
"641";"+";"-";"-";"-";"-";"<E>";"être";"dans";"le Dnum-ième";"mois";"de";"Poss0";"grossesse";"-";"-";"§être§dans le Dnum-ième mois de sa grossesse "
"642";"+";"-";"-";"-";"-";"<E>";"être";"dans";"Poss0 Dnum-ième";"mois";"de";"<E>";"grossesse";"-";"-";"§être§dans son Dnum-ième mois de grossesse "
"643";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"mois";"de";"<E>";"mai";"-";"-";"§être§au mois de mai "
"644";"+";"+";"-";"-";"-";"<E>";"être";"en";"plein";"mois";"de";"<E>";"mai";"-";"-";"§être§en plein mois de mai "
"645";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"mois";"de";"<E>";"Ntps";"-";"-";"§être§au mois de Ntps "
"646";"+";"+";"-";"-";"-";"<E>";"être";"en";"plein";"mois";"de";"<E>";"Ntps";"-";"-";"§être§en plein mois de Ntps "
"647";"+";"-";"-";"-";"-";"<E>";"être";"à";"six";"mois";"de";"la";"retraite";"-";"-";"§être§à six mois de la retraite "
"648";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"moitié";"de";"le";"chemin";"-";"-";"§être§à la moitié du chemin "
"649";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"moitié";"de";"le";"chemin";"-";"+";"§être§à la moitié du chemin "
"650";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"moitié";"de";"Poss0";"existence";"-";"-";"§être§à la moitié de son existence "
"651";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"moitié";"de";"le";"parcours";"-";"-";"§être§à la moitié du parcours "
"652";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"moitié";"de";"le";"parcours";"-";"+";"§être§à la moitié du parcours "
"653";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"moitié";"de";"Poss0";"vie";"-";"-";"§être§à la moitié de sa vie "
"654";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"mont";"de";"<E>";"piété";"-";"+";"§être§au mont de piété "
"655";"-";"+";"+";"-";"-";"<E>";"être";"dans";"la";"nature";"de";"les";"choses";"-";"-";"§être§dans la nature des choses "
"656";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"nid";"de";"<E>";"abeilles";"-";"-";"§être§en nid d'abeilles "
"657";"+";"+";"-";"-";"-";"<E>";"être";"à";"Dnum";"N-mesure-de-longueur";"de";"<E>";"altitude";"-";"-";"§être§à Dnum N-mesure-de-longueur d'altitude "
"658";"+";"+";"-";"-";"-";"<E>";"être";"à";"Dnum";"N-mesure-de-longueur";"de";"<E>";"hauteur";"-";"-";"§être§à Dnum N-mesure-de-longueur d'hauteur "
"659";"+";"+";"-";"-";"-";"<E>";"être";"à";"Dnum";"N-mesure-de-longueur";"de";"<E>";"profondeur";"-";"-";"§être§à Dnum N-mesure-de-longueur de profondeur "
"660";"-";"+";"-";"-";"-";"<E>";"être";"de";"un";"noir";"de";"<E>";"jais";"-";"-";"§être§d'un noir de jais "
"661";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"noix";"de";"<E>";"coco";"+";"-";"§être§à la noix de coco "
"662";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"nombre";"de";"<E>";"Dnum";"-";"-";"§être§au nombre de Dnum "
"663";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"nombre";"de";"<E>";"six";"-";"-";"§être§au nombre de six "
"664";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"nord";"de";"le Dnum-ième";"parallèle";"-";"+";"§être§au nord du Dnum-ième parallèle "
"665";"+";"-";"-";"-";"-";"<E>";"être";"à";"Dnum";"Ntps";"de";"la";"retraite";"-";"-";"§être§à Dnum Ntps de la retraite "
"666";"+";"-";"-";"-";"-";"<E>";"être";"à";"six";"Ntps";"de";"la";"retraite";"-";"-";"§être§à six Ntps de la retraite "
"667";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"numéro Dnum";"de";"la";"rue X";"-";"+";"§être§au numéro Dnum de la rue X "
"668";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"numéro six";"de";"la";"rue Pasteur";"-";"+";"§être§au numéro six de la rue Pasteur "
"669";"-";"+";"-";"-";"-";"<E>";"être";"sans";"<E>";"obligation";"de";"<E>";"achat";"+";"-";"§être§sans obligation d'achat "
"670";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"odeur";"de";"<E>";"sainteté";"-";"-";"§être§en odeur de sainteté "
"671";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"oeil";"de";"le";"cyclone";"-";"-";"§être§dans l'oeil du cyclone "
"672";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"office";"de";"le";"matin";"-";"+";"§être§à l'office du matin "
