"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prép2";"N2 =: Nhum";"N2 =: N-hum";"N2 =: ce Qu Pind";"N2 =: ce Qu Psubj";"Prép N2 =: Prép ce Qu P = Qu P";"N2 =: V0-inf W";"N0 être Prép1 Det1 C1";"Prép2 N2hum = Ppv =: lui";"Prép2 N2-hum = Ppv";"Exemple"
"17";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"charge";"de";"-";"-";"-";"+";"+";"+";"-";"-";"-";"§être§en charge de "
"18";"+";"-";"-";"-";"+";"n'";"être";"<E>";"<E>";"chaud";"pour";"-";"+";"-";"+";"-";"+";"-";"-";"-";"§n'est§chaud pour "
"19";"+";"-";"-";"-";"-";"<E>";"être";"sous";"le";"choc";"de";"-";"+";"-";"+";"-";"+";"-";"-";"+";"§être§sous le choc de "
"20";"+";"-";"-";"-";"+";"n'";"être";"<E>";"<E>";"client";"pour";"-";"+";"-";"+";"-";"+";"-";"-";"-";"§n'est§client pour "
"21";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"compensation";"de";"-";"+";"+";"-";"-";"+";"+";"-";"-";"§être§en compensation de "
"22";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"condition";"de";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§être§en condition de "
"23";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"condition";"de";"+";"-";"+";"+";"-";"+";"-";"-";"-";"§être§à la condition de "
"24";"-";"+";"+";"-";"-";"<E>";"être";"sous";"la";"condition";"de";"+";"-";"+";"+";"-";"+";"-";"-";"-";"§être§sous la condition de "
"25";"+";"-";"-";"-";"-";"<E>";"être";"dans";"de bonnes";"conditions";"pour";"-";"+";"-";"+";"-";"-";"+";"-";"-";"§être§dans de bonnes conditions pour "
"26";"+";"-";"-";"+";"-";"en";"être";"à";"<E>";"considérer";"<E>";"+";"-";"-";"-";"-";"+";"-";"+";"-";"§en est§à considérer "
"27";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"consolation";"de";"-";"+";"+";"-";"-";"+";"+";"-";"-";"§être§en consolation de "
"28";"+";"-";"-";"-";"-";"<E>";"être";"<E>";"<E>";"constamment";"à";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§être§constamment à "
"29";"+";"-";"-";"-";"-";"<E>";"être";"sous";"le";"coup";"de";"-";"+";"-";"+";"-";"+";"-";"-";"+";"§être§sous le coup de "
"30";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"courant";"de";"+";"-";"+";"-";"-";"+";"+";"-";"-";"§être§au courant de "
"31";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"crainte";"de";"+";"+";"+";"+";"+";"+";"-";"-";"-";"§être§dans la crainte de "
"32";"+";"-";"-";"+";"-";"en";"être";"à";"<E>";"croire";"<E>";"+";"-";"-";"-";"-";"+";"-";"+";"-";"§en est§à croire "
"33";"+";"-";"-";"-";"-";"<E>";"être";"sur";"le";"cul";"de";"-";"+";"+";"+";"-";"+";"+";"-";"+";"§être§sur le cul de "
"34";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"danger";"de";"-";"+";"+";"+";"-";"+";"+";"-";"-";"§être§en danger de "
"35";"+";"-";"-";"-";"-";"<E>";"être";"hors de";"<E>";"danger";"de";"-";"+";"+";"+";"-";"+";"+";"-";"-";"§être§hors de danger de "
"36";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"dédommagement";"de";"-";"+";"+";"-";"-";"+";"+";"-";"-";"§être§en dédommagement de "
"37";"+";"+";"-";"-";"-";"<E>";"être";"à";"ce";"degré de incompétence";"<E>";"-";"-";"+";"-";"-";"-";"+";"-";"-";"§être§à ce degré d'incompétence "
"38";"+";"+";"-";"-";"-";"<E>";"être";"à";"ce";"degré de N-hum";"<E>";"-";"-";"+";"-";"-";"-";"+";"-";"-";"§être§à ce degré de N-hum "
"39";"+";"+";"-";"-";"-";"<E>";"être";"<E>";"le avant-";"dernier";"à";"-";"-";"-";"-";"-";"+";"-";"-";"-";"§être§l'avant-dernier à "
"40";"+";"+";"-";"-";"-";"<E>";"être";"<E>";"le";"dernier";"à";"-";"-";"-";"-";"-";"+";"-";"-";"-";"§être§le dernier à "
"41";"+";"+";"-";"-";"+";"n'";"être";"<E>";"le";"dernier";"à";"-";"-";"-";"-";"-";"+";"-";"-";"-";"§n'est§le dernier à "
"42";"+";"+";"-";"-";"-";"<E>";"être";"<E>";"l'un des";"derniers";"à";"-";"-";"-";"-";"-";"+";"-";"-";"-";"§être§l'un des derniers à "
"43";"+";"-";"-";"-";"-";"<E>";"être";"sur";"le";"derrière";"de";"-";"+";"+";"+";"-";"+";"+";"-";"+";"§être§sur le derrière de "
"44";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"désespoir";"de";"-";"+";"+";"+";"-";"-";"+";"-";"-";"§être§au désespoir de "
"45";"+";"-";"-";"-";"-";"<E>";"être";"dans";"le";"devoir";"de";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§être§dans le devoir de "
