"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Det1";"<ENT>C1";"x1";"x2";"x3";"Exemple"
"236";"-";"+";"+";"+";"n'";" être pas";"<E>";"rose";"-";"-";"-";"§n'est pas§rose "
"237";"-";"+";"+";"-";"<E>";" être";"<E>";"routine";"-";"-";"-";"§est§routine "
"238";"+";"-";"-";"-";"<E>";" être";"qui tu";"sais";"-";"-";"-";"§est§qui tu sais "
"239";"-";"+";"-";"-";"<E>";" être";"le dernier";"salon où l'on cause";"-";"-";"-";"§est§le dernier salon où l'on cause "
"240";"+";"-";"-";"-";"<E>";" être";"qui vous";"savez";"-";"-";"-";"§est§qui vous savez "
"241";"-";"+";"-";"+";"n'";" être";"un";"secret pour personne";"-";"-";"-";"§n'est§un secret pour personne "
"242";"-";"+";"+";"-";"<E>";" être";"bon";"signe";"-";"-";"-";"§est§bon signe "
"243";"-";"+";"+";"-";"<E>";" être";"mauvais";"signe";"-";"-";"-";"§est§mauvais signe "
"244";"-";"+";"+";"-";"<E>";" être";"un";"signe des temps";"-";"-";"-";"§est§un signe des temps "
"245";"-";"+";"+";"+";"n'";" être";"<E>";"sorcier";"-";"-";"-";"§n'est§sorcier "
"246";"-";"+";"+";"+";"n'";" être plus que";"un";"souvenir";"-";"-";"-";"§n'est plus que§un souvenir "
"247";"-";"+";"+";"+";"n'";" être plus que";"un mauvais";"souvenir";"-";"-";"-";"§n'est plus que§un mauvais souvenir "
"248";"-";"+";"-";"-";"<E>";" être";"du";"sport";"-";"-";"-";"§est§du sport "
"249";"-";"+";"-";"-";"<E>";" être";"modern";"style";"-";"-";"-";"§est§modern style "
"250";"-";"+";"+";"-";"<E>";" être";"du";"suicide";"-";"-";"-";"§est§du suicide "
"251";"-";"+";"-";"-";"<E>";" être";"le";"suivant ";"-";"-";"-";"§est§le suivant "
"252";"-";"+";"+";"-";"<E>";" être";"du";"système D";"-";"-";"-";"§est§du système D "
"253";"-";"+";"+";"+";"n'";" être";"de la";"tarte";"-";"-";"-";"§n'est§de la tarte "
"254";"-";"+";"-";"-";"<E>";" être";"tout";"terrain";"-";"-";"-";"§est§tout terrain "
"255";"-";"+";"-";"-";"<E>";" être";"du";"toc";"-";"-";"-";"§est§du toc "
"256";"-";"+";"-";"-";"<E>";" être";"<E>";"ton sur ton";"-";"-";"-";"§est§ton sur ton "
"257";"+";"-";"-";"-";"<E>";" être";"<E>";"torse nu";"-";"-";"-";"§est§torse nu "
"258";"-";"+";"+";"-";"<E>";" être";"un";"tort";"-";"-";"-";"§est§un tort "
"259";"-";"+";"+";"+";"n'";" être";"<E>";"tout";"-";"-";"-";"§n'est§tout "
"260";"-";"+";"+";"+";"n'";" être pas";"le";"tout";"-";"-";"-";"§n'est pas§le tout "
"261";"-";"+";"+";"-";"<E>";" être";"le";"train train quotidien";"-";"-";"-";"§est§le train train quotidien "
"262";"-";"+";"-";"-";"<E>";" être";"du";"travail";"-";"-";"-";"§est§du travail "
"263";"+";"+";"+";"+";"n'";" être pas";"de";"trop";"-";"-";"-";"§n'est pas§de trop "
"264";"+";"-";"-";"-";"<E>";" être";"le";"un des nôtres";"-";"-";"-";"§est§l'un des nôtres "
"265";"+";"+";"-";"-";"<E>";" être";"tout l'";"un tout l'autre";"-";"-";"-";"§est§tout l'un tout l'autre "
"266";"-";"+";"+";"-";"<E>";" être";"le";"usage";"-";"-";"-";"§est§l'usage "
"267";"-";"+";"-";"-";"<E>";" être";"du tout";"venant";"-";"-";"-";"§est§du tout venant "
"268";"-";"+";"+";"-";"<E>";" être";"du";"vent";"-";"-";"-";"§est§du vent "
"269";"+";"+";"-";"-";"<E>";" être";"le premier";"venu";"-";"-";"-";"§est§le premier venu "
"270";"+";"+";"-";"+";"n'";" être pas";"le premier";"venu";"-";"-";"-";"§n'est pas§le premier venu "
"271";"+";"+";"-";"-";"<E>";" être";"la première";"venue";"-";"-";"-";"§est§la première venue "
"272";"+";"+";"-";"+";"n'";" être pas";"la première";"venue";"-";"-";"-";"§n'est pas§la première venue "
"273";"-";"+";"+";"-";"<E>";" être";"du";"vice";"-";"-";"-";"§est§du vice "
"274";"-";"+";"+";"+";"n'";" être pas";"une";"vie";"-";"-";"-";"§n'est pas§une vie "
"275";"-";"+";"+";"-";"<E>";" être";"la";"vie de tous les jours";"-";"-";"-";"§est§la vie de tous les jours "
"276";"-";"+";"+";"-";"<E>";" être";"du jamais";"vu";"-";"-";"-";"§est§du jamais vu "
"277";"-";"+";"-";"-";"<E>";" être";"ce qu'il";"y a de mieux à dire";"-";"-";"-";"§est§ce qu'il y a de mieux à dire "
"278";"-";"+";"+";"-";"<E>";" être";"ce qu'il";"y a de mieux à faire";"-";"-";"-";"§est§ce qu'il y a de mieux à fait "
"279";"-";"+";"+";"-";"<E>";" être";"ce qu'il";"y a de plus Adj";"-";"-";"-";"§est§ce qu'il y a de plus Adj "
"280";"-";"+";"+";"-";"<E>";" être";"ce qu'il";"y a de plus bête";"-";"-";"-";"§est§ce qu'il y a de plus bête "

