"<ID>";"<ENT>Conj";"<ENT>Det0";"<ENT>C0";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: y figé";"Ppv =: me figé";"Ppv =: vous figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Det1";"<ENT>C1";"<ENT>Conj-2";"<ENT>Det0-2";"<ENT>C0-2";"<ENT>V-2";"<ENT>Det1-2";"<ENT>C1-2";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Npc";"N0 =: Qu P";"C0 =: C0 de Nhum";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Npc";"N1 =: Qu P";"C1 =: C1 de Nhum";"C1 =: C1 de N-hum";"Exemple"
"165";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" pouvoir parler";"jusqu'à";"demain";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§pouvoir parler§jusqu'à demain "
"166";"si";"<E>";"on";"-";"-";"-";"-";"-";"-";"<E>";" pressait";"le";"nez de Nhum";"<E>";"<E>";"il";"en sortirait";"du";"lait";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"si on§pressait§le nez de Nhum il en sortirait du lait "
"167";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" prier";"<E>";"Dieu";"que";"<E>";"il";"ait Nhum";"en sa";"sauvegarde";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§prier§Dieu qu'il ait Nhum en sa sauvegarde "
"168";"<E>";"<E>";"tu";"-";"-";"-";"-";"-";"-";"<E>";" pues";"du";"cul";"<E>";"<E>";"tu";"sens";"le";"tabac";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"tu§pues§du cul tu sens le tabac "
"169";"<E>";"<E>";"il";"-";"-";"-";"-";"-";"+";"n'y";" que";"à";"voir";"comme";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"il§n'y que§à voir comme "
"170";"<E>";"<E>";"je";"-";"-";"+";"-";"-";"-";"<E>";" regrette";"<E>";"<E>";"mais";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"je§regrette§mais "
"171";"que";"<E>";"on";"-";"-";"-";"+";"-";"-";"me";" retienne";"<E>";"<E>";"ou";"<E>";"je";"fais";"un";"malheur";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"qu'on§me retienne§ou je fais un malheur "
"172";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" rire";"<E>";"<E>";"à";"<E>";"<E>";"en décrocher";"Poss0";"râtelier";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§rire§à en décrocher son râtelier "
"173";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" rire";"<E>";"<E>";"à";"<E>";"<E>";"en avaler";"Poss0";"dentier";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§rire§à en avaler son dentier "
"174";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" rire";"<E>";"<E>";"à";"<E>";"<E>";"en avaler";"Poss0";"râtelier";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§rire§à en avaler son râtelier "
"175";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" rire";"<E>";"<E>";"à";"<E>";"<E>";"en décrocher";"Poss0";"dentier";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§rire§à en décrocher son dentier "
"176";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" sacrifier";"le";"enfant";"pour";"<E>";"<E>";"sauver";"la";"mère";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§sacrifier§l'enfant pour sauver la mère "
"177";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" sacrifier";"la";"mère";"pour";"<E>";"<E>";"sauver";"le";"enfant";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§sacrifier§la mère pour sauver l'enfant "
"178";"<E>";"<E>";"<E>";"+";"-";"+";"-";"-";"+";"ne s'y";" serait pas";"<E>";"pris autrement";"si";"<E>";"Il-0";"V";"<E>";"W";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§ne s'y serait pas§pris autrement si il V W "
"179";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" sois";"<E>";"poli";"si";"<E>";"tu";"n'es pas";"<E>";"joli";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§sois§poli si tu n'es pas joli "
"180";"<E>";"<E>";"béni";"-";"-";"-";"-";"-";"-";"<E>";" soit";"le";"jour";"où";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"béni§soit§le jour où "
"181";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" sors";"<E>";"dehors";"si";"<E>";"tu";"es";"un";"homme !";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§sors§dehors si tu es un homme! "
"182";"<E>";"<E>";"je";"-";"-";"+";"-";"-";"-";"y";" suis";"<E>";"<E>";"<E>";"<E>";"je";"y reste !";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"j'§y suis§j'y reste! "
"183";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"ne";" trouver Nég mieux que";"de";"dire";"que";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§ne trouver Nég mieux que§de dire que "
"184";"<E>";"<E>";"ça";"-";"-";"-";"-";"-";"-";"<E>";" va";"<E>";"<E>";"<E>";"<E>";"ça";"vient";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"ça§va§ça vient "
"185";"<E>";"<E>";"ça";"-";"-";"-";"-";"-";"-";"<E>";" va";"<E>";"<E>";"comme";"<E>";"vous";"voulez ?";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"ça§va§comme vous voulez ? "
"186";"<E>";"<E>";"ça";"-";"-";"-";"-";"-";"-";"<E>";" va";"<E>";"<E>";"comme";"<E>";"tu";"veux ?";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"ça§va§comme tu veux ? "
"187";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" va encore";"si";"P";"mais pas si";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§va encore§si P mais pas si "
"188";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" va voir";"<E>";"là-bas";"si";"<E>";"je";"y suis";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§va voir§là-bas si j'y suis "
"189";"<E>";"<E>";"mieux";"-";"-";"-";"-";"-";"-";"<E>";" valoir avoir";"en";"photographie";"que";"<E>";"<E>";"<E>";"en";"pension";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"mieux§valoir a§en photographie qu'en pension "
"190";"<E>";"<E>";"mieux";"-";"-";"-";"-";"-";"-";"<E>";" vaut";"<E>";"en rire";"que";"de";"<E>";"en pleurer";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"mieux§vaut§en rire que d'en pleurer "
"191";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" veut";"<E>";"bien";"mais";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§veut§bien mais "
"192";"que";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" veux-tu";"<E>";"<E>";"que";"<E>";"je";"te dise ?";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"que§veux-tu§que je te dise ? "
"193";"que";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" veux-tu";"<E>";"<E>";"que";"<E>";"je";"y fasse ?";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"que§veux-tu§que j'y fasse ? "
"194";"que";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" veux-tu";"<E>";"<E>";"que";"la";"bonne";"y fasse ?";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"que§veux-tu§que la bonne y fasse ? "
"195";"<E>";"<E>";"<E>";"-";"+";"-";"-";"-";"-";"en";" veux-tu";"<E>";"<E>";"<E>";"<E>";"<E>";"en voilà";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§en veux-tu§en voilà "
"196";"<E>";"<E>";"ça";"-";"-";"-";"-";"-";"-";"<E>";" vient";"<E>";"<E>";"<E>";"<E>";"<E>";"ne change pas";"de";"main";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"ça§vient§ne change pas de main "
