"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Npc";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Det1";"<ENT>C1";"N0 V Det1 C1";"Nc =: Nhum";"Nc =: N-hum";"Nc =: ce Qu Pind";"Nc =: ce Qu Psubj";"Nc =: V-inf W";"Det1 C1 de Nc = Poss C1";"N0 en être Det1 C1";"N0 être Det1 C1 pour Nc";"Nc avoir Det1 C1";"Exemple"
"651";"-";"+";"-";"-";"<E>";" être";"la";"ruine";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"§être§la ruine "
"652";"+";"+";"-";"-";"<E>";" être";"la";"rumeur";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"§être§la rumeur "
"653";"-";"+";"-";"-";"<E>";" être";"une";"salade";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§une salade "
"654";"+";"-";"+";"-";"<E>";" être";"le";"sang du sang";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§le sang du sang "
"655";"+";"-";"-";"-";"<E>";" être";"un";"sectateur";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un sectateur "
"656";"+";"-";"-";"-";"<E>";" être";"le";"seigneur et maître";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le seigneur et maître "
"657";"-";"+";"-";"-";"<E>";" être";"un";"semblant";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§un semblant "
"658";"-";"+";"-";"-";"<E>";" être";"le";"sentiment";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§le sentiment "
"659";"-";"+";"-";"-";"<E>";" être";"les six";"septièmes";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§les six septièmes "
"660";"-";"+";"-";"-";"<E>";" être";"le";"serpent de mer";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le serpent de mer "
"661";"+";"-";"-";"-";"<E>";" être";"le";"serviteur";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"§être§le serviteur "
"662";"-";"+";"-";"-";"<E>";" être";"le";"siège";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§le siège "
"663";"-";"+";"-";"-";"<E>";" être";"<E>";"signe";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"§être§signe "
"664";"-";"+";"-";"-";"<E>";" être";"un";"signe";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"§être§un signe "
"665";"-";"+";"-";"-";"<E>";" être";"un";"signe avant-coureur";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"§être§un signe avant-coureur "
"666";"-";"+";"-";"-";"<E>";" être";"un";"signe précurseur";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"§être§un signe précurseur "
"667";"-";"+";"-";"-";"<E>";" être";"un";"signe tangible";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"§être§un signe tangible "
"668";"+";"-";"-";"-";"<E>";" être";"une";"soeur";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§une soeur "
"669";"+";"-";"-";"-";"<E>";" être";"une belle-";"soeur";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§une belle-soeur "
