"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Npc";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Det1";"<ENT>C1";"N0 V Det1 C1";"Nc =: Nhum";"Nc =: N-hum";"Nc =: ce Qu Pind";"Nc =: ce Qu Psubj";"Nc =: V-inf W";"Det1 C1 de Nc = Poss C1";"N0 en être Det1 C1";"N0 être Det1 C1 pour Nc";"Nc avoir Det1 C1";"Exemple"
"186";"+";"-";"-";"-";"<E>";" être";"une";"création";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"§être§une création "
"187";"+";"-";"-";"-";"<E>";" être";"la";"créature";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"§être§la créature "
"188";"+";"-";"-";"-";"<E>";" être";"<E>";"créditeur";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"§être§créditeur "
"189";"+";"+";"-";"-";"<E>";" être";"la";"crème";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"§être§la crème "
"190";"+";"-";"-";"-";"<E>";" être";"une";"crème";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"§être§une crème "
"191";"-";"+";"-";"-";"<E>";" être";"le dernier";"cri";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§le dernier cri "
"192";"-";"+";"-";"-";"<E>";" être";"le";"dada";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"§être§le dada "
"193";"+";"-";"-";"-";"<E>";" être";"la première";"dame";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"§être§la première dame "
"194";"+";"-";"-";"-";"<E>";" être";"la";"dame des pensées";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"§être§la dame des pensées "
"195";"+";"-";"-";"-";"<E>";" être";"<E>";"débiteur";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"§être§débiteur "
"196";"+";"-";"-";"-";"<E>";" être";"le";"débiteur";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"§être§le débiteur "
"197";"-";"+";"-";"-";"<E>";" être";"le moindre";"défaut";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le moindre défaut "
"198";"-";"+";"-";"-";"<E>";" être";"un";"défaut de la cuirasse";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§un défaut de la cuirasse "
"199";"+";"-";"-";"-";"<E>";" être";"une";"délégation";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§une délégation "
"200";"+";"-";"-";"-";"<E>";" être";"un";"délégué";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un délégué "
"201";"+";"-";"-";"-";"<E>";" être";"<E>";"demandeur";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§demandeur "
"202";"-";"+";"-";"-";"<E>";" être";"unE";"démonstration";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"§être§unE démonstration "
"203";"+";"-";"-";"-";"<E>";" être";"le";"dépositaire";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"§être§le dépositaire "
"204";"+";"-";"-";"-";"<E>";" être";"le";"dépositaire";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"§être§le dépositaire "
"205";"-";"+";"-";"-";"<E>";" être";"la";"dépouille mortelle";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§la dépouille mortelle "
"206";"+";"-";"-";"-";"<E>";" être";"le avant";"dernier";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§l'avant dernier "
"207";"+";"-";"-";"-";"<E>";" être";"le petit";"dernier";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§le petit dernier "
"208";"+";"-";"-";"-";"<E>";" être";"le";"dernier";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§le dernier "
"209";"+";"+";"-";"-";"<E>";" être";"le";"dernier";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"§être§le dernier "
"210";"+";"+";"-";"-";"<E>";" être";"le";"dernier des soucis";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§le dernier des soucis "
"211";"+";"+";"-";"-";"<E>";" être";"le";"dernier en date";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"§être§le dernier en date "
"212";"+";"-";"-";"-";"<E>";" être";"le";"descendant";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"§être§le descendant "
"213";"+";"-";"-";"-";"<E>";" être";"le";"descendant légitime";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"§être§le descendant légitime "
"214";"+";"+";"-";"-";"<E>";" être";"le";"désespoir";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"§être§le désespoir "
"215";"+";"-";"-";"-";"<E>";" être";"le";"deus ex machina";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le deus ex machina "
"216";"+";"+";"-";"-";"<E>";" être";"un";"diable";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"§être§un diable "
"217";"+";"-";"-";"-";"<E>";" être";"le";"dieu";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le dieu "
"218";"+";"-";"-";"-";"<E>";" être";"le";"dieu tutélaire";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le dieu tutélaire "
"219";"+";"-";"-";"-";"<E>";" être";"un";"dingue";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un dingue "
"220";"-";"+";"-";"-";"<E>";" être";"les";"dires";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§les dires "
"221";"+";"-";"-";"-";"<E>";" être";"un";"dirigeant";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un dirigeant "
"222";"+";"-";"-";"-";"<E>";" être";"un";"disciple";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§un disciple "
"223";"-";"+";"-";"+";"n'";" être pas";"le";"dixième";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§n'est pas§le dixième "
"224";"-";"+";"-";"-";"<E>";" être";"les trois";"dixièmes";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§les trois dixièmes "
"225";"-";"+";"-";"-";"<E>";" être";"les neuf";"dixièmes";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§les neuf dixièmes "
"226";"-";"+";"-";"-";"<E>";" être";"le";"Dnum-ième";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§le Dnum-ième "
"227";"-";"+";"-";"-";"<E>";" être";"les Dnum";"Dnum-ièmes";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§les Dnum Dnum-ièmes "
"228";"-";"+";"-";"-";"<E>";" être";"le";"Dnumlat-uple";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§le Dnumlat-uple "
"229";"+";"-";"-";"-";"<E>";" être";"la belle-";"doche";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§la belle-doche "
"230";"-";"+";"-";"-";"<E>";" être";"le";"domaine d'élection";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le domaine d'élection "
"231";"-";"+";"-";"-";"<E>";" être";"le";"double";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§le double "
"232";"+";"-";"-";"-";"<E>";" être";"un";"double";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"§être§un double "
"233";"+";"-";"-";"-";"<E>";" être";"une";"doublure";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"§être§une doublure "
"234";"+";"+";"-";"-";"<E>";" être";"le";"drapeau";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le drapeau "
"235";"+";"+";"-";"-";"<E>";" être";"un";"drôle";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"§être§un drôle "
"236";"+";"-";"-";"-";"<E>";" être";"une";"dupe";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"§être§une dupe "
"237";"-";"+";"-";"-";"<E>";" être";"un";"duplicata";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"§être§un duplicata "
"238";"-";"+";"-";"-";"<E>";" être";"le";"effet";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§l'effet "
"239";"-";"+";"-";"-";"<E>";" être";"le";"effet";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"§être§l'effet "
"240";"-";"+";"-";"-";"<E>";" être";"un";"effet de la bonté";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§un effet de la bonté "
"241";"+";"+";"-";"-";"<E>";" être";"le";"égal";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§l'égal "
"242";"+";"-";"-";"-";"<E>";" être";"le alter";"ego";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§l'alter ego "
"243";"-";"+";"-";"-";"<E>";" être";"un";"élément";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§un élément "
"244";"-";"+";"-";"-";"<E>";" être";"un";"élément clé";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§un élément clé "
"245";"-";"+";"-";"-";"<E>";" être";"un";"élément clef";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§un élément clef "
"246";"+";"-";"-";"-";"<E>";" être";"un ancien";"élève";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§un ancien élève "
"247";"+";"-";"-";"-";"<E>";" être";"un";"élève";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§un élève "
"248";"+";"-";"-";"-";"<E>";" être";"le heureux";"élu";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§l'heureux élu "
"249";"+";"-";"-";"-";"<E>";" être";"le";"élu du coeur";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§l'élu du coeur "
"250";"+";"-";"-";"-";"<E>";" être";"une";"émanation";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§une émanation "
"251";"-";"+";"-";"-";"<E>";" être";"un";"embrouillaminis";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§un embrouillaminis "
"252";"+";"-";"-";"-";"<E>";" être";"un";"émissaire";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un émissaire "
"253";"+";"-";"-";"-";"<E>";" être";"un";"émule";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§un émule "
"254";"-";"+";"-";"-";"<E>";" être";"le";"enfant";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"§être§l'enfant "
"255";"+";"-";"-";"-";"<E>";" être";"un";"enfant";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"§être§un enfant "
"256";"+";"-";"-";"-";"<E>";" être";"le";"enfant adoptif";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§l'enfant adoptif "
"257";"-";"+";"-";"-";"<E>";" être";"le";"enfant chéri";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"§être§l'enfant chéri "
"258";"+";"-";"-";"-";"<E>";" être";"le";"enfant terrible";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§l'enfant terrible "
"259";"-";"+";"-";"-";"<E>";" être";"le";"enjeu";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"§être§l'enjeu "
"260";"+";"-";"-";"-";"<E>";" être";"un";"ennemi";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un ennemi "
"261";"+";"-";"-";"-";"<E>";" être";"<E>";"ennemi";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"§être§ennemi "
"262";"+";"-";"-";"-";"<E>";" être";"un";"ennemi juré";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"§être§un ennemi juré "
"263";"+";"-";"+";"-";"<E>";" être";"un";"envoyé";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un envoyé "
"264";"+";"-";"-";"-";"<E>";" être";"la tendre";"épouse";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§la tendre épouse "
"265";"+";"-";"-";"-";"<E>";" être";"le ex-";"époux";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§l'ex-époux "
"266";"+";"-";"-";"-";"<E>";" être";"le fidèle";"époux";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§le fidèle époux "
"267";"+";"-";"-";"-";"<E>";" être";"le";"époux";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§l'époux "
"268";"-";"+";"-";"-";"<E>";" être";"le";"équivalent";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§l'équivalent "
"269";"-";"+";"-";"-";"<E>";" être";"la";"essence";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§l'essence "
"270";"+";"-";"-";"-";"<E>";" être";"une";"étoile montante";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§une étoile montante "
"271";"+";"-";"-";"-";"<E>";" être";"un";"étudiant";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§un étudiant "
"272";"+";"-";"-";"-";"<E>";" être";"un";"ex";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"§être§un ex "
"273";"+";"-";"-";"-";"<E>";" être";"le";"éxécuteur des basses oeuvres";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§l'éxécuteur des basses oeuvres "
"274";"+";"+";"-";"-";"<E>";" être";"un";"exemple";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§un exemple "
"275";"+";"-";"-";"-";"<E>";" être";"un";"exemple vivant";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"§être§un exemple vivant "
"276";"-";"+";"-";"-";"<E>";" être";"les principaux";"extraits";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§les principaux extraits "
"277";"+";"+";"-";"-";"<E>";" être";"la";"fable";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"§être§la fable "
"278";"-";"+";"-";"-";"<E>";" être";"un";"fac similé";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§un fac similé "
"279";"-";"+";"-";"-";"<E>";" être";"une";"face";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§une face "
"280";"-";"+";"+";"-";"<E>";" être";"la";"face cachée";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§la face cachée "
"281";"-";"+";"-";"-";"<E>";" être";"un";"facteur";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§un facteur "
"282";"-";"+";"-";"-";"<E>";" être";"le";"fait";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"§être§le fait "
"283";"+";"-";"-";"-";"<E>";" être";"un";"familier";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"§être§un familier "
"284";"+";"-";"-";"-";"<E>";" être";"un";"fan";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un fan "
"285";"+";"-";"-";"-";"<E>";" être";"un";"fana";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un fana "
"286";"+";"-";"-";"-";"<E>";" être";"un";"fanatique";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un fanatique "
"287";"+";"+";"-";"-";"<E>";" être";"le";"fanion";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le fanion "
"288";"-";"+";"-";"-";"<E>";" être";"la";"faute";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"§être§la faute "
"289";"+";"-";"-";"-";"<E>";" être";"un";"favori";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§un favori "
"290";"+";"+";"-";"-";"<E>";" être";"le";"favori";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§le favori "
"291";"+";"+";"-";"-";"<E>";" être";"le grand";"favori";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§le grand favori "
"292";"+";"-";"-";"-";"<E>";" être";"la";"favorite";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§la favorite "
"293";"+";"-";"-";"-";"<E>";" être";"la Dnum-ième";"femme";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§la Dnum-ième femme "
"294";"+";"-";"-";"-";"<E>";" être";"la première";"femme";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§la première femme "
"295";"+";"-";"-";"-";"<E>";" être";"la seconde";"femme";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§la seconde femme "
"296";"+";"-";"-";"-";"<E>";" être";"la";"femme de la vie";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§la femme de la vie "
"297";"+";"-";"-";"-";"<E>";" être";"la";"femme des rêves";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§la femme des rêves "
"298";"+";"-";"-";"-";"<E>";" être";"le";"fer de lance";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le fer de lance "
"299";"+";"-";"-";"-";"<E>";" être";"un";"fidèle";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un fidèle "
"300";"-";"+";"-";"-";"<E>";" être";"le";"fief";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"§être§le fief "
"301";"+";"+";"-";"-";"<E>";" être";"la";"fierté";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"§être§la fierté "
"302";"+";"-";"-";"-";"<E>";" être";"une";"figure";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"§être§une figure "
"303";"+";"-";"-";"-";"<E>";" être";"une";"figure emblématique";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"§être§une figure emblématique "
"304";"-";"+";"-";"-";"<E>";" être";"le";"fil d'Ariane";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le fil d'Ariane "
"305";"-";"+";"-";"-";"<E>";" être";"<E>";"fille";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§fille "
"306";"+";"-";"-";"-";"<E>";" être";"une";"fille";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§une fille "
"307";"+";"-";"-";"-";"<E>";" être";"une";"fille adoptive";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§une fille adoptive "
"308";"+";"-";"-";"-";"<E>";" être";"une";"fille illégitime";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§une fille illégitime "
"309";"+";"-";"-";"-";"<E>";" être";"une";"fille légitime";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§une fille légitime "
"310";"+";"-";"-";"-";"<E>";" être";"une";"fille naturelle";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§une fille naturelle "
"311";"+";"-";"-";"-";"<E>";" être";"un";"filleul";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§un filleul "
"312";"+";"-";"-";"-";"<E>";" être";"un";"fils";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"§être§un fils "
"313";"+";"-";"-";"-";"<E>";" être";"un";"fils adoptif";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§un fils adoptif "
"314";"+";"-";"-";"-";"<E>";" être";"un";"fils illégitime";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§un fils illégitime "
"315";"+";"-";"-";"-";"<E>";" être";"un";"fils légitime";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§un fils légitime "
"316";"+";"-";"-";"-";"<E>";" être";"un";"fils naturel";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§un fils naturel "
"317";"+";"+";"-";"-";"<E>";" être";"la fine";"fleur";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"§être§la fine fleur "
"318";"+";"+";"-";"-";"<E>";" être";"un";"fleuron";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un fleuron "
"319";"-";"+";"-";"-";"<E>";" être";"<E>";"fonction";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"§être§fonction "
"320";"-";"+";"-";"-";"<E>";" être";"le";"fond de la pensée";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§le fond de la pensée "
"321";"-";"+";"-";"-";"<E>";" être";"le";"fondement";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§le fondement "
"322";"-";"+";"-";"-";"<E>";" être";"le";"fort";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"§être§le fort "
"323";"+";"-";"-";"-";"<E>";" être";"un";"fou";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un fou "
"324";"-";"+";"-";"-";"<E>";" être";"un";"fragment";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§un fragment "
"325";"+";"-";"-";"-";"<E>";" être";"un";"frangin";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§un frangin "
"326";"+";"-";"-";"-";"<E>";" être";"un";"frère";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§un frère "
"327";"+";"-";"-";"-";"<E>";" être";"un beau-";"frère";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§un beau-frère "
"328";"+";"-";"-";"-";"<E>";" être";"un grand";"frère";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§un grand frère "
"329";"+";"-";"-";"-";"<E>";" être";"un petit";"frère";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§un petit frère "
"330";"+";"-";"-";"-";"<E>";" être";"un";"frère aîné";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§un frère aîné "
"331";"+";"-";"-";"-";"<E>";" être";"un";"frère cadet";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§un frère cadet "
"332";"+";"-";"-";"-";"<E>";" être";"un";"frère d'armes";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§un frère d'armes "
"333";"+";"-";"-";"-";"<E>";" être";"un";"frère de lait";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§un frère de lait "
"334";"+";"-";"-";"-";"<E>";" être";"un";"frère jumeau";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§un frère jumeau "
"335";"-";"+";"-";"-";"<E>";" être";"le";"fruit";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§le fruit "
"336";"+";"+";"-";"-";"<E>";" être";"le";"fruit";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§le fruit "
"337";"-";"+";"-";"-";"<E>";" être";"le";"fruit amer";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§le fruit amer "
"338";"+";"-";"-";"-";"<E>";" être";"le";"fruit de la passion";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"§être§le fruit de la passion "
"339";"+";"-";"-";"-";"<E>";" être";"le";"fruit de la passion coupable";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"§être§le fruit de la passion coupable "
"340";"-";"+";"-";"-";"<E>";" être";"le";"fruit de l'expérience";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"§être§le fruit de l'expérience "
"341";"-";"+";"-";"-";"<E>";" être";"le";"fruit de l'imagination";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"§être§le fruit de l'imagination "
"342";"+";"-";"-";"-";"<E>";" être";"le";"fruit des amours";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"§être§le fruit des amours "
"343";"+";"-";"-";"-";"<E>";" être";"le";"fruit des amours coupables";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"§être§le fruit des amours coupables "
"344";"+";"-";"-";"-";"<E>";" être";"le grand";"gagnant";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§le grand gagnant "
"345";"+";"-";"-";"-";"<E>";" être";"le";"gagnant";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§le gagnant "
"346";"+";"+";"-";"-";"<E>";" être";"<E>";"garant";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"§être§garant "
"347";"+";"+";"-";"-";"<E>";" être";"un";"garant";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un garant "
"348";"+";"+";"-";"-";"<E>";" être";"un";"gardien";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un gardien "
"349";"+";"+";"-";"-";"<E>";" être";"un";"géant";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un géant "
"350";"+";"-";"-";"-";"<E>";" être";"le bon";"génie";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le bon génie "
"351";"+";"-";"-";"-";"<E>";" être";"le mauvais";"génie";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le mauvais génie "
"352";"-";"+";"-";"-";"<E>";" être";"le";"genre";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§le genre "
"353";"-";"+";"-";"+";"n'";" être";"le";"genre";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§n'est§le genre "
"354";"-";"+";"-";"-";"<E>";" être";"un";"germe";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§un germe "
"355";"+";"+";"-";"-";"<E>";" être";"un avant-";"goût";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"§être§un avant-goût "
"356";"-";"+";"-";"-";"<E>";" être";"de la";"graine";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§de la graine "
"357";"+";"-";"-";"-";"<E>";" être";"de la";"graine";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"§être§de la graine "
"358";"+";"-";"-";"-";"<E>";" être";"un";"grand";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un grand "
"359";"+";"+";"-";"-";"<E>";" être";"le";"gratin";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§le gratin "
"360";"+";"-";"-";"-";"<E>";" être";"un";"groupe";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"§être§un groupe "
"361";"-";"+";"-";"-";"<E>";" être";"les";"habits neufs";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§les habits neufs "
"362";"+";"-";"-";"-";"<E>";" être";"un";"habitué";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"§être§un habitué "
"363";"+";"-";"-";"-";"<E>";" être";"le digne";"héritier";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"§être§le digne héritier "
"364";"+";"-";"-";"-";"<E>";" être";"le";"héritier";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"§être§l'héritier "
"365";"+";"-";"-";"-";"<E>";" être";"le";"héritier légitime";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"§être§l'héritier légitime "
"366";"+";"-";"-";"-";"<E>";" être";"le";"héritier présomptif";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"§être§l'héritier présomptif "
"367";"+";"-";"-";"-";"<E>";" être";"le";"héros";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§l'héros "
"368";"+";"+";"-";"-";"<E>";" être";"le";"hit parade";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§l'hit parade "
"369";"-";"+";"-";"-";"<E>";" être";"le";"hobby";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"§être§l'hobby "
"370";"+";"-";"-";"-";"<E>";" être";"le";"homme à tout faire";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§l'homme à tout fait "
"371";"+";"-";"-";"-";"<E>";" être";"le";"homme de la vie";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§l'homme de la vie "
