"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"N1 =: Nhum";"N1 =: N-hum";"<ENT>C1";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"N2 =: Nhum";"N2 =: N-hum";"<ENT>Prép3";"<ENT>Det3";"<ENT>C3";"N3 =: Nhum";"N3 =: N-hum";"Prép3 N3 = Ppv";"[passif]";"Exemple"
"287";"+";"-";"-";"-";"-";"<E>";" mettrait";"<E>";"<E>";"-";"-";" Paris";"en";"<E>";"bouteille";"-";"-";"avec";"des";"si";"-";"-";"-";"-";"§mettrait§Paris en bouteille avec des si "
"288";"+";"+";"-";"-";"-";"<E>";" mettre";"<E>";"<E>";"+";"+";" <E>";"en";"<E>";"balance";"-";"-";"avec";"<E>";"<E>";"+";"+";"-";"+";"§mettre§en balance avec "
"289";"+";"+";"-";"-";"-";"<E>";" mettre";"<E>";"<E>";"+";"-";" <E>";"en";"<E>";"garde";"-";"-";"contre";"<E>";"<E>";"+";"+";"-";"+";"§mettre§en garde contre "
"290";"+";"-";"-";"-";"-";"<E>";" mettre";"<E>";"<E>";"+";"+";" <E>";"<E>";"plus";"bas";"-";"-";"que";"<E>";"terre";"-";"-";"-";"+";"§mettre§plus bas que terre "
"291";"+";"-";"-";"-";"-";"<E>";" mettre";"<E>";"<E>";"-";"+";" <E>";"à";"<E>";"feu";"-";"-";"et à";"<E>";"sang";"-";"-";"-";"+";"§mettre§à feu et à sang "
"292";"+";"-";"-";"-";"-";"<E>";" mettre";"<E>";"<E>";"-";"+";" <E>";"dans";"Poss0";"poche";"-";"-";"et";"Poss0";"mouchoir par dessus";"-";"-";"-";"+";"§mettre§dans sa poche et son mouchoir par dessus "
"293";"+";"-";"-";"-";"-";"<E>";" mettre";"<E>";"<E>";"-";"+";" <E>";"à";"le";"point";"-";"-";"à";"le";"infini";"-";"-";"-";"+";"§mettre§au point à l'infini "
"294";"+";"-";"+";"-";"-";"se";" mettre";"<E>";"le";"-";"-";" doigt";"dans";"le";"oeil";"-";"-";"jusqu'à";"le";"coude";"-";"-";"-";"-";"§se mettre§le doigt dans l'oeil jusqu'à le coude "
"295";"+";"-";"-";"-";"-";"<E>";" mettre";"<E>";"Det";"-";"-";" idée";"<E>";"<E>";"noir";"-";"-";"sur";"<E>";"blanc";"-";"-";"-";"+";"§mettre§un idée noir sur blanc "
"296";"+";"+";"-";"-";"-";"<E>";" mettre";"<E>";"le";"-";"-";" marché";"en";"<E>";"mains";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§mettre§le marché en mains à "
"297";"+";"+";"-";"-";"-";"<E>";" montrer";"<E>";"<E>";"+";"+";" <E>";"sous";"un";"jour nouveau";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§montrer§sous un jour nouveau à "
"298";"+";"+";"-";"-";"-";"<E>";" montrer";"<E>";"<E>";"+";"+";" <E>";"sous";"un";"mauvais jour";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§montrer§sous un mauvais jour à "
"299";"+";"+";"-";"-";"-";"<E>";" montrer";"<E>";"<E>";"+";"+";" <E>";"sous";"Poss-";"vrai jour";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§montrer§sous Poss-vrai jour à "
"300";"+";"-";"-";"-";"-";"<E>";" obéir";"à";"le";"-";"-";" doigt";"et à";"le";"oeil";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§obéir§au doigt et à l'oeil à "
"301";"+";"+";"-";"-";"-";"<E>";" occuper";"<E>";"une";"-";"-";" place";"à";"<E>";"part";"-";"-";"Loc";"<E>";"<E>";"+";"+";"+";"+";"§occuper§une place à part Loc "
"302";"+";"-";"-";"-";"-";"<E>";" offrir";"<E>";"<E>";"-";"+";" <E>";"en";"<E>";"spectacle";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§offrir§en spectacle à "
"303";"+";"+";"-";"-";"-";"<E>";" ouvrir";"<E>";"une";"-";"-";" chemin";"Loc";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§ouvrir§une chemin Loc à "
"304";"+";"-";"-";"-";"-";"<E>";" ouvrir";"<E>";"Poss0";"-";"-";" oreilles";"<E>";"toutes";"grandes";"-";"-";"à";"<E>";"<E>";"+";"+";"+";"+";"§ouvrir§ses oreilles toutes grandes à "
"305";"+";"+";"-";"-";"-";"<E>";" ouvrir";"<E>";"une";"-";"-";" passage";"Loc";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§ouvrir§une passage Loc à "
"306";"+";"+";"-";"-";"-";"<E>";" ouvrir";"<E>";"les";"-";"-";" portes de N-hum";"<E>";"toutes";"grandes";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§ouvrir§les portes de N-hum toutes grandes à "
"307";"+";"+";"-";"-";"-";"<E>";" ouvrir";"<E>";"une";"-";"-";" voie";"Loc";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§ouvrir§une voie Loc à "
"308";"+";"-";"-";"-";"-";"<E>";" parler";"de";"<E>";"-";"-";" tout";"et";"de";"rien";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"-";"§parler§de tout et de rien avec "
"309";"+";"-";"-";"-";"-";"<E>";" partager";"<E>";"<E>";"-";"+";" <E>";"en";"<E>";"frères";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"+";"§partager§en frères avec "
"310";"+";"-";"-";"-";"-";"<E>";" passer";"<E>";"la";"-";"-";" rhubarbe";"pour";"<E>";"avoir le séné";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§passer§la rhubarbe pour a le séné à "
"311";"+";"-";"-";"-";"-";"<E>";" pendre";"<E>";"<E>";"-";"-";" haut";"et";"<E>";"court";"-";"-";"<E>";"<E>";"<E>";"+";"-";"-";"+";"§pendre§haut et court "
"312";"+";"-";"-";"-";"-";"<E>";" perdre";"<E>";"<E>";"-";"-";" corps";"et";"<E>";"biens";"-";"-";"<E>";"<E>";"<E>";"-";"+";"-";"+";"§perdre§corps et biens "
