"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>Adj1";"<ENT>C1";"N0 être Prép1 Det1 C1";"Prép1 C1 = où ?";"Exemple"
"697";"+";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"mi-";"trimestre";"-";"-";"§être§à mi-trimestre "
"698";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"triomphe";"-";"-";"§être§en plein triomphe "
"699";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"trip";"-";"-";"§être§en plein trip "
"700";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"Dnum";"tronçons";"-";"-";"§être§en Dnum tronçons "
"701";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"typhon";"-";"-";"§être§en plein typhon "
"702";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"grand";"uniforme";"+";"-";"§être§en grand uniforme "
"703";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"grande";"université";"-";"-";"§être§dans une grande université "
"704";"-";"+";"+";"-";"-";"<E>";"être";"sans";"<E>";"aucune";"urgence";"+";"-";"§être§sans aucune urgence "
"705";"-";"+";"-";"-";"-";"<E>";"être";"de";"la";"dernière";"urgence";"-";"-";"§être§de la dernière urgence "
"706";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"première";"urgence";"-";"-";"§être§de première urgence "
"707";"-";"+";"-";"-";"-";"<E>";"être";"de";"toute";"première";"urgence";"-";"-";"§être§de toute première urgence "
"708";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"utopie";"-";"-";"§être§en pleine utopie "
"709";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"vent";"-";"+";"§être§en plein vent "
"710";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"plat-";"ventre";"-";"-";"§être§à plat-ventre "
"711";"-";"+";"-";"-";"-";"<E>";"être";"de";"une";"belle";"venue";"-";"-";"§être§d'une belle venue "
"712";"+";"+";"-";"-";"-";"<E>";"être";"sans";"<E>";"aucune";"vergogne";"+";"-";"§être§sans aucune vergogne "
"713";"+";"+";"-";"-";"-";"<E>";"être";"sans";"la";"moindre";"vergogne";"+";"-";"§être§sans la moindre vergogne "
"714";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"petite";"vertu";"-";"-";"§être§de petite vertu "
"715";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"sous-";"vêtements";"-";"-";"§être§en sous-vêtements "
"716";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"vigueur";"-";"-";"§être§en pleine vigueur "
"717";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"bonne";"ville";"-";"+";"§être§dans la bonne ville "
"718";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"ville";"-";"-";"§être§en pleine ville "
"719";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"visibilité";"-";"-";"§être§en pleine visibilité "
"720";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"double";"vitrage";"-";"-";"§être§à double vitrage "
"721";"+";"-";"-";"-";"-";"<E>";"être";"sur";"le";"qui-";"vive";"-";"-";"§être§sur le qui-vive "
"722";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"bonne";"voie";"-";"-";"§être§dans la bonne voie "
"723";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"bonne";"voie";"-";"-";"§être§en bonne voie "
"724";"+";"+";"-";"-";"-";"<E>";"être";"sur";"la";"bonne";"voie";"-";"-";"§être§sur la bonne voie "
"725";"+";"+";"-";"-";"-";"<E>";"être";"sur";"une";"bonne";"voie";"-";"-";"§être§sur une bonne voie "
"726";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"claire-";"voie";"-";"-";"§être§à claire-voie "
"727";"+";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"contre-";"voie";"-";"+";"§être§à contre-voie "
"728";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"excellente";"voie";"-";"-";"§être§en excellente voie "
"729";"+";"+";"-";"-";"-";"<E>";"être";"sur";"une";"excellente";"voie";"-";"-";"§être§sur une excellente voie "
"730";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"mauvaise";"voie";"-";"-";"§être§en mauvaise voie "
"731";"+";"+";"-";"-";"-";"<E>";"être";"sur";"la";"mauvaise";"voie";"-";"-";"§être§sur la mauvaise voie "
"732";"+";"+";"-";"-";"-";"<E>";"être";"sur";"une";"mauvaise";"voie";"-";"-";"§être§sur une mauvaise voie "
"733";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"haut";"vol";"-";"-";"§être§d'haut vol "
"734";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"haute";"volée";"-";"-";"§être§d'haute volée "
"735";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"bonne";"volonté";"-";"-";"§être§de bonne volonté "
"736";"-";"+";"-";"-";"-";"<E>";"être";"sous";"un";"énorme";"volume";"-";"-";"§être§sous un énorme volume "
"737";"-";"+";"-";"-";"-";"<E>";"être";"sous";"un";"faible";"volume";"-";"-";"§être§sous un faible volume "
"738";"-";"+";"-";"-";"-";"<E>";"être";"sous";"un";"grand";"volume";"-";"-";"§être§sous un grand volume "
"739";"-";"+";"-";"-";"-";"<E>";"être";"sous";"un";"gros";"volume";"-";"-";"§être§sous un gros volume "
"740";"-";"+";"-";"-";"-";"<E>";"être";"sous";"un";"petit";"volume";"-";"-";"§être§sous un petit volume "
"741";"-";"+";"+";"-";"-";"<E>";"être";"à";"<E>";"courte";"vue";"-";"-";"§être§à courte vue "
"742";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"vue";"-";"-";"§être§en pleine vue "
"743";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"Dnum-ième";"zone";"-";"-";"§être§de Dnum-ième zone "

