"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>Adj1";"<ENT>C1";"N0 être Prép1 Det1 C1";"Prép1 C1 = où ?";"Exemple"
"129";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"contestation";"-";"-";"§être§en pleine contestation "
"130";"-";"+";"+";"-";"-";"<E>";"être";"de";"<E>";"pure";"convention";"+";"-";"§être§de pure convention "
"131";"-";"+";"+";"-";"-";"<E>";"être";"de";"<E>";"simple";"convention";"+";"-";"§être§de simple convention "
"132";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pur";"coton";"-";"-";"§être§en pur coton "
"133";"-";"+";"-";"+";"+";"n'en";"être pas";"à";"Poss0";"premier";"coup";"-";"-";"§n'en est pas§à son premier coup "
"134";"-";"+";"-";"-";"-";"<E>";"être";"par";"<E>";"à-";"coups";"-";"-";"§être§par à-coups "
"135";"-";"+";"-";"-";"-";"<E>";"être";"sans";"<E>";"à-";"coups";"-";"-";"§être§sans à-coups "
"136";"+";"-";"-";"-";"-";"<E>";"être";"à";"les";"cents";"coups";"-";"-";"§être§aux cents coups "
"137";"+";"-";"-";"-";"-";"<E>";"être";"de";"tous les";"mauvais";"coups";"-";"-";"§être§de tous les mauvais coups "
"138";"-";"+";"-";"-";"-";"<E>";"être";"à";"Poss0 plus";"haut";"cours";"-";"-";"§être§à son plus haut cours "
"139";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"mi-";"course";"-";"-";"§être§à mi-course "
"140";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"création";"-";"-";"§être§en pleine création "
"141";"-";"+";"-";"-";"-";"<E>";"être";"de";"le";"dernier";"cri";"-";"-";"§être§du dernier cri "
"142";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"croissance";"-";"-";"§être§en pleine croissance "
"143";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"curée";"-";"-";"§être§en pleine curée "
"144";"-";"+";"-";"-";"-";"<E>";"être";"de";"la";"dernière";"cuvée";"-";"-";"§être§de la dernière cuvée "
"145";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"cyclône";"-";"+";"§être§en plein cyclône "
"146";"-";"+";"+";"-";"-";"<E>";"être";"de";"<E>";"fraîche";"date";"-";"-";"§être§de fraîche date "
"147";"-";"+";"+";"-";"-";"<E>";"être";"de";"<E>";"vieille";"date";"-";"-";"§être§de vieille date "
"148";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"débâcle";"-";"-";"§être§en pleine débâcle "
"149";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"déballage";"-";"-";"§être§en plein déballage "
"150";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"mi-";"décembre";"-";"-";"§être§à la mi-décembre "
"151";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"grand";"décolleté";"+";"-";"§être§en grand décolleté "
"152";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"légitime";"défense";"-";"-";"§être§en légitime défense "
"153";"+";"-";"-";"-";"-";"<E>";"être";"dans";"le";"au-";"delà";"-";"+";"§être§dans l'au-delà "
"154";"-";"+";"+";"-";"-";"<E>";"être";"à";"<E>";"bref";"délai";"-";"-";"§être§à bref délai "
"155";"-";"+";"+";"-";"-";"<E>";"être";"pour";"<E>";"après-";"demain";"-";"-";"§être§pour après-demain "
"156";"-";"+";"+";"-";"-";"<E>";"être";"sur";"<E>";"simple";"demande";"+";"-";"§être§sur simple demande "
"157";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"démence";"-";"-";"§être§en pleine démence "
"158";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"démesure";"-";"-";"§être§en pleine démesure "
"159";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"dérapage";"-";"-";"§être§en plein dérapage "
"160";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"dérive";"-";"-";"§être§en pleine dérive "
"161";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"grand";"désarroi";"+";"-";"§être§en grand désarroi "
"162";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"désespoir";"-";"-";"§être§en plein désespoir "
"163";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"en";"dessous";"-";"-";"§être§d'en dessous "
"164";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"trente sixième";"dessous";"-";"-";"§être§au trente sixième dessous "
"165";"+";"-";"-";"-";"-";"<E>";"être";"dans";"le";"trente sixième";"dessous";"-";"-";"§être§dans le trente sixième dessous "
"166";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"destruction";"-";"-";"§être§en pleine destruction "
"167";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"double";"détente";"-";"-";"§être§à double détente "
"168";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"grand";"deuil";"+";"-";"§être§en grand deuil "
"169";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"déveine";"-";"-";"§être§en pleine déveine "
"170";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"bon";"diamètre";"-";"-";"§être§au bon diamètre "
"171";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"grande";"difficulté";"-";"-";"§être§en grande difficulté "
"172";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"digestion";"-";"-";"§être§en pleine digestion "
"173";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"bonne";"dimension";"-";"-";"§être§à la bonne dimension "
"174";"-";"+";"-";"-";"-";"<E>";"être";"à";"les";"bonnes";"dimensions";"-";"-";"§être§aux bonnes dimensions "
"175";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"trois";"dimensions";"-";"-";"§être§en trois dimensions "
"176";"+";"-";"-";"-";"-";"<E>";"être";"sans";"<E>";"rien";"dire";"-";"-";"§être§sans rien dire "
"177";"-";"+";"-";"-";"-";"<E>";"être";"dans";"la";"autre";"direction";"-";"+";"§être§dans l'autre direction "
"178";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"bonne";"direction";"-";"-";"§être§dans la bonne direction "
"179";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"deuxième";"division";"-";"+";"§être§en deuxième division "
"180";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"Dnum-ième";"division";"-";"+";"§être§en Dnum-ième division "
"181";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"première";"division";"-";"+";"§être§en première division "
"182";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"seconde";"division";"-";"+";"§être§en seconde division "
"183";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"troisième";"division";"-";"+";"§être§en troisième division "
"184";"-";"+";"+";"-";"-";"<E>";"être";"sans";"<E>";"aucun";"dommage";"+";"-";"§être§sans aucun dommage "
"185";"-";"+";"+";"-";"-";"<E>";"être";"sans";"le";"moindre";"dommage";"+";"-";"§être§sans le moindre dommage "
"186";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleines";"douleurs";"-";"-";"§être§en pleines douleurs "
"187";"+";"-";"-";"-";"-";"<E>";"être";"dans";"de";"beaux";"draps";"-";"-";"§être§dans de beaux draps "
"188";"+";"-";"-";"-";"-";"<E>";"être";"dans";"de";"mauvais";"draps";"-";"-";"§être§dans de mauvais draps "
"189";"+";"-";"-";"-";"-";"<E>";"être";"dans";"de";"sales";"draps";"-";"-";"§être§dans de sales draps "
"190";"+";"-";"-";"-";"-";"<E>";"être";"dans";"de";"vilains";"draps";"-";"-";"§être§dans de vilains draps "
"191";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"simple";"duplex";"-";"-";"§être§en simple duplex "
"192";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"courte";"durée";"-";"-";"§être§de courte durée "
"193";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"faible";"durée";"-";"-";"§être§de faible durée "
"194";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"longue";"durée";"-";"-";"§être§de longue durée "
"195";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"moyenne";"durée";"-";"-";"§être§de moyenne durée "
"196";"-";"+";"-";"-";"-";"<E>";"être";"de";"la";"plus belle";"eau";"-";"-";"§être§de la plus belle eau "
"197";"-";"+";"+";"-";"-";"<E>";"être";"à";"<E>";"brève";"échéance";"-";"-";"§être§à brève échéance "
"198";"-";"+";"+";"-";"-";"<E>";"être";"à";"<E>";"courte";"échéance";"-";"-";"§être§à courte échéance "
"199";"-";"+";"+";"-";"-";"<E>";"être";"à";"<E>";"longue";"échéance";"-";"-";"§être§à longue échéance "
"200";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"grande";"échelle";"-";"-";"§être§à grande échelle "
"201";"-";"+";"-";"-";"-";"<E>";"être";"à";"une";"grande";"échelle";"-";"-";"§être§à une grande échelle "
"202";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"large";"échelle";"-";"-";"§être§à large échelle "
"203";"-";"+";"-";"-";"-";"<E>";"être";"à";"une";"large";"échelle";"-";"-";"§être§à une large échelle "
"204";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"petite";"échelle";"-";"-";"§être§à petite échelle "
"205";"-";"+";"-";"-";"-";"<E>";"être";"à";"une";"petite";"échelle";"-";"-";"§être§à une petite échelle "
"206";"-";"+";"+";"-";"-";"<E>";"être";"sans";"<E>";"aucun";"éclat";"+";"-";"§être§sans aucun éclat "
"207";"-";"+";"+";"-";"-";"<E>";"être";"sans";"le";"moindre";"éclat";"+";"-";"§être§sans le moindre éclat "
"208";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"éclat";"-";"-";"§être§en plein éclat "
"209";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"bonne";"école";"-";"-";"§être§à bonne école "
"210";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"grande";"école";"-";"-";"§être§dans une grande école "
"211";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"rude";"école";"-";"-";"§être§à rude école "
"212";"+";"-";"-";"-";"-";"<E>";"être";"de";"la";"vieille";"école";"-";"-";"§être§de la vieille école "
"213";"-";"+";"-";"-";"-";"<E>";"être";"sur";"<E>";"grand";"écran";"-";"-";"§être§sur grand écran "
"214";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"écroulement";"-";"-";"§être§en plein écroulement "
"215";"-";"+";"+";"-";"-";"<E>";"être";"de";"le plus";"bel";"effet";"-";"-";"§être§du plus bel effet "
"216";"-";"+";"-";"-";"-";"<E>";"être";"de";"un";"bel";"effet";"-";"-";"§être§d'un bel effet "
"217";"-";"+";"+";"-";"-";"<E>";"être";"de";"un";"bon";"effet";"-";"-";"§être§d'un bon effet "
"218";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"double";"effet";"-";"-";"§être§à double effet "
"219";"-";"+";"+";"-";"-";"<E>";"être";"de";"le plus";"mauvais";"effet";"-";"-";"§être§du plus mauvais effet "
"220";"-";"+";"+";"-";"-";"<E>";"être";"de";"le";"meilleur";"effet";"-";"-";"§être§du meilleur effet "
"221";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"simple";"effet";"-";"-";"§être§à simple effet "
"222";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"effondrement";"-";"-";"§être§en plein effondrement "
"223";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"effort";"-";"-";"§être§en plein effort "
"224";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"élection";"-";"-";"§être§en pleine élection "
"225";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"bon";"endroit";"-";"+";"§être§au bon endroit "
"226";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"petite";"enfance";"-";"-";"§être§dans la petite enfance "
"227";"+";"-";"-";"-";"-";"<E>";"être";"dans";"Poss0";"tendre";"enfance";"-";"-";"§être§dans sa tendre enfance "
"228";"+";"+";"-";"-";"-";"<E>";"être";"de";"la";"pire";"engeance";"-";"-";"§être§de la pire engeance "
"229";"-";"+";"+";"-";"-";"<E>";"être";"à";"<E>";"double";"entendement";"-";"-";"§être§à double entendement "
"230";"-";"+";"+";"-";"-";"<E>";"être";"à";"<E>";"double";"entente";"-";"-";"§être§à double entente "
"231";"-";"+";"-";"-";"-";"<E>";"être";"sans";"<E>";"grand";"enthousiasme";"+";"-";"§être§sans grand enthousiasme "
"232";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"faible";"envergure";"-";"-";"§être§de faible envergure "
"233";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"grande";"envergure";"+";"-";"§être§de grande envergure "
"234";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"grande";"envergure";"+";"-";"§être§de grande envergure "
"235";"+";"+";"-";"-";"-";"<E>";"être";"de";"une";"grande";"envergure";"+";"-";"§être§d'une grande envergure "
"236";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"petite";"envergure";"-";"-";"§être§de petite envergure "
"237";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"bonne";"épaisseur";"-";"-";"§être§à la bonne épaisseur "
"238";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"double";"épaisseur";"-";"-";"§être§en double épaisseur "
"239";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"n-uple";"épaisseur";"-";"-";"§être§en n-uple épaisseur "
"240";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"quadruple";"épaisseur";"-";"-";"§être§en quadruple épaisseur "
"241";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"simple";"épaisseur";"-";"-";"§être§en simple épaisseur "
"242";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"triple";"épaisseur";"-";"-";"§être§en triple épaisseur "
"243";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"épopée";"-";"-";"§être§en pleine épopée "
