"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Det1";"<ENT>Prépc";"<ENT>Detc";"<ENT>Cc";"N0 être Det1 Prépc Detc Cc N1";"N0 être Det1 N1 Prépc Detc Cc";"Exemple"
"204";"+";"-";"-";"<E>";" être";"un";"devant";"<E>";"Eternel";"-";"+";"§être§un devant Eternel "
"205";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"événement";"-";"+";"§être§un événement "
"206";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"éventuel";"+";"+";"§être§un éventuel "
"207";"+";"-";"-";"<E>";" être";"un";"par";"<E>";"excellence";"-";"+";"§être§un par excellence "
"208";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"exception";"-";"+";"§être§un d'exception "
"209";"+";"-";"-";"<E>";" être";"un";"à";"<E>";"excès";"-";"+";"§être§un à excès "
"210";"-";"+";"-";"<E>";" être";"un";"par";"<E>";"excès";"-";"+";"§être§un par excès "
"211";"-";"+";"-";"<E>";" être";"un";"par";"<E>";"exemple";"-";"+";"§être§un par exemple"
"212";"+";"-";"-";"<E>";" être";"un";"de";"pin";"exercice";"-";"+";"§être§un de pin exercice "
"213";"+";"-";"-";"<E>";" être";"un";"en";"<E>";"exercice";"-";"+";"§être§un en exercice "
"214";"+";"+";"-";"<E>";" être";"un";"comme";"il n'en";"exister guère";"-";"+";"§être§un comme il n'en exister guère "
"215";"+";"+";"-";"<E>";" être";"un";"comme";"il n'en";"exister pas d'autres";"-";"+";"§être§un comme il n'en exister pas d'autres "
"216";"+";"+";"-";"<E>";" être";"un";"comme";"il n'en";"exister pas deux";"-";"+";"§être§un comme il n'en exister pas deux "
"217";"+";"+";"-";"<E>";" être";"un";"comme";"il n'en";"exister plus";"-";"+";"§être§un comme il n'en exister plus "
"218";"+";"+";"-";"<E>";" être";"un";"comme";"il n'en";"exister plus guère";"-";"+";"§être§un comme il n'en exister plus guère "
"219";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"exposition";"-";"+";"§être§un d'exposition "
"220";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"façade";"-";"+";"§être§un de façade "
"221";"+";"+";"-";"<E>";" être";"un";"d'en";"<E>";"face";"-";"+";"§être§un d'en face "
"222";"+";"+";"-";"<E>";" être";"un";"à";"ma";"façon";"-";"+";"§être§un à ma façon "
