"<ID>";"<ENT>Il";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><avoir>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"il y avoir = <E>";"N2 =: Qu Pind";"N2 =: Qu Psubj";"N2 =: V0-inf W";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"<ENT>Prép3";"N3 =: Nhum";"N3 =: N-hum";"N3 =: ce Qu Pind";"N3 =: ce Qu Psubj";"N3 =: (E+de) V-inf W";"Exemple"
"302";"il";"-";"+";"n'y";"avoir";"<E>";"de";"salut";"-";"-";"-";"-";"que  dans";"la";"fuite";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir§de salut que dans la fuite "
"303";"il";"-";"-";"y";"avoir";"<E>";"du";"sang";"-";"-";"-";"-";"à";"la";"une";"<E>";"-";"-";"-";"-";"-";"il§y avoir§du sang à l'une "
"304";"il";"-";"-";"y";"avoir";"de";"quoi";"se flinguer !";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"il§y avoir§de quoi se flinguer! "
"305";"il";"-";"-";"y";"avoir";"de";"quoi";"se les mordre !";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"il§y avoir§de quoi se les mordre! "
"306";"il";"-";"+";"n'y";"avoir pas";"à";"<E>";"se tromper";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir pas§à se tromper "
"307";"il";"-";"-";"y";"avoir";"<E>";"des";"siècles";"-";"-";"-";"-";"de";"<E>";"cela";"<E>";"-";"-";"+";"-";"-";"il§y avoir§des siècles de cela "
"308";"il";"-";"-";"y";"avoir";"<E>";"un";"sort";"-";"-";"-";"-";"<E>";"<E>";"<E>";"sur";"+";"+";"-";"-";"-";"il§y avoir§un sort sur "
"309";"il";"-";"-";"y";"avoir";"<E>";"un mauvais";"sort";"-";"-";"-";"-";"<E>";"<E>";"<E>";"sur";"+";"+";"-";"-";"-";"il§y avoir§un mauvais sort sur "
"310";"il";"-";"+";"n'y";"avoir pas";"à";"<E>";"sortir";"-";"-";"-";"-";"de";"<E>";"là";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir pas§à sortir de là "
"311";"il";"-";"+";"n'y";"avoir";"<E>";"un";"souffle";"-";"-";"-";"-";"de";"<E>";"air";"Loc";"+";"+";"-";"-";"-";"il§n'y avoir§un souffle d'air Loc "
"312";"il";"-";"+";"n'y";"avoir";"<E>";"un";"souffle";"-";"-";"-";"-";"de";"<E>";"vent";"Loc";"+";"+";"-";"-";"-";"il§n'y avoir§un souffle de vent Loc "
"313";"il";"-";"-";"y";"avoir";"<E>";"du";"sport";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Loc";"+";"+";"-";"-";"-";"il§y avoir§du sport Loc "
"314";"il";"-";"-";"y";"avoir";"<E>";"<E>";"tant";"-";"-";"-";"-";"à";"<E>";"dire";"Loc";"+";"+";"-";"-";"-";"il§y avoir§tant à dire Loc "
"315";"il";"-";"-";"y";"avoir";"<E>";"<E>";"tant";"-";"-";"-";"-";"à";"<E>";"faire";"Loc";"+";"+";"-";"-";"-";"il§y avoir§tant à fait Loc "
"316";"il";"-";"+";"n'y";"avoir rien";"<E>";"de";"tel";"-";"-";"-";"-";"que";"Det";"N";"pour";"-";"-";"-";"+";"+";"il§n'y avoir rien§de tel qu'un N pour "
"317";"il";"-";"-";"y";"avoir";"<E>";"<E>";"tellement";"-";"-";"-";"-";"à";"<E>";"dire";"Loc";"+";"+";"-";"-";"-";"il§y avoir§tellement à dire Loc "
"318";"il";"-";"-";"y";"avoir";"<E>";"<E>";"tellement";"-";"-";"-";"-";"à";"<E>";"faire";"Loc";"+";"+";"-";"-";"-";"il§y avoir§tellement à fait Loc "
"319";"il";"-";"-";"y";"avoir";"<E>";"une";"tempête";"-";"-";"-";"-";"sous";"le";"crâne";"de";"+";"-";"-";"-";"-";"il§y avoir§une tempête sous le crâne de "
"320";"il";"-";"-";"y";"avoir";"<E>";"Det";"temps";"-";"-";"-";"-";"de";"<E>";"ça";"<E>";"-";"-";"+";"-";"-";"il§y avoir§un temps de ça "
"321";"il";"-";"-";"y";"avoir";"<E>";"Det";"temps";"-";"-";"-";"-";"de";"<E>";"cela";"<E>";"-";"-";"+";"-";"-";"il§y avoir§un temps de cela "
"322";"il";"-";"-";"y";"avoir";"<E>";"pas mal de";"temps";"-";"-";"-";"-";"de";"<E>";"cela";"<E>";"-";"-";"+";"-";"-";"il§y avoir§pas mal de temps de cela "
"323";"il";"-";"-";"y";"avoir";"<E>";"peu de";"temps";"-";"-";"-";"-";"de";"<E>";"cela";"<E>";"-";"-";"+";"-";"-";"il§y avoir§peu de temps de cela "
"324";"il";"-";"-";"y";"avoir";"<E>";"quelque";"temps";"-";"-";"-";"-";"de";"<E>";"cela";"<E>";"-";"-";"+";"-";"-";"il§y avoir§quelque temps de cela "
"325";"il";"-";"-";"y";"avoir";"<E>";"un bout de";"temps";"-";"-";"-";"-";"de";"<E>";"cela";"<E>";"-";"-";"+";"-";"-";"il§y avoir§un bout de temps de cela "
"326";"il";"-";"-";"y";"avoir";"<E>";"un certain";"temps déjà";"-";"-";"-";"-";"de";"<E>";"cela";"<E>";"-";"-";"+";"-";"-";"il§y avoir§un certain temps déjà de cela "
"327";"il";"-";"-";"y";"avoir";"<E>";"un";"temps dingue";"-";"-";"-";"-";"de";"<E>";"cela";"<E>";"-";"-";"+";"-";"-";"il§y avoir§un temps dingue de cela "
"328";"il";"-";"-";"y";"avoir";"<E>";"un";"temps fou";"-";"-";"-";"-";"de";"<E>";"cela";"<E>";"-";"-";"+";"-";"-";"il§y avoir§un temps fou de cela "
"329";"il";"-";"-";"y";"avoir";"<E>";"un";"temps mort";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Loc";"+";"+";"-";"-";"-";"il§y avoir§un temps mort Loc "
