"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"<ENT>Ppv";"<ENT>V";"C1 =: Npc0";"<ENT>Det1";"<ENT>C1";"N0 V Det1 C1";"<ENT>Prép2";"N2 =: Nhum";"N2 =: N-hum";"Prép2 N2hum = Ppv =: lui";"Prép2 N2-hum = Ppv";"sur N2 = dessus N2";"[passif]";"Exemple"
"387";"+";"-";"+";"se";" faire";"+";"du mauvais";" sang";"+";" pour";"+";"+";"-";"-";"-";"-";"§se fait§du mauvais sang pour "
"388";"+";"-";"+";"se";" faire";"+";"un";" sang d'encre";"+";" pour";"+";"+";"-";"-";"-";"-";"§se fait§un sang d'encre pour "
"389";"+";"-";"+";"se";" faire";"+";"un";" sang du diable";"+";" pour";"+";"-";"-";"-";"-";"-";"§se fait§un sang du diable pour "
"390";"+";"-";"-";"<E>";" faire";"-";"un";" séjour";"-";" Loc";"+";"+";"-";"+";"-";"+";"§fait§un séjour Loc "
"391";"+";"-";"-";"<E>";" faire";"-";"un";" signe de reconnaissance";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§un signe de reconnaissance à "
"392";"+";"-";"-";"<E>";" faire";"-";"un";" signe d'intelligence";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§un signe d'intelligence à "
"393";"+";"+";"-";"<E>";" faire";"-";"un";" sort";"-";" à";"-";"+";"-";"+";"-";"+";"§fait§un sort à "
"394";"+";"-";"-";"<E>";" faire";"-";"une";" sortie";"-";" contre";"+";"-";"-";"-";"-";"+";"§fait§une sortie contre "
"395";"+";"-";"+";"se";" faire";"-";"du";" souci";"+";" pour";"+";"+";"-";"-";"-";"-";"§se fait§du souci pour "
"396";"+";"-";"-";"<E>";" faire";"-";"un large";" sourire";"+";" à";"+";"-";"+";"-";"-";"+";"§fait§un large sourire à "
"397";"+";"-";"-";"<E>";" faire";"-";"un grand";" sourire";"+";" à";"+";"-";"+";"-";"-";"+";"§fait§un grand sourire à "
"398";"+";"-";"-";"<E>";" faire";"-";"une";" suggestion";"+";" à";"+";"-";"+";"-";"-";"+";"§fait§une suggestion à "
"399";"+";"+";"-";"<E>";" faire";"-";"une";" surprise";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§une surprise à "
"400";"+";"-";"-";"<E>";" faire";"-";"une";" surprise";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§une surprise à "
"401";"+";"-";"-";"<E>";" faire";"-";"une grosse";" tête";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§une grosse tête à "
"402";"+";"-";"-";"<E>";" faire";"+";"une";" tête de plus";"-";" que";"+";"-";"-";"-";"-";"-";"§fait§une tête de plus que "
"403";"+";"+";"-";"<E>";" faire";"-";"du";" tort";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§du tort à "
"404";"+";"-";"-";"<E>";" faire";"-";"une";" totale";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§une totale à "
"405";"-";"+";"-";"<E>";" faire";"-";"de le";" usage";"-";" à";"+";"-";"+";"-";"-";"-";"§fait§de l'usage à "
"406";"+";"-";"-";"<E>";" faire";"-";"une";" vacherie";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§une vacherie à "
"407";"+";"-";"-";"<E>";" faire";"-";"une";" vie impossible";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§une vie impossible à "
"408";"-";"+";"-";"<E>";" faire";"-";"du";" vilain";"+";" Loc";"+";"+";"-";"+";"-";"-";"§fait§du vilain Loc "
"409";"+";"+";"+";"se";" faire";"-";"une";" voie";"+";" Loc";"-";"+";"-";"+";"-";"-";"§se fait§une voie Loc "
"410";"+";"-";"-";"<E>";" faire";"-";"une grosse";" voix";"+";" à";"+";"-";"+";"-";"-";"-";"§fait§une grosse voix à "
"411";"+";"+";"-";"<E>";" fermer";"-";"un";" marché";"+";" à";"+";"-";"+";"-";"-";"+";"§fermer§un marché à "
"412";"+";"-";"-";"<E>";" fermer";"-";"une";" porte";"+";" sur";"+";"-";"-";"-";"-";"+";"§fermer§une porte sur "
"413";"+";"+";"-";"<E>";" fermer";"-";"une";" possibilité";"+";" à";"+";"-";"+";"-";"-";"+";"§fermer§une possibilité à "
"414";"+";"-";"-";"<E>";" fiche";"-";"un";" coup";"-";" à";"+";"-";"+";"-";"-";"+";"§fiche§un coup à "
"415";"-";"+";"-";"<E>";" fiche";"-";"un";" coup";"+";" à";"+";"-";"+";"-";"-";"-";"§fiche§un coup à "
"416";"+";"-";"-";"<E>";" fiche";"-";"une";" paix royale";"-";" à";"+";"-";"+";"-";"-";"+";"§fiche§une paix royale à "
"417";"+";"-";"-";"<E>";" flanquer";"-";"un";" coup";"+";" à";"+";"-";"+";"-";"-";"+";"§flanquer§un coup à "
"418";"-";"+";"-";"<E>";" flanquer";"-";"un";" coup";"+";" à";"+";"-";"+";"-";"-";"-";"§flanquer§un coup à "
"419";"+";"-";"-";"<E>";" flanquer";"-";"une";" paix royale";"-";" à";"+";"-";"+";"-";"-";"+";"§flanquer§une paix royale à "
"420";"+";"-";"-";"<E>";" fomenter";"-";"un";" attentat";"+";" contre";"+";"-";"-";"-";"-";"+";"§fomenter§un attentat contre "
"421";"+";"-";"-";"<E>";" fomenter";"-";"une";" cabbale";"+";" contre";"+";"-";"-";"-";"-";"+";"§fomenter§une cabbale contre "
"422";"+";"-";"-";"<E>";" fomenter";"-";"un";" complot";"+";" contre";"+";"-";"-";"-";"-";"+";"§fomenter§un complot contre "
"423";"+";"-";"-";"<E>";" fomenter";"-";"un";" coup d'état";"+";" contre";"+";"-";"-";"-";"-";"+";"§fomenter§un coup d'état contre "
"424";"+";"-";"-";"<E>";" fomenter";"-";"une";" intrigue";"+";" contre";"+";"-";"-";"-";"-";"+";"§fomenter§une intrigue contre "
"425";"+";"-";"-";"<E>";" fomenter";"-";"une";" révolte";"+";" contre";"+";"-";"-";"-";"-";"+";"§fomenter§une révolte contre "
"426";"+";"-";"-";"<E>";" fomenter";"-";"des";" troubles";"+";" Loc";"+";"-";"-";"-";"-";"+";"§fomenter§des troubles Loc "
"427";"+";"-";"-";"<E>";" fonder";"-";"des";" espérances";"-";" sur";"+";"+";"-";"-";"+";"+";"§fonder§des espérances sur "
"428";"+";"-";"-";"<E>";" fonder";"-";"un";" espoir";"-";" sur";"+";"+";"-";"-";"+";"+";"§fonder§un espoir sur "
"429";"+";"+";"-";"<E>";" fonder";"-";"une";" théorie";"+";" sur";"-";"+";"-";"-";"+";"+";"§fonder§une théorie sur "
"430";"+";"-";"-";"<E>";" forger";"-";"un";" idéal";"-";" à";"+";"-";"+";"-";"-";"+";"§forger§un idéal à "
"431";"+";"-";"-";"<E>";" formuler";"-";"une";" demande";"-";" à";"+";"-";"+";"-";"-";"+";"§formuler§une demande à "
"432";"+";"-";"-";"<E>";" formuler";"-";"une";" objection";"+";" contre";"+";"+";"-";"-";"-";"+";"§formuler§une objection contre "
"433";"+";"-";"-";"<E>";" formuler";"-";"une";" protestation";"+";" contre";"+";"+";"-";"-";"-";"+";"§formuler§une protestation contre "
"434";"+";"-";"-";"<E>";" formuler";"-";"une";" question";"-";" à";"+";"+";"-";"+";"-";"-";"§formuler§une question à "
"435";"+";"+";"-";"<E>";" fournir";"-";"un";" exemple";"+";" à";"+";"-";"+";"-";"-";"+";"§fournir§un exemple à "
"436";"+";"-";"-";"<E>";" foutre";"-";"un";" coup";"-";" à";"+";"-";"+";"-";"-";"+";"§foutre§un coup à "
"437";"-";"+";"-";"<E>";" foutre";"-";"un";" coup";"+";" à";"+";"-";"+";"-";"-";"+";"§foutre§un coup à "
"438";"+";"-";"-";"<E>";" foutre";"-";"une";" paix royale";"-";" à";"+";"-";"+";"-";"-";"+";"§foutre§une paix royale à "
"439";"+";"-";"-";"<E>";" frapper";"-";"un";" coup";"+";" Loc";"-";"+";"-";"-";"-";"+";"§frapper§un coup Loc "
"440";"+";"+";"+";"se";" frayer";"-";"un";" chemin";"+";" Loc";"-";"+";"-";"+";"-";"-";"§se frayer§un chemin Loc "
"441";"+";"+";"+";"se";" frayer";"-";"un";" passage";"+";" Loc";"-";"+";"-";"+";"-";"-";"§se frayer§un passage Loc "
"442";"+";"+";"+";"se";" frayer";"-";"une";" route";"+";" Loc";"-";"+";"-";"+";"-";"-";"§se frayer§une route Loc "
"443";"+";"+";"+";"se";" frayer";"-";"une";" voie";"+";" Loc";"-";"+";"-";"+";"-";"-";"§se frayer§une voie Loc "
"444";"+";"-";"-";"<E>";" gagner";"-";"du";" terrain";"+";" sur";"+";"-";"-";"-";"-";"+";"§gagner§du terrain sur "
"445";"+";"-";"-";"<E>";" garder";"-";"un";" chien de Poss0 chienne";"-";" à";"+";"-";"+";"-";"-";"-";"§garder§un chien de sa chienne à "
"446";"+";"+";"-";"<E>";" garder";"-";"un juste";" milieu";"+";" entre";"+";"+";"-";"-";"-";"+";"§garder§un juste milieu entre "
"447";"+";"-";"-";"<E>";" glisser";"-";"un";" mot";"-";" à";"+";"-";"+";"-";"-";"+";"§glisser§un mot à "
"448";"+";"-";"-";"<E>";" glisser";"-";"une";" peau de banane";"-";" Loc";"-";"+";"-";"+";"-";"+";"§glisser§une peau de banane Loc "
"449";"+";"-";"-";"<E>";" grignoter";"-";"du";" terrain";"+";" à";"+";"-";"+";"-";"-";"+";"§grignoter§du terrain à "
"450";"+";"+";"-";"<E>";" impartir";"-";"un";" délai";"-";" à";"+";"-";"+";"-";"-";"+";"§impartir§un délai à "
"451";"+";"+";"-";"<E>";" imposer";"-";"une";" contrainte";"-";" à";"+";"-";"+";"-";"-";"+";"§imposer§une contrainte à "
"452";"+";"+";"-";"<E>";" imposer";"-";"un";" devoir";"-";" à";"+";"-";"+";"-";"-";"+";"§imposer§un devoir à "
"453";"+";"+";"-";"<E>";" imposer";"-";"une";" obligation";"-";" à";"+";"-";"+";"-";"-";"+";"§imposer§une obligation à "
"454";"+";"+";"-";"<E>";" imprimer";"-";"une";" direction";"-";" à";"-";"+";"-";"+";"-";"+";"§imprimer§une direction à "
"455";"+";"+";"-";"<E>";" imprimer";"-";"une";" impulsion";"-";" à";"-";"+";"-";"+";"-";"+";"§imprimer§une impulsion à "
"456";"+";"+";"-";"<E>";" imprimer";"-";"un";" mouvement";"-";" à";"-";"+";"-";"+";"-";"+";"§imprimer§un mouvement à "
"457";"+";"+";"-";"<E>";" imprimer";"-";"une";" secousse";"-";" à";"-";"+";"-";"+";"-";"+";"§imprimer§une secousse à "
"458";"+";"+";"-";"<E>";" imprimer";"-";"une";" tendance";"-";" à";"-";"+";"-";"+";"-";"+";"§imprimer§une tendance à "
"459";"+";"-";"-";"<E>";" incarner";"-";"un";" rôle";"+";" Loc";"-";"+";"-";"+";"-";"+";"§incarner§un rôle Loc "
"460";"+";"+";"-";"<E>";" infliger";"-";"une";" corvée";"-";" à";"+";"-";"+";"-";"-";"+";"§infliger§une corvée à "
"461";"+";"+";"-";"<E>";" infliger";"-";"un";" démenti";"-";" à";"+";"-";"+";"-";"-";"+";"§infliger§un démenti à "
"462";"+";"+";"-";"<E>";" infliger";"-";"un";" désaveu";"-";" à";"+";"-";"+";"-";"-";"+";"§infliger§un désaveu à "
"463";"+";"+";"-";"<E>";" infuser";"+";"un";" sang neuf";"-";" à";"+";"-";"-";"-";"-";"+";"§infuser§un sang neuf à "
"464";"+";"+";"-";"<E>";" infuser";"+";"un";" sang nouveau";"-";" à";"+";"-";"-";"-";"-";"+";"§infuser§un sang nouveau à "
"465";"+";"+";"-";"<E>";" insuffler";"-";"du";" courage";"-";" à";"+";"-";"+";"-";"-";"+";"§insuffler§du courage à "
"466";"+";"+";"-";"<E>";" insuffler";"-";"de la";" énergie";"-";" à";"+";"-";"+";"-";"-";"+";"§insuffler§de l'énergie à "
"467";"+";"+";"-";"<E>";" insuffler";"-";"de la";" force";"-";" à";"+";"-";"+";"-";"-";"+";"§insuffler§de la force à "
"468";"+";"+";"-";"<E>";" insuffler";"-";"du";" moral";"-";" à";"+";"-";"+";"-";"-";"+";"§insuffler§du moral à "
"469";"+";"-";"-";"<E>";" intenter";"-";"une";" action";"+";" à";"+";"-";"-";"-";"-";"+";"§intenter§une action à "
"470";"+";"-";"-";"<E>";" intenter";"-";"un";" procès";"+";" à";"+";"-";"+";"-";"-";"+";"§intenter§un procès à "
"471";"+";"-";"-";"<E>";" introduire";"-";"une";" demande";"-";" auprès de";"+";"-";"-";"-";"-";"+";"§introduire§une demande auprès de "
"472";"+";"+";"-";"<E>";" jeter";"-";"une certaine";" clarté";"-";" sur";"+";"+";"-";"-";"-";"+";"§jeter§une certaine clarté sur "
"473";"+";"-";"-";"<E>";" jeter";"-";"un";" coup d'oeil";"+";" à";"+";"+";"+";"+";"-";"+";"§jeter§un coup d'oeil à "
"474";"+";"-";"-";"<E>";" jeter";"-";"un";" coup d'oeil";"-";" Loc";"+";"+";"-";"+";"-";"+";"§jeter§un coup d'oeil Loc "
"475";"+";"-";"-";"<E>";" jeter";"-";"un";" défi";"-";" à";"+";"-";"+";"-";"-";"+";"§jeter§un défi à "
"476";"+";"+";"-";"<E>";" jeter";"-";"un";" doute";"-";" sur";"+";"+";"-";"-";"-";"+";"§jeter§un doute sur "
"477";"+";"+";"-";"<E>";" jeter";"-";"un certain";" éclairage";"-";" sur";"+";"+";"-";"-";"-";"+";"§jeter§un certain éclairage sur "
"478";"+";"-";"-";"<E>";" jeter";"-";"des";" fleurs";"-";" à";"+";"-";"+";"-";"-";"-";"§jeter§des fleurs à "
"479";"+";"+";"-";"<E>";" jeter";"-";"un";" froid";"+";" Loc";"+";"+";"-";"+";"-";"+";"§jeter§un froid Loc "
"480";"+";"+";"-";"<E>";" jeter";"-";"un certain";" jour";"-";" sur";"+";"+";"-";"-";"-";"+";"§jeter§un certain jour sur "
"481";"+";"+";"-";"<E>";" jeter";"-";"un";" jour nouveau";"-";" sur";"+";"+";"-";"-";"+";"+";"§jeter§un jour nouveau sur "
"482";"+";"+";"-";"<E>";" jeter";"-";"une certaine";" lueur";"-";" sur";"+";"+";"-";"-";"-";"+";"§jeter§une certaine lueur sur "
"483";"+";"+";"-";"<E>";" jeter";"-";"une certaine";" lumière";"-";" sur";"+";"+";"-";"-";"-";"+";"§jeter§une certaine lumière sur "
"484";"+";"+";"-";"<E>";" jeter";"-";"une";" lumière crue";"-";" sur";"+";"+";"-";"-";"+";"+";"§jeter§une lumière crue sur "
"485";"+";"-";"-";"<E>";" jeter";"-";"un";" maléfice";"-";" sur";"+";"+";"-";"-";"-";"+";"§jeter§un maléfice sur "
"486";"+";"-";"-";"<E>";" jeter";"+";"un";" oeil";"-";" Loc";"+";"+";"-";"+";"-";"+";"§jeter§un oeil Loc "
"487";"+";"+";"-";"<E>";" jeter";"-";"une";" ombre";"-";" sur";"+";"+";"-";"-";"-";"+";"§jeter§une ombre sur "
"488";"+";"+";"-";"<E>";" jeter";"-";"une";" passerelle";"-";" Loc";"+";"+";"-";"-";"-";"+";"§jeter§une passerelle Loc "
"489";"+";"-";"-";"<E>";" jeter";"-";"un";" pont";"-";" sur";"-";"+";"-";"-";"-";"+";"§jeter§un pont sur "
"490";"+";"-";"-";"<E>";" jeter";"-";"un";" regard";"-";" à";"+";"+";"+";"+";"-";"+";"§jeter§un regard à "
"491";"+";"-";"-";"<E>";" jeter";"-";"un";" regard circulaire";"+";" Loc";"+";"+";"-";"+";"+";"+";"§jeter§un regard circulaire Loc "
"492";"+";"-";"-";"<E>";" jeter";"-";"un";" regard de travers";"-";" à";"+";"-";"+";"-";"-";"+";"§jeter§un regard de travers à "
"493";"+";"-";"-";"<E>";" jeter";"-";"un";" sort";"-";" à";"+";"-";"+";"-";"-";"+";"§jeter§un sort à "
"494";"+";"-";"-";"<E>";" jeter";"-";"un";" trait";"-";" à";"+";"-";"+";"-";"-";"+";"§jeter§un trait à "
"495";"+";"-";"-";"<E>";" jeter";"-";"un";" ultimatum";"-";" à";"+";"-";"+";"-";"-";"+";"§jeter§un ultimatum à "
"496";"+";"+";"-";"<E>";" jeter";"-";"un certain";" voile";"-";" sur";"+";"-";"+";"+";"-";"-";"§jeter§un certain voile sur "
"497";"+";"+";"-";"<E>";" jouer";"-";"une mauvaise";" farce";"-";" à";"+";"-";"+";"-";"-";"+";"§jouer§une mauvaise farce à "
"498";"+";"+";"-";"<E>";" jouer";"-";"une sale";" farce";"-";" à";"+";"-";"+";"-";"-";"+";"§jouer§une sale farce à "
"499";"+";"+";"-";"<E>";" jouer";"-";"une vilaine";" farce";"-";" à";"+";"-";"+";"-";"-";"+";"§jouer§une vilaine farce à "
"500";"+";"+";"-";"<E>";" jouer";"-";"une";" farce";"-";" à";"+";"-";"+";"-";"-";"+";"§jouer§une farce à "
"501";"+";"-";"-";"<E>";" jouer";"-";"un sale";" jeu";"+";" avec";"+";"-";"-";"-";"-";"+";"§jouer§un sale jeu avec "
"502";"+";"-";"-";"<E>";" jouer";"-";"un vilain";" jeu";"+";" avec";"+";"-";"-";"-";"-";"+";"§jouer§un vilain jeu avec "
"503";"+";"-";"-";"<E>";" jouer";"-";"un";" jeu serré";"+";" avec";"+";"-";"-";"-";"-";"+";"§jouer§un jeu serré avec "
"504";"+";"+";"-";"<E>";" jouer";"-";"un";" rôle";"+";" Loc";"-";"+";"-";"+";"-";"+";"§jouer§un rôle Loc "
"505";"+";"+";"-";"<E>";" jouer";"-";"un bon";" tour";"-";" à";"+";"-";"+";"-";"-";"+";"§jouer§un bon tour à "
"506";"+";"+";"-";"<E>";" jouer";"-";"un mauvais";" tour";"-";" à";"+";"-";"+";"-";"-";"+";"§jouer§un mauvais tour à "
"507";"+";"+";"-";"<E>";" jouer";"-";"un sale";" tour";"-";" à";"+";"-";"+";"-";"-";"+";"§jouer§un sale tour à "
"508";"+";"+";"-";"<E>";" jouer";"-";"un vilain";" tour";"-";" à";"+";"-";"+";"-";"-";"+";"§jouer§un vilain tour à "
"509";"+";"+";"-";"<E>";" jouer";"-";"un";" tour";"-";" à";"+";"-";"+";"-";"-";"+";"§jouer§un tour à "
"510";"+";"+";"-";"<E>";" jouer";"-";"un";" tour de cochon";"-";" à";"+";"-";"+";"-";"-";"+";"§jouer§un tour de cochon à "
"511";"+";"+";"-";"<E>";" jouer";"-";"un";" tour pendable";"-";" à";"+";"-";"+";"-";"-";"+";"§jouer§un tour pendable à "
"512";"+";"-";"-";"<E>";" lâcher";"-";"un";" coup de fusil";"+";" sur";"+";"+";"-";"-";"+";"+";"§lâcher§un coup de fusil sur "
"513";"+";"+";"-";"<E>";" laisser";"-";"une dernière";" chance";"-";" à";"+";"-";"+";"-";"-";"+";"§laisser§une dernière chance à "
"514";"+";"+";"-";"<E>";" laisser";"-";"une";" chance";"-";" à";"+";"-";"+";"-";"-";"+";"§laisser§une chance à "
"515";"+";"-";"-";"<E>";" laisser";"+";"une";" jambe";"-";" Loc";"-";"+";"-";"+";"-";"-";"§laisser§une jambe Loc "
"516";"+";"-";"-";"<E>";" laisser";"+";"un";" Npc";"-";" Loc";"-";"+";"-";"+";"-";"-";"§laisser§un Npc Loc "
"517";"+";"-";"-";"<E>";" laisser";"+";"un";" oeil";"-";" Loc";"-";"+";"-";"+";"-";"-";"§laisser§un oeil Loc "
"518";"+";"+";"-";"<E>";" laisser";"-";"un";" passage";"-";" à";"+";"+";"+";"-";"-";"+";"§laisser§un passage à "
"519";"+";"+";"-";"<E>";" laisser";"-";"une large";" place";"-";" à";"-";"+";"-";"+";"-";"+";"§laisser§une large place à "
"520";"+";"-";"-";"<E>";" laisser";"+";"des";" plumes";"-";" Loc";"-";"+";"-";"+";"-";"-";"§laisser§des plumes Loc "
"521";"+";"+";"-";"<E>";" laisser";"-";"une";" porte de sortie";"-";" à";"+";"-";"+";"-";"-";"+";"§laisser§une porte de sortie à "
"522";"+";"+";"-";"<E>";" laisser";"-";"des";" regrets";"-";" Loc";"+";"+";"-";"+";"-";"+";"§laisser§des regrets Loc "
"523";"+";"+";"-";"<E>";" laisser";"-";"une";" sortie";"-";" à";"+";"-";"+";"-";"-";"+";"§laisser§une sortie à "
"524";"+";"-";"-";"<E>";" laisser";"-";"une";" trace";"+";" Loc";"-";"+";"-";"+";"-";"+";"§laisser§une trace Loc "
"525";"-";"+";"-";"<E>";" laisser";"-";"une";" trace";"-";" Loc";"+";"+";"-";"+";"-";"+";"§laisser§une trace Loc "
"526";"+";"+";"-";"<E>";" laisser";"-";"une";" trêve";"-";" à";"+";"-";"+";"-";"-";"+";"§laisser§une trêve à "
"527";"+";"+";"-";"<E>";" laisser";"-";"un";" vide";"-";" Loc";"+";"+";"-";"+";"-";"+";"§laisser§un vide Loc "
"528";"+";"-";"-";"<E>";" lancer";"-";"une";" accusation";"+";" contre";"+";"+";"-";"-";"-";"+";"§lancer§une accusation contre "
"529";"+";"-";"-";"<E>";" lancer";"-";"un";" appel";"+";" à";"+";"+";"+";"-";"-";"+";"§lancer§un appel à "
"530";"+";"-";"-";"<E>";" lancer";"-";"un";" appel au secours";"+";" à";"+";"+";"+";"-";"-";"+";"§lancer§un appel au secours à "
"531";"+";"-";"-";"<E>";" lancer";"-";"un";" avertissement";"+";" à";"+";"+";"+";"-";"-";"+";"§lancer§un avertissement à "
"532";"+";"-";"-";"<E>";" lancer";"-";"des";" coups de griffe";"+";" à";"+";"-";"+";"-";"-";"+";"§lancer§des coups de griffe à "
"533";"+";"-";"-";"<E>";" lancer";"-";"un";" défi";"-";" à";"+";"-";"+";"-";"-";"+";"§lancer§un défi à "
"534";"+";"-";"-";"<E>";" lancer";"-";"une";" oeillade";"-";" à";"+";"-";"+";"-";"-";"+";"§lancer§une oeillade à "
"535";"+";"-";"-";"<E>";" lancer";"-";"des";" piques";"+";" à";"+";"-";"+";"-";"-";"+";"§lancer§des piques à "
"536";"+";"-";"-";"<E>";" lancer";"-";"des";" pointes";"+";" à";"+";"-";"+";"-";"-";"+";"§lancer§des pointes à "
"537";"+";"-";"-";"<E>";" lancer";"-";"un";" pont";"+";" sur";"-";"+";"-";"-";"-";"+";"§lancer§un pont sur "
"538";"+";"-";"-";"<E>";" lancer";"-";"un";" regard";"-";" à";"+";"-";"+";"-";"-";"-";"§lancer§un regard à "
"539";"+";"-";"-";"<E>";" lancer";"-";"un";" regard de travers";"-";" à";"+";"-";"+";"-";"-";"+";"§lancer§un regard de travers à "
"540";"+";"-";"-";"<E>";" lancer";"-";"un";" SOS";"+";" à";"+";"-";"+";"-";"-";"+";"§lancer§un SOS à "
"541";"+";"-";"-";"<E>";" lancer";"-";"un";" trait";"-";" à";"+";"-";"+";"-";"-";"+";"§lancer§un trait à "
"542";"+";"-";"-";"<E>";" lancer";"-";"un";" ultimatum";"+";" à";"+";"+";"+";"-";"-";"+";"§lancer§un ultimatum à "
"543";"+";"-";"-";"<E>";" lever";"-";"une";" interdiction";"-";" contre";"+";"+";"-";"-";"-";"+";"§lever§une interdiction contre "
"544";"+";"+";"-";"<E>";" lever";"-";"un";" obstacle";"+";" à";"-";"+";"-";"-";"-";"+";"§lever§un obstacle à "
"545";"+";"-";"-";"<E>";" lever";"-";"une";" punition";"-";" contre";"+";"+";"-";"+";"-";"-";"§lever§une punition contre "
"546";"+";"-";"-";"<E>";" lever";"-";"une";" sanction";"+";" contre";"+";"+";"-";"-";"-";"+";"§lever§une sanction contre "
"547";"+";"+";"-";"<E>";" livrer";"-";"des";" armes";"-";" à";"+";"+";"+";"-";"-";"+";"§livrer§des armes à "
"548";"+";"-";"-";"<E>";" livrer";"-";"un";" assaut";"-";" à";"+";"-";"+";"-";"-";"+";"§livrer§un assaut à "
"549";"+";"-";"-";"<E>";" livrer";"-";"une";" bataille";"-";" à";"+";"-";"+";"-";"-";"+";"§livrer§une bataille à "
"550";"+";"-";"-";"<E>";" livrer";"-";"un";" combat";"-";" à";"+";"-";"+";"-";"-";"+";"§livrer§un combat à "
"551";"+";"-";"-";"<E>";" livrer";"-";"une";" lutte";"-";" à";"+";"-";"+";"-";"-";"+";"§livrer§une lutte à "
"552";"+";"-";"-";"<E>";" machiner";"-";"un";" attentat";"+";" contre";"+";"-";"-";"-";"-";"+";"§machiner§un attentat contre "
"553";"+";"-";"-";"<E>";" machiner";"-";"une";" cabbale";"+";" contre";"+";"-";"-";"-";"-";"+";"§machiner§une cabbale contre "
"554";"+";"-";"-";"<E>";" machiner";"-";"un";" complot";"+";" contre";"+";"-";"-";"-";"-";"+";"§machiner§un complot contre "
"555";"+";"-";"-";"<E>";" machiner";"-";"un";" coup d'état";"+";" contre";"+";"-";"-";"-";"-";"+";"§machiner§un coup d'état contre "
"556";"+";"-";"-";"<E>";" machiner";"-";"une";" intrigue";"+";" contre";"+";"-";"-";"-";"-";"+";"§machiner§une intrigue contre "
"557";"+";"-";"-";"<E>";" machiner";"-";"une";" révolte";"+";" contre";"+";"-";"-";"-";"-";"+";"§machiner§une révolte contre "
"558";"+";"+";"-";"<E>";" maintenir";"-";"un juste";" milieu";"+";" entre";"+";"+";"-";"-";"-";"+";"§maintenir§un juste milieu entre "
"559";"-";"+";"-";"<E>";" marquer";"-";"une";" étape";"+";" pour";"+";"-";"-";"-";"-";"+";"§marquer§une étape pour "
"560";"-";"+";"-";"<E>";" marquer";"-";"un";" tournant";"+";" pour";"+";"-";"-";"-";"-";"+";"§marquer§un tournant pour "
"561";"+";"+";"-";"<E>";" ménager";"-";"un certain";" accueuil";"-";" à";"+";"-";"+";"-";"-";"+";"§ménager§un certain accueuil à "
"562";"+";"-";"-";"<E>";" ménager";"-";"une";" porte de sortie";"-";" à";"+";"-";"+";"-";"-";"+";"§ménager§une porte de sortie à "
"563";"+";"-";"-";"<E>";" ménager";"-";"une";" sortie";"-";" à";"+";"-";"+";"-";"-";"+";"§ménager§une sortie à "
"564";"+";"+";"-";"<E>";" ménager";"-";"une";" surprise";"-";" à";"+";"-";"+";"-";"-";"+";"§ménager§une surprise à "
"565";"+";"-";"-";"<E>";" mener";"-";"une";" action";"+";" contre";"+";"+";"-";"-";"-";"+";"§mener§une action contre "
"566";"+";"-";"-";"<E>";" mener";"-";"une";" discussion";"-";" avec";"+";"-";"-";"-";"-";"+";"§mener§une discussion avec "
"567";"+";"-";"-";"<E>";" mener";"-";"une";" enquête";"+";" sur";"+";"-";"-";"-";"-";"+";"§mener§une enquête sur "
"568";"+";"-";"-";"<E>";" mener";"-";"une";" étude";"-";" sur";"+";"+";"-";"-";"-";"+";"§mener§une étude sur "
"569";"+";"-";"-";"<E>";" mener";"-";"une";" recherche";"-";" sur";"+";"+";"-";"-";"-";"+";"§mener§une recherche sur "
"570";"+";"-";"-";"<E>";" mener";"-";"des";" travaux";"-";" sur";"-";"+";"-";"-";"-";"+";"§mener§des travaux sur "
"571";"+";"-";"-";"<E>";" mener";"-";"une sacrée";" vie";"-";" à";"+";"-";"+";"-";"-";"-";"§mener§une sacrée vie à "
"572";"+";"+";"-";"<E>";" mettre";"-";"un";" bémol";"-";" à";"-";"+";"-";"+";"-";"+";"§mettre§un bémol à "
"573";"-";"+";"-";"<E>";" mettre";"-";"un";" comble";"-";" à";"-";"+";"-";"+";"-";"-";"§mettre§un comble à "
"574";"+";"-";"-";"<E>";" mettre";"-";"une";" croix";"-";" sur";"-";"+";"-";"-";"+";"-";"§mettre§une croix sur "
"575";"+";"+";"-";"<E>";" mettre";"-";"de la";" distance";"-";" entre";"+";"-";"-";"-";"-";"+";"§mettre§de la distance entre "
"576";"+";"-";"-";"<E>";" mettre";"-";"un";" drain";"-";" à";"+";"-";"+";"-";"-";"+";"§mettre§un drain à "
"577";"+";"-";"-";"<E>";" mettre";"-";"des";" espoirs";"-";" dans";"+";"+";"-";"-";"-";"+";"§mettre§des espoirs dans "
