"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Qu P";"N1 =: V0-inf W";"N1 =: V2-inf W";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"<ENT>Prép3";"N3 =: Nhum";"N3 =: N-hum";"N3 =: ce Qu Pind";"N3 =: ce Qu Psubj";"N3 =: V0-inf W";"N3 =: V1-inf W";"Exemple"
"1";"+";"-";"-";"+";"-";"-";"s'";" accorder";"avec";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"<E>";"dire";"<E>";"-";"+";"+";"-";"-";"-";"§s'accorder§avec à dire "
"2";"+";"-";"-";"+";"-";"-";"s'";" accorder";"avec";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"<E>";"penser";"<E>";"-";"+";"+";"-";"-";"-";"§s'accorder§avec à penser "
"3";"+";"-";"-";"+";"-";"-";"s'";" accorder";"avec";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"<E>";"reconnaître";"<E>";"-";"+";"+";"-";"-";"-";"§s'accorder§avec à reconnaître "
"4";"+";"-";"-";"-";"-";"-";"<E>";" affirmer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"Poss0";"volonté";"de";"-";"-";"-";"-";"+";"-";"§affirmer§à sa volonté de "
"5";"+";"-";"-";"-";"-";"-";"<E>";" aimer";"<E>";"<E>";"<E>";"-";"+";"+";"+";"-";"<E>";"<E>";"mieux";"que";"-";"+";"-";"+";"+";"-";"§aimer§mieux que "
"6";"+";"+";"+";"-";"-";"-";"<E>";" amener";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"<E>";"affirmer";"<E>";"-";"+";"+";"-";"-";"-";"§amener§à affirmer "
"7";"+";"+";"+";"-";"-";"-";"<E>";" amener";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"<E>";"croire";"<E>";"-";"+";"+";"-";"-";"-";"§amener§à croire "
"8";"+";"+";"+";"-";"-";"-";"<E>";" amener";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"<E>";"dire";"<E>";"-";"+";"+";"-";"-";"-";"§amener§à dire "
"9";"+";"+";"+";"-";"-";"-";"<E>";" amener";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"<E>";"penser";"<E>";"-";"+";"+";"-";"-";"-";"§amener§à penser "
"10";"+";"+";"+";"-";"-";"-";"<E>";" apporter";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"la";"<E>";"preuve";"de";"-";"+";"-";"+";"+";"-";"§apporter§à la preuve de "
"11";"+";"-";"-";"-";"-";"-";"<E>";" assassiner";"<E>";"<E>";"père";"-";"-";"-";"-";"-";"et";"<E>";"mère";"pour";"-";"-";"-";"+";"+";"-";"§assassiner§père et mère pour "
"12";"+";"-";"-";"-";"-";"-";"<E>";" avait";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"bien";"dit";"<E>";"-";"-";"+";"-";"-";"-";"§avait§à bien dit "
"13";"+";"+";"-";"-";"-";"-";"<E>";" avoir";"avec";"<E>";"<E>";"+";"+";"-";"-";"-";"en";"<E>";"commun";"<E>";"-";"+";"+";"-";"+";"+";"§a§avec en commun "
"14";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"de";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"confirmation";"de";"-";"+";"+";"-";"+";"-";"§a§de confirmation de "
"15";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"bien";"dit";"de";"-";"-";"+";"+";"-";"+";"§a§à bien dit de "
"16";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"de";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"ordre";"de";"-";"-";"-";"-";"+";"-";"§a§d'ordre de "
"17";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"de";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"quittance";"de";"-";"+";"+";"-";"+";"-";"§a§de quittance de "
"18";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"de";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"réparation";"de";"-";"+";"+";"-";"+";"-";"§a§de réparation de "
"19";"+";"-";"-";"-";"+";"-";"en";" avoir";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"tant";"dit";"<E>";"-";"-";"+";"-";"-";"-";"§en a§à tant dit "
"20";"+";"-";"-";"-";"-";"+";"n'";" avoir";"<E>";"<E>";"besoin";"-";"-";"-";"-";"-";"de";"<E>";"personne";"pour";"-";"-";"-";"+";"+";"-";"§n'a§besoin de personne pour "
"21";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"bien";"-";"-";"-";"-";"-";"<E>";"<E>";"voulu";"<E>";"-";"-";"-";"-";"+";"-";"§a§bien voulu "
"22";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"bientôt";"-";"-";"-";"-";"-";"<E>";"<E>";"dit";"de";"-";"+";"+";"+";"+";"-";"§a§bientôt dit de "
"23";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"bientôt";"-";"-";"-";"-";"-";"<E>";"<E>";"fait";"de";"-";"-";"-";"-";"+";"-";"§a§bientôt fait de "
"24";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"bientôt";"-";"-";"-";"-";"-";"<E>";"<E>";"fini";"de";"-";"-";"-";"-";"+";"-";"§a§bientôt fini de "
"25";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"le";"douleur";"-";"-";"-";"-";"-";"de";"<E>";"apprendre";"<E>";"-";"+";"+";"-";"-";"-";"§a§le douleur d'apprendre "
"26";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"la";"douleur";"-";"-";"-";"-";"-";"de";"<E>";"apprendre à Nhum";"<E>";"-";"+";"+";"-";"-";"-";"§a§la douleur d'apprendre à Nhum "
"27";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"la";"douleur";"-";"-";"-";"-";"-";"de";"<E>";"informer Nhum";"<E>";"-";"+";"+";"-";"-";"-";"§a§la douleur d'informer Nhum "
"28";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"autant";"<E>";"envie";"-";"-";"-";"-";"-";"de";"<E>";"se pendre";"que de";"-";"-";"-";"-";"+";"-";"§a§autant envie de se pendre que de "
"29";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"été";"-";"-";"-";"-";"-";"<E>";"<E>";"longtemps";"avant";"-";"+";"-";"+";"+";"-";"§a§été longtemps avant "
"30";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"fort";"-";"-";"-";"-";"-";"à";"<E>";"faire";"pour";"-";"-";"-";"+";"+";"-";"§a§fort à fait pour "
"31";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"froid";"-";"-";"-";"-";"-";"dans";"le";"dos";"de";"-";"-";"-";"+";"+";"-";"§a§froid dans le dos de "
"32";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"gros";"-";"-";"-";"-";"-";"sur";"le";"coeur";"de";"-";"-";"-";"+";"+";"-";"§a§gros sur le coeur de "
"33";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"gros";"-";"-";"-";"-";"-";"sur";"la";"patate";"de";"-";"-";"-";"+";"+";"-";"§a§gros sur la patate de "
"34";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"le";"honneur";"-";"-";"-";"-";"-";"de";"<E>";"apprendre";"<E>";"-";"+";"+";"-";"-";"-";"§a§l'honneur d'apprendre "
"35";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"le";"honneur";"-";"-";"-";"-";"-";"de";"<E>";"apprendre à Nhum";"<E>";"-";"+";"+";"-";"-";"-";"§a§l'honneur d'apprendre à Nhum "
"36";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"le";"honneur";"-";"-";"-";"-";"-";"de";"<E>";"informer Nhum";"<E>";"-";"+";"+";"-";"-";"-";"§a§l'honneur d'informer Nhum "
"37";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"mal";"-";"-";"-";"-";"-";"à";"le";"bide";"de";"-";"-";"+";"-";"-";"-";"§a§mal au bide de "
"38";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"mal";"-";"-";"-";"-";"-";"à";"les";"tripes";"de";"-";"-";"+";"-";"-";"-";"§a§mal aux tripes de "
"39";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"mal";"-";"-";"-";"-";"-";"à";"le";"ventre";"de";"-";"-";"+";"-";"-";"-";"§a§mal au ventre de "
"40";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"mieux";"-";"-";"-";"-";"-";"à";"<E>";"faire";"qu'à";"-";"-";"-";"-";"+";"-";"§a§mieux à fait qu'à "
"41";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"passé";"-";"-";"-";"-";"-";"<E>";"le";"âge";"de";"-";"-";"-";"+";"+";"-";"§a§passé l'âge de "
"42";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"peine";"-";"-";"-";"-";"-";"à";"<E>";"croire";"<E>";"-";"+";"+";"-";"-";"-";"§a§peine à croire "
"43";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"le";"plaisir";"-";"-";"-";"-";"-";"de";"<E>";"apprendre";"<E>";"-";"+";"+";"-";"-";"-";"§a§le plaisir d'apprendre "
"44";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"le";"plaisir";"-";"-";"-";"-";"-";"de";"<E>";"apprendre à Nhum";"<E>";"-";"+";"+";"-";"-";"-";"§a§le plaisir d'apprendre à Nhum "
"45";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"le";"plaisir";"-";"-";"-";"-";"-";"de";"<E>";"informer Nhum";"<E>";"-";"+";"+";"-";"-";"-";"§a§le plaisir d'informer Nhum "
"46";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"quelque chose";"-";"-";"-";"-";"-";"à";"<E>";"branler";"de";"+";"+";"+";"+";"+";"-";"§a§quelque chose à branler de "
"47";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"quelque chose";"-";"-";"-";"-";"-";"à";"<E>";"espérer";"de";"+";"+";"+";"+";"+";"-";"§a§quelque chose à espérer de "
"48";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"quelque chose";"-";"-";"-";"-";"-";"à";"<E>";"faire";"de";"+";"+";"+";"+";"+";"-";"§a§quelque chose à fait de "
"49";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"quelque chose";"-";"-";"-";"-";"-";"à";"<E>";"fiche";"de";"+";"+";"+";"+";"+";"-";"§a§quelque chose à fiche de "
"50";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"quelque chose";"-";"-";"-";"-";"-";"à";"<E>";"foutre";"de";"+";"+";"+";"+";"+";"-";"§a§quelque chose à foutre de "
"51";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"quelque chose";"-";"-";"-";"-";"-";"à";"<E>";"glander";"de";"+";"+";"+";"+";"+";"-";"§a§quelque chose à glander de "
"52";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"rapidement";"-";"-";"-";"-";"-";"<E>";"<E>";"fait";"de";"-";"-";"-";"-";"+";"-";"§a§rapidement fait de "
"53";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"ras";"-";"-";"-";"-";"-";"<E>";"le";"bol";"de";"+";"+";"+";"+";"+";"-";"§a§ras le bol de "
"54";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"ras";"-";"-";"-";"-";"-";"<E>";"le";"cul";"de";"+";"+";"+";"+";"+";"-";"§a§ras le cul de "
"55";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"le";"regret";"-";"-";"-";"-";"-";"de";"<E>";"apprendre";"<E>";"-";"+";"+";"-";"-";"-";"§a§le regret d'apprendre "
"56";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"le";"regret";"-";"-";"-";"-";"-";"de";"<E>";"apprendre à Nhum";"<E>";"-";"+";"+";"-";"-";"-";"§a§le regret d'apprendre à Nhum "
"57";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"le";"regret";"-";"-";"-";"-";"-";"de";"<E>";"informer Nhum";"<E>";"-";"+";"+";"-";"-";"-";"§a§le regret d'informer Nhum "
"58";"+";"-";"-";"-";"-";"+";"n'";" avoir";"<E>";"<E>";"rien";"-";"-";"-";"-";"-";"à";"<E>";"branler";"de";"+";"+";"-";"+";"+";"-";"§n'a§rien à branler de "
"59";"+";"-";"-";"-";"-";"+";"n'";" avoir";"<E>";"<E>";"rien";"-";"-";"-";"-";"-";"à";"<E>";"faire";"de";"+";"+";"-";"+";"+";"-";"§n'a§rien à fait de "
"60";"+";"-";"-";"-";"-";"+";"n'";" avoir";"<E>";"<E>";"rien";"-";"-";"-";"-";"-";"à";"<E>";"fiche";"de";"+";"+";"-";"+";"+";"-";"§n'a§rien à fiche de "
"61";"+";"-";"-";"-";"-";"+";"n'";" avoir";"<E>";"<E>";"rien";"-";"-";"-";"-";"-";"à";"<E>";"foutre";"de";"+";"+";"-";"+";"+";"-";"§n'a§rien à foutre de "
"62";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"tôt";"-";"-";"-";"-";"-";"<E>";"<E>";"fait";"de";"-";"-";"-";"-";"+";"-";"§a§tôt fait de "
"63";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"tôt";"-";"-";"-";"-";"-";"<E>";"<E>";"fini";"de";"-";"-";"-";"-";"+";"-";"§a§tôt fini de "
"64";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"la";"vie";"-";"-";"-";"-";"-";"devant";"<E>";"Lui-0";"pour";"-";"+";"-";"+";"+";"-";"§a§la vie devant lui pour "
"65";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"vite";"-";"-";"-";"-";"-";"<E>";"<E>";"dit";"de";"-";"+";"+";"+";"+";"-";"§a§vite dit de "
"66";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"vite";"-";"-";"-";"-";"-";"<E>";"<E>";"fait";"de";"-";"-";"-";"-";"+";"-";"§a§vite fait de "
"67";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"vite";"-";"-";"-";"-";"-";"<E>";"<E>";"fini";"de";"-";"-";"-";"-";"+";"-";"§a§vite fini de "
"68";"+";"-";"-";"-";"-";"+";"n'";" avoir ni";"<E>";"<E>";"fin";"-";"-";"-";"-";"-";"ni";"<E>";"cesse";"<E>";"-";"-";"-";"+";"-";"-";"§n'a ni§fin ni cesse "
"69";"+";"-";"-";"-";"-";"+";"n'";" avoir ni";"<E>";"<E>";"trêve";"-";"-";"-";"-";"-";"ni";"<E>";"repos";"<E>";"-";"-";"-";"+";"-";"-";"§n'a ni§trêve ni repos "
"70";"+";"-";"-";"-";"-";"+";"n'";" avoir pas";"<E>";"de";"mots";"-";"-";"-";"-";"-";"<E>";"assez";"durs";"pour";"+";"+";"-";"-";"+";"-";"§n'a pas§de mots assez durs pour "
"71";"+";"-";"-";"-";"-";"+";"n'";" avoir pas";"<E>";"de";"mots";"-";"-";"-";"-";"-";"<E>";"assez";"sévères";"pour";"+";"+";"-";"-";"+";"-";"§n'a pas§de mots assez sévères pour "
"72";"+";"-";"-";"-";"-";"+";"n'";" avoir pas";"<E>";"<E>";"plutôt";"-";"-";"-";"-";"-";"<E>";"<E>";"Vpp";"que";"-";"-";"-";"-";"+";"-";"§n'a pas§plutôt Vpp que "
"73";"+";"-";"-";"-";"-";"+";"n'";" avoir pas";"<E>";"<E>";"plutôt";"-";"-";"-";"-";"-";"<E>";"<E>";"parlé";"que";"-";"-";"-";"-";"+";"-";"§n'a pas§plutôt parlé que "
"74";"+";"-";"-";"-";"-";"+";"n'";" avoir rien";"de";"<E>";"autre";"-";"-";"-";"-";"-";"à";"<E>";"faire";"que";"-";"-";"-";"-";"+";"-";"§n'a rien§d'autre à fait que "
"75";"+";"-";"-";"-";"-";"+";"n'";" avoir rien";"de";"<E>";"mieux";"-";"-";"-";"-";"-";"à";"<E>";"faire";"que";"-";"-";"-";"-";"+";"-";"§n'a rien§de mieux à fait que "
"76";"+";"-";"-";"-";"-";"+";"ne";" cacher pas";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"Poss0";"intention";"de";"-";"-";"-";"-";"+";"-";"§ne cacher pas§à son intention de "
"77";"+";"-";"-";"-";"-";"-";"<E>";" chercher";"Loc";"<E>";"<E>";"+";"+";"-";"-";"-";"<E>";"<E>";"consolation";"de";"-";"+";"+";"-";"+";"-";"§chercher§Loc consolation de "
"78";"+";"-";"-";"-";"-";"-";"<E>";" choisir";"<E>";"<E>";"bien";"-";"-";"-";"-";"-";"<E>";"Poss0";"moment";"pour";"-";"-";"-";"+";"+";"-";"§choisir§bien son moment pour "
"79";"+";"-";"-";"-";"-";"-";"<E>";" choisir";"<E>";"<E>";"mal";"-";"-";"-";"-";"-";"<E>";"Poss0";"moment";"pour";"-";"-";"-";"+";"+";"-";"§choisir§mal son moment pour "
"80";"+";"+";"+";"-";"-";"-";"<E>";" conduire";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"<E>";"affirmer";"<E>";"-";"+";"+";"-";"-";"-";"§conduire§à affirmer "
"81";"+";"+";"+";"-";"-";"-";"<E>";" conduire";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"<E>";"croire";"<E>";"-";"+";"+";"-";"-";"-";"§conduire§à croire "
"82";"+";"+";"+";"-";"-";"-";"<E>";" conduire";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"<E>";"dire";"<E>";"-";"+";"+";"-";"-";"-";"§conduire§à dire "
"83";"+";"+";"+";"-";"-";"-";"<E>";" conduire";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"<E>";"penser";"<E>";"-";"+";"+";"-";"-";"-";"§conduire§à penser "
"84";"+";"-";"-";"-";"-";"-";"<E>";" conserver";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"rancune";"de";"-";"+";"+";"-";"-";"+";"§conserver§à rancune de "
"85";"+";"-";"-";"-";"-";"-";"<E>";" conserver";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"rigueur";"de";"-";"+";"+";"-";"-";"+";"§conserver§à rigueur de "
"86";"+";"+";"+";"-";"-";"-";"<E>";" contraindre";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"et";"<E>";"forcer";"à";"-";"-";"-";"+";"-";"+";"§contraindre§et forcer à "
"87";"-";"+";"+";"-";"-";"-";"<E>";" convaincre";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"intimement";"de";"-";"+";"+";"-";"-";"+";"§convaincre§intimement de "
"88";"+";"-";"-";"-";"-";"-";"<E>";" coucher";"<E>";"<E>";"noir";"-";"-";"-";"-";"-";"sur";"<E>";"blanc";"<E>";"-";"+";"+";"-";"+";"-";"§coucher§noir sur blanc "
"89";"+";"+";"+";"-";"-";"-";"<E>";" couper";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"la";"envie";"de";"-";"+";"+";"+";"-";"+";"§couper§à l'envie de "
"90";"+";"-";"-";"-";"-";"-";"<E>";" croire";"<E>";"<E>";"dur";"-";"-";"-";"-";"-";"comme";"<E>";"fer";"<E>";"-";"+";"+";"-";"+";"-";"§croire§dur comme fer "
"91";"+";"-";"-";"-";"-";"-";"<E>";" demander";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"acte";"de";"-";"+";"+";"-";"-";"-";"§demander§à acte de "
